Name,"Sub Category","Plan","AUM","% Debt Holding","% Equity Holding","% Largecap Holding","% Midcap Holding","% Smallcap Holding","% Concentration - Top 3 Holdings","% Concentration - Top 5 Holdings","% Concentration - Top 10 Holdings","% B Rated Bonds","% Other Holdings"
Axis Flexi Cap Fund,"Flexi Cap Fund","Growth","11412.803399","0","86.4330389411597","56.01443634786521","19.165172958293503","11.25342963500099","22.74967438762675","30.81368375275784","47.67679214556515","0","0"
DSP Flexi Cap Fund,"Flexi Cap Fund","Growth","10725.6079","0","95.09484306246175","58.56791762823998","24.763582864147025","11.763342570074743","20.34995610831531","29.21222954644836","43.75504814044152","0","0"
Nippon India Flexi Cap Fund,"Flexi Cap Fund","Growth","8280.1823","0","97.72087251622516","64.66871499975876","19.436767689406476","13.61538982705985","16.28570059682291","23.13668622383562","35.061758196199506","0","0"
WOC Flexi Cap Fund,"Flexi Cap Fund","Growth","7906.7493000000095","4.350424712244749","85.92011668868709","52.173048433607455","8.737803009381992","25.00926524569765","18.14432338540467","24.05517860183379","36.32375282158951","0","0"
Bajaj Finserv Flexi Cap Fund,"Flexi Cap Fund","Growth","6952.818504999999","0","97.74245841191497","51.26613386649555","22.96529974149144","23.511024803927988","13.4929569394754","20.15545687844137","35.80702707708412","0","0"
Helios Flexi Cap Fund,"Flexi Cap Fund","Growth","6762.7252","0","99.2881050378921","64.81900225666425","21.54766838670303","12.921434394524859","12.59984510386435","20.142756946563498","34.27420945627069","0","0"
Bandhan Flexi Cap Fund,"Flexi Cap Fund","Growth","6651.136600000001","0.658261081115286","95.1801254160252","69.30689561615098","9.369923152027866","15.838802976678071","19.89280656745181","26.99186268098444","42.31181555805916","0","0"
Quant Flexi Cap Fund,"Flexi Cap Fund","Growth","6593.522099999999","3.5453797902641453","93.34242468073326","70.14726165852997","14.650881355201646","8.54428166700163","31.09292073200146","46.04524188976326","71.40040828861403","0","0"
PGIM India Flexi Cap Fund,"Flexi Cap Fund","Growth","5792.967","0.111768287304243","97.39678820887467","59.13823779766052","23.721455689286675","14.53709472192747","15.068364794758892","20.656641061480254","31.168497938966357","0","0"
HSBC Flexi Cap Fund,"Flexi Cap Fund","Growth","5405.1151","0","99.39175763343134","53.098906256408846","19.94225987898019","26.350591498042288","10.83309215746395","15.72734686075417","26.188607898470096","0","0"
JM Flexicap Fund,"Flexi Cap Fund","Growth","5040.5071378190005","0","99.3508409844023","59.556654929764306","20.14771725520108","19.64646879943691","10.04087722210809","15.32163245778411","26.60611563701268","0","0"
Invesco India Flexi Cap Fund,"Flexi Cap Fund","Growth","4202.4256","0","98.70115963504507","50.19393561661152","27.391663995193625","21.11556002323992","14.034868338894569","20.36533377295246","34.17350684328594","0","0"
Abakkus Flexi Cap Fund,"Flexi Cap Fund","Growth","3901.185","1.1486843100237492","92.25755763953777","40.436044432653176","21.030571480204102","28.9915500033964","15.23901327417182","22.26162563426241","35.73012559004509","0","0"
Tata Flexi Cap Fund,"Flexi Cap Fund","Growth","3633.286898017","0","90.76780316467513","60.195375740728714","15.023225947224553","15.549201476721825","16.13477042839508","23.196973529946","36.98415059791715","0","0"
Mirae Asset Flexi Cap Fund,"Flexi Cap Fund","Growth","3448.3390999999997","0","98.0187875458406","60.12622041857309","22.82124425170815","14.325554843965406","15.52364267755928","20.79163137653449","31.035900586116092","0","0"
JioBlackRock Flexi Cap Fund,"Flexi Cap Fund","Growth","3030.8168437229997","0","99.6429906394241","64.85623753111395","15.330870923570291","18.085875783132533","17.90465378051053","25.42919645940304","38.398816841911575","0","0"
