Name,"Sub Category","Plan","AUM","Expense Ratio","AMC","Benchmark","Minimum Lumpsum","NAV","Lock-in","Exit Load","Time since inception","Fund Manager","SIP Investment","Minimum SIP"
TRUSTMF Flexi Cap Fund,"Flexi Cap Fund","Growth","1081.3157","0.49","Trust Asset Management Private Limited","NIFTY 500 - TRI","1000","11.79","0","1","26","Mihir Vora,Saurabh Kataria,Aakash Manghani","Allowed","0"
LIC MF Flexi Cap Fund,"Flexi Cap Fund","Growth","973.2846000000001","1.65","LIC Mutual Fund Asset Management Limited","NIFTY 500 - TRI","5000","108.8648","0","1","161","Sudhanshu Asthana","Allowed","1000"
Capitalmind Flexi Cap Fund,"Flexi Cap Fund","Growth","424.7792","0.94","Capitalmind Asset Management Pvt. Ltd.","NIFTY 500 - TRI","5000","10.1637","0","1","10","Anoop Vijaykumar,Prateek Jain","Allowed","1000"
Taurus Flexi Cap Fund,"Flexi Cap Fund","Growth","305.8645","2.63","Taurus Asset Management Company Limited","BSE 500 - TRI","500","231.92","0","1","161","Anuj Kapil","Allowed","0"
Samco Flexi Cap Fund,"Flexi Cap Fund","Growth","286.4435","0.98","Samco Asset Management Pvt. Ltd.","NIFTY 500 - TRI","5000","10.66","0","1","52","Nirali Bhansali,Umeshkumar Mehta,Dhawal Ghanshyam Dhanani,Komal Grover","Allowed","250"
Navi Flexi Cap Fund,"Flexi Cap Fund","Growth","260.338422","0.53","Navi AMC Limited","NIFTY 500 - TRI","100","27.8016","0","0","95","Ashutosh Shirwaikar","Allowed","0"
The Wealth Company Flexi Cap Fund,"Flexi Cap Fund","Growth","227.71436235599998","0.3","Wealth Company Asset Management Holdings Pvt. Ltd.","NIFTY 500 - TRI","1000","10.165","0","1","8","Aparna Shanker,Umesh Sharma,Neeraj Jain","Allowed","250"
Unifi Flexi Cap Fund,"Flexi Cap Fund","Growth","188.007735589","1.42","Unifi Asset Management Pvt. Ltd.","NIFTY 500 - TRI","5000","10.2639","0","1","12","Saravanan V N,Aejas Lakhani,Karthik Srinivas","Allowed","0"
Old Bridge Flexi Cap Fund,"Flexi Cap Fund","Growth","152.6157","0.83","Old Bridge Asset Management Private Limited","BSE 500 - TRI","5000","10.81","0","1","3","Kenneth Andrade","Allowed","2500"
Shriram Flexi Cap Fund,"Flexi Cap Fund","Growth","128.0288","0.46","Shriram Asset Management Company Limited","NIFTY 500 - TRI","500","22.3646","0","1","93","Deepak Ramaraju,Prateek Nigudkar","Allowed","0"
