Name,"Sub Category","Plan","AUM","SEBI Risk Category","Tracking Error","Volatility","Category St Dev","Maximum Drawdown"
HSBC Flexi Cap Fund,"Flexi Cap Fund","Growth","5405.1151","Very High","3.457467813299207","15.437958900061888","14.14299886058501","39.78750558809009"
JM Flexicap Fund,"Flexi Cap Fund","Growth","5040.5071378190005","Very High","5.797370272804732","14.49183823122519","14.14299886058501","34.950611676123465"
Invesco India Flexi Cap Fund,"Flexi Cap Fund","Growth","4202.4256","Very High","5.886267516856502","15.81894708885519","14.14299886058501","19.40225379715826"
Abakkus Flexi Cap Fund,"Flexi Cap Fund","Growth","3901.185","Very High","6.46092470161973","18.7890675106563","14.14299886058501","10.682085456683652"
Tata Flexi Cap Fund,"Flexi Cap Fund","Growth","3633.286898017","Very High","2.9637706186545545","12.918674501666183","14.14299886058501","33.490613987530494"
Mirae Asset Flexi Cap Fund,"Flexi Cap Fund","Growth","3448.3390999999997","Very High","2.3684765736650215","13.7139873457722","14.14299886058501","16.105666808691943"
JioBlackRock Flexi Cap Fund,"Flexi Cap Fund","Growth","3030.8168437229997","Very High","2.37006402445166","16.584098368015066","14.14299886058501","14.285714285714274"
Edelweiss Flexi Cap Fund,"Flexi Cap Fund","Growth","2957.3694","Very High","2.1906820855614813","13.845745761063215","14.14299886058501","36.10217826588193"
NJ Flexi Cap Fund,"Flexi Cap Fund","Growth","2536.008467","Very High","5.398920125358404","12.782153734015251","14.14299886058501","26.735688185140084"
Bank of India Flexi Cap Fund,"Flexi Cap Fund","Growth","2387.5609","Very High","7.381646157870208","14.51564999302477","14.14299886058501","23.729233820976933"
Union Flexi Cap Fund,"Flexi Cap Fund","Growth","2294.0675","Very High","2.3907008846779645","13.93146810354171","14.14299886058501","35.35936113575865"
Sundaram Flexi Cap Fund,"Flexi Cap Fund","Growth","2003.889645","Very High","2.9510710123614445","13.326649353832345","14.14299886058501","15.662894866888829"
360 ONE Flexicap Fund,"Flexi Cap Fund","Growth","1787.1290564024","Very High","3.789245027706707","15.082369923854804","14.14299886058501","18.119281413795832"
Mahindra Manulife Flexi Cap Fund,"Flexi Cap Fund","Growth","1541.9705999999999","Very High","2.4383244082771265","13.433008556537139","14.14299886058501","17.2352250344464"
Baroda BNP Paribas Flexi Cap Fund,"Flexi Cap Fund","Growth","1199.7988","Very High","3.6924105297217427","13.613977946213959","14.14299886058501","20.395797561188555"
ITI Flexi Cap Fund,"Flexi Cap Fund","Growth","1133.9856","Very High","3.195538433503813","14.933149549910762","14.14299886058501","21.442751106711057"
TRUSTMF Flexi Cap Fund,"Flexi Cap Fund","Growth","1081.3157","Very High","4.543284151360115","13.845745761063215","14.14299886058501","18.87550200803213"
LIC MF Flexi Cap Fund,"Flexi Cap Fund","Growth","973.2846000000001","Very High","4.829025292955091","14.782341725180082","14.14299886058501","34.203483757273"
Capitalmind Flexi Cap Fund,"Flexi Cap Fund","Growth","424.7792","Very High","6.391076867007626","11.618552307409043","14.14299886058501","9.24691003161828"
Taurus Flexi Cap Fund,"Flexi Cap Fund","Growth","305.8645","Very High","5.05920565701771","14.067988871192641","14.14299886058501","40.98662609113479"
Samco Flexi Cap Fund,"Flexi Cap Fund","Growth","286.4435","Very High","8.410314267612122","16.091988624157054","14.14299886058501","30.158730158730158"
Navi Flexi Cap Fund,"Flexi Cap Fund","Growth","260.338422","Very High","3.863855214678728","14.98871032744312","14.14299886058501","37.89361577230454"
