name,mfId,slug,ret3m,ret6m,ret1y,ret3y,ret5y,ret10y,alpha,sharpe,sortino,stdDevAnn,catStdDevAnn,trackErr,pe,catPe,percEquityH,percMidcap,percLargecap,percSmallcap,percDebtH,percOtherH,aum,expRatio,ageInMon,navClose,exitLoad,benchmarkIndex,riskClassification
Tata Multi Asset Allocation Fund,M_TATI,/mutualfunds/tata-multi-asset-allocation-fund-M_TATI,1.9009711483040248,0.7537634408602156,9.111551882746122,14.129174536977507,13.667646786360542,,3.56,0.43496151553901874,0.0434,10.123173666395338,10.717063993328148,6.079936512826429,19.8953,23.354202884615404,66.18832853895208,12.898277431428868,40.203248560804404,13.086802546718816,9.183698655856652,0,5154.5386857627,0.61,77,28.1103,0.5,BSE 200,Very High
Bandhan Multi Asset Allocation Fund,M_BANHP,/mutualfunds/bandhan-multi-asset-allocation-fund-M_BANHP,2.3800373147365272,2.0129228112684774,15.136107880426255,,,,4.49,0.9492955704099751,0.0941,10.294618351352321,10.717063993328148,7.248300291792553,21.578,23.354202884615404,67.12288587450969,13.728107787731686,38.517694031473496,14.877084055304456,8.372054090600997,0,3490.6726215265203,0.79,31,14.6513,0.5,NIFTY 500 - TRI,Very High
Mirae Asset Multi Asset Allocation Fund,M_MIUD,/mutualfunds/mirae-asset-multi-asset-allocation-fund-M_MIUD,0.6647398843930674,0.9126466753585487,12.029591508523644,,,,4.06,0.814362253545681,0.0815,10.113648961675505,10.717063993328148,7.22607598077961,23.7519,23.354202884615404,68.75773527950449,12.004371763552733,47.64052681395366,8.644738635638655,15.028448980484875,0,3478.1387,0.6,31,13.932,1,NIFTY 500 - TRI,Very High
Sundaram Multi Asset Allocation Fund,M_SUDUO,/mutualfunds/sundaram-multi-asset-allocation-fund-M_SUDUO,-0.6726902463590174,-3.1574571180767115,8.129781989307556,,,,2.29,0.3762258364333848,0.0379,13.017096450437785,10.717063993328148,7.6562751439587124,28.2604,23.354202884615404,69.4471911218297,13.102870569128164,45.58848386039504,10.755836692306481,10.216267816076943,0,3268.2164470000002,0.7,31,13.5106,1,NIFTY 500 - TRI,Moderately High
HSBC Multi Asset Allocation Fund,M_HSAO,/mutualfunds/hsbc-multi-asset-allocation-fund-M_HSAO,1.7260591072802167,2.373700469531114,16.004000590251017,,,,7.01,0.9334210625435876,0.0898,13.347286214058647,10.717063993328148,9.540579227698913,26.9341,23.354202884615404,76.19657557870512,30.025937442885766,41.10666510683956,5.063973028979793,10.635075146491149,0,3040.5078999999996,1.16,30,14.1504,1,BSE 200 - TRI,Very High
Edelweiss Multi Asset Allocation Fund,M_EDMU,/mutualfunds/edelweiss-multi-asset-allocation-fund-M_EDMU,1.9426516912163676,4.844552896987663,6.576251672000133,7.732432643969944,,,0.52,0.8603983263582049,0.0975,2.6081816424474735,10.717063993328148,2.5192843983957034,11.8571,23.354202884615404,22.111512158154213,7.048415268486462,15.063096889667758,0,52.015460764586706,0,2863.1443,0.81,38,12.589,0.25,CRISIL Short Term Bond Index,Low
Franklin India Multi Asset Allocation Fund,M_FRANS,/mutualfunds/franklin-india-multi-asset-allocation-fund-M_FRANS,-0.03618632337909096,-0.7918765319040096,,,,,3.73,0.5444956198170927,0.0538,12.444026716461197,10.717063993328148,7.278461856738689,25.4712,23.354202884615404,68.8829379822148,3.853579497437279,52.46010722877145,12.569251256006087,13.228771753570726,0,2825.726998299,0.43,13,11.0499,0.5,NIFTY 500 - TRI,Very High
Axis Multi Asset Allocation Fund,M_AXPU,/mutualfunds/axis-multi-asset-allocation-fund-M_AXPU,1.8651270478590882,-1.4065835979266228,12.258977191248563,13.836101748702712,10.762980215856622,11.75961818974056,3.5900000000000003,0.6937159937611357,0.0672,12.369416529489175,10.717063993328148,7.438794386189204,27.0485,23.354202884615404,63.930946702205716,13.778129559204528,42.21560024282341,7.355624443793565,14.929887904518868,0,2384.1193,1.44,163,52.1361,1,NIFTY 500 - TRI,Very High
Bajaj Finserv Multi Asset Allocation Fund,M_BAJAO,/mutualfunds/bajaj-finserv-multi-asset-allocation-fund-M_BAJAO,0.8195341004771248,-2.7144349440941022,11.898574200323965,,,,5.489999999999999,0.6857787398279419,0.0656,12.450376519607751,10.717063993328148,7.988052358366212,22.4769,23.354202884615404,67.29699692244428,9.912486148653212,44.998921378524,12.385589395267072,6.603801734133695,0,1875.449398,0.75,26,12.5727,1,NIFTY 50 - TRI,Very High
Baroda BNP Paribas Multi Asset Fund,M_BABL,/mutualfunds/baroda-bnp-paribas-multi-asset-fund-M_BABL,0.09445226596331492,1.1927068319400345,9.689935096638946,15.272609767389756,,,3.4299999999999997,0.5254462103774277,0.0528,11.963029128109655,10.717063993328148,6.778414858947481,25.5037,23.354202884615404,67.72112900679375,12.293516937120316,49.227396735312084,6.200215334361341,11.572051435825081,0,1446.6804000000002,0.93,44,16.8498,1,NIFTY 500 - TRI,Very High
