Name,"Sub Category","Plan","AUM","Returns vs sub-category - 5Y","Returns vs sub-category - 10Y","PE Ratio","Category YTM","Returns vs sub-category - 1Y","Average Maturity","Category PE Ratio","Sortino Ratio","Sharpe Ratio","Returns vs sub-category - 3Y"
Edelweiss US Technology Equity FOF,"FoFs (Overseas)","Growth","3897.3331","1.5474006243647715","0","0","3.9150000000000014","1.1445468594390176","0","0","0.1527","1.5049033457335392","1.509988962065601"
HSBC Short Duration Fund,"Short Duration Fund","Growth","3869.8199","1.9842794752568618","2.3443447119995815","0","7.4664102564102635","2.918831117244604","2.5","0","-0.0487","-0.4063874013795212","2.035963286178321"
Axis Greater China Equity FoF,"FoFs (Overseas)","Growth","3858.8551","0.5393369604908912","0","0","3.9150000000000014","1.37136511679358","0","0","0.2357","2.1494083651088736","0.8894515944351791"
SBI Silver ETF FOF,"FoFs (Domestic) - Silver","Growth","3849.9663","0","0","0","0","1.0315605276668143","0","0","0.1749","1.9351025089126415","0"
SBI Dynamic Bond Fund,"Dynamic Bond Fund","Growth","3825.5546000000004","2.3903818955903815","2.7910453614003523","0","7.315404411764704","-2.9566701024318967","4.28","0","-0.1257","-1.2128124009920083","2.405615210144003"
Baroda BNP Paribas Money Market Fund,"Money Market Fund","Growth","3813.2778999999996","2.244705767498336","0","0","7.0568421052631605","2.479269462261066","0.66","0","0.5688","4.1083226358210965","2.1078772796880623"
UTI Transportation & Logistics Fund,"Thematic Fund","Growth","3810.9251","1.5183152039340337","1.04746977563261","22.8586","0","2.1426382785722566","0","28.99236167664669","0.0248","0.23811761799581316","1.3500379748403315"
Aditya Birla SL Digital India Fund,"Sectoral Fund - Technology","Growth","3798.7853999999998","1.3676278794055299","1.343719604406199","28.448","0","1.0535778063812364","0","30.814870270270248","-0.0838","-0.8508736216383724","1.21041232628888"
ICICI Pru Commodities Fund,"Thematic Fund","Growth","3789.0617706188","1.5025571107384745","0","19.9744","0","5.256699967760426","0","28.99236167664669","0.0865","0.8524610724250111","1.468949416066764"
Axis Balanced Advantage Fund,"Balanced Advantage Fund","Growth","3763.9754","1.6920363486693115","0","23.7629","6.9594690265486765","-2.1498927368067218","2.64","23.530426400000017","-0.0378","-0.3730509348601073","1.695197274606402"
Altiva Hybrid Long-Short Fund,"Balanced Hybrid Fund","Growth","3761.2089","0","0","18.8776","7.197857142857141","0","2.16","29.51664285714286","0.1789","1.706509595636661","0"
UTI Dividend Yield Fund,"Dividend Yield Fund","Growth","3750.4971","1.1980545480688605","1.4822501849030527","18.6696","0","-6.002500746469366","0","20.03212727272727","-0.025","-0.2539921258622007","1.3175977740527205"
SBI Banking and PSU Fund,"Banking & PSU Fund","Growth","3747.8907","2.568412773795126","3.067310603562167","0","7.373133640553","5.576378701716614","4.08","0","-0.0873","-0.7540391236534084","2.5955181534339853"
HDFC Medium Term Debt Fund,"Medium Duration Fund","Growth","3746.2909999999997","2.092985912571776","3.075328180130924","0","7.810347222222234","5.2173826027206305","4.5","0","0.013","0.11270900585135157","2.4555818895874877"
Tata Ethical Fund,"Thematic Fund","Growth","3703.8356954901997","0.8448499245680243","0.9552256944134794","26.0613","0","-0.9081001026137923","0","28.99236167664669","-0.0626","-0.6540297240951668","0.6116305553155073"
Nippon India Index Fund-Nifty 50 Plan,"Index Fund","Growth","3663.3602","0.9258498046062329","1.1058584585372058","19.8033","0","-2.744781233808309","0","24.005141312056736","-0.0593","-0.5873567910563391","0.6608685638007099"
DSP Dynamic Asset Allocation Fund,"Dynamic Asset Allocation Fund","Growth","3661.2606","2.4918472348155998","1.9102607043766677","20.1316","6.994772727272732","-1.7607544912992616","3.16","24.489697999999986","-0.0095","-0.09207214562504774","1.8380281433914993"
Franklin India Liquid Fund-Super,"Liquid Fund","Growth","3635.4415933220002","5.453669068073281","1.7041935657648393","0","6.138900414937778","3.2322536262237405","0.08","0","-0.1719","-2.335140107145608","3.0121924339910824"
Tata Flexi Cap Fund,"Flexi Cap Fund","Growth","3633.286898017","1.1883231058905135","0","24.1317","0","2.0017446389024247","0","26.007497777777786","-0.038","-0.3809881887933011","1.2061906966912859"
Bandhan CRISIL IBX Gilt April 2028 Index Fund,"Index Funds - Debt Oriented","Growth","3630.24","3.0064937228321282","0","0","6.728705179282877","1.282027534313899","1.59","0","0.0783","0.6508548225218893","1.1353301770421307"
Tata Aggressive Hybrid Fund,"Aggressive Hybrid Fund","Growth","3608.2292566970996","1.2728620183945243","1.3629046339816602","22.9202","7.129446808510636","0.22541182412889987","6.63","25.0177225680934","-0.0471","-0.4730603344183488","1.0190272834021332"
ICICI Pru US Bluechip Equity Fund,"Thematic Fund - Global","Growth","3607.424506023","1.2537697656046964","1.3323470503011496","0","0","0.397378265934979","0","26.287499999999998","0.1279","1.1159779030070445","0.6299847904888483"
Sundaram Small Cap Fund,"Small Cap Fund","Growth","3562.9142000751904","1.2746057035347034","1.1596291186584335","28.0646","0","2.631466867517307","0","31.598579411764693","0.0493","0.4635356296985163","1.3533021438971753"
DSP Equity Savings Fund,"Equity Savings","Growth","3541.4099","1.7321349563018944","1.9021392135792203","17.4884","6.893919597989943","3.6318994242782807","4.82","21.863507555555596","-0.0714","-0.6445050193753342","1.683994281203963"
Aditya Birla SL Banking & Financial Services Fund,"Sectoral Fund - Banks & Financial Services","Growth","3541.0872","1.2195118479263416","1.2680596466802057","18.9403","0","1.47546927088195","0","18.56032048192772","-0.0128","-0.12382116135782284","1.230509814212434"
Kotak Pioneer Fund,"Thematic Fund","Growth","3495.2981","1.4061481409635628","0","45.3647","0","3.3516296132048398","0","28.99236167664669","0.0627","0.6032312989227266","1.4906933246733063"
Magnum Hybrid Long Short Fund,"Balanced Hybrid Fund","Growth","3461.982","0","0","23.0938","7.197857142857141","0","1.9","29.51664285714286","0.0295","0.271454084515227","0"
Mirae Asset Arbitrage Fund,"Arbitrage Fund","Growth","3460.7540000000004","1.5241108226958326","0","21.1489","6.30893617021276","1.4490662085632458","0.01","19.176108127208487","0.3211","2.4303871543439333","1.510186394016052"
UTI ELSS Tax Saver Fund,"Equity Linked Savings Scheme (ELSS)","Growth","3437.8678000000004","0.8940681182749572","1.1769008243348849","23.7834","0","8.846905586972676","0","25.46424319248826","-0.0562","-0.5603701276834803","0.9146514298256739"
HDFC Long Duration Debt Fund,"Long Duration Fund","Growth","3435.9258","0","0","0","7.575000000000004","0.8100131936457132","29.14","0","-0.1623","-1.6065001960784195","2.481837972321671"
NJ Balanced Advantage Fund,"Balanced Advantage Fund","Growth","3435.232504","0","0","23.9887","6.9594690265486765","-1.63869385843308","0.0821917808219178","23.530426400000017","-0.0441","-0.4365489663256575","1.411519045507627"
Kotak Nifty SDL Apr 2032 Top 12 Equal Weight Index Fund,"Index Funds - Debt Oriented","Growth","3427.7308000000003","0","0","0","6.728705179282877","0.32660784937413967","5.68","0","-0.1014","-1.0048563479423316","1.0442458415303988"
WOC Multi Cap Fund,"Multi Cap Fund","Growth","3421.3639000000003","0","0","26.5966","0","3.1140508221518957","0","28.07517499999999","0.0238","0.2365301672091744","0"
Motilal Oswal Nifty Midcap 150 Index Fund,"Index Fund","Growth","3408.0978999999998","1.6703254303202335","0","28.3783","0","7.929381847801879","0","24.005141312056736","0.0338","0.33812701755405467","1.504619496383307"
Franklin India Large & Mid Cap Fund,"Large & Mid Cap Fund","Growth","3399.218213682","1.0503681548945385","1.08761638262201","31.8833","0","-0.0031903310450946917","0","28.4546280193237","-0.0326","-0.32066505890102837","1.0907199413021949"
DSP Banking & PSU Debt Fund,"Banking & PSU Fund","Growth","3387.7908","2.488316770269987","3.0281021694042343","0","7.373133640553","3.3457907632917703","7.11","0","-0.1575","-1.5414147138262306","2.473574983666268"
Aditya Birla SL MNC Fund,"Thematic Fund - MNC","Growth","3352.8921","0.9022470437685421","1.0022324334409844","38.2392","0","-0.3917162523682369","0","36.94554285714288","-0.0468","-0.4809975883515426","1.2145247922970108"
Parag Parikh Conservative Hybrid Fund,"Conservative Hybrid Fund","Growth","3344.4903000000004","0","0","10.966","7.412100000000004","-1.53492683307007","4.91","23.80660700000002","-0.0509","-0.48734739149809764","3.195404153307367"
Mirae Asset Multi Asset Allocation Fund,"Multi Asset Allocation Fund","Growth","3341.5981","0","0","22.2499","6.745476190476196","1.1944428103031624","2.51","22.43889587628866","0.0961","0.9715198814229177","0"
Kotak Floating Rate Fund,"Floating Rate Fund","Growth","3329.3034000000002","1.989180829488926","0","0","7.305103448275873","2.1421615799316944","2.44","0","0.1552","1.2953598418972236","1.760462534966675"
Edelweiss Flexi Cap Fund,"Flexi Cap Fund","Growth","3320.4741999999997","1.4892324191587551","1.553451097742947","25.2664","0","-15.786187541267099","0","26.007497777777786","0.0022","0.02222431101294256","1.4318957259290623"
Edelweiss Aggressive Hybrid Fund,"Aggressive Hybrid Fund","Growth","3308.903","1.8337695191090555","1.7923760154774158","22.0605","7.129446808510636","-1.7480603770561611","1.19","25.0177225680934","-0.0076","-0.07461018697202146","1.7026254919790813"
Aditya Birla SL Nifty SDL Apr 2027 Index Fund,"Index Funds - Debt Oriented","Growth","3289.0602000000003","0","0","0","6.728705179282877","1.4444762907594233","0.64","0","0.4903","2.7907384829109305","1.1371272348284085"
ICICI Pru Regular Savings Fund,"Conservative Hybrid Fund","Growth","3288.9413907945","2.825818454967685","3.338686176099498","23.3989","7.412100000000004","-2.1137616551908547","4.82","23.80660700000002","-0.0001","-0.0015874507866387546","3.1496764701351188"
Sundaram Multi Asset Allocation Fund,"Multi Asset Allocation Fund","Growth","3276.66795","0","0","25.7698","6.745476190476196","0.8953611136722004","3.6","22.43889587628866","0.0508","0.5127466040843177","0"
HDFC Hybrid Debt Fund,"Conservative Hybrid Fund","Growth","3261.0712","2.6501818632747147","3.0209343140832012","15.3462","7.412100000000004","-0.03448004631067513","11.68","23.80660700000002","-0.1337","-1.28742258796403","2.6176785309471864"
Quant Large & Mid Cap Fund,"Large & Mid Cap Fund","Growth","3249.4649","1.4545938245257317","1.4773494293764344","32.5059","0","9.432649520356543","0","28.4546280193237","0.0199","0.1920815451832893","1.4614741959730397"
DSP Short Term Fund,"Short Duration Fund","Growth","3245.4344","2.0170423144818415","2.357380364718913","0","7.4664102564102635","2.791838536832033","3.29","0","-0.061","-0.5127466040843177","2.025168590217173"
Bandhan Multi Asset Allocation Fund,"Multi Asset Allocation Fund","Growth","3240.2929","0","0","21.7673","6.745476190476196","1.6041132635429658","2.09","22.43889587628866","0.1401","1.4302931587615177","0"
Aditya Birla SL CRISIL-IBX Financial Services 3 to 6 Months Debt Index Fund,"Index Funds - Debt Oriented","Growth","3232.2718","0","0","0","6.728705179282877","1.5951163766607783","0.3","0","0.8433","5.979927113268188","0"
Franklin Build India Fund,"Sectoral Fund - Infrastructure","Growth","3213.952361822","1.271068486123645","1.3093399724238661","20.2776","0","1.0873982876900579","0","26.744205599999997","0.0127","0.1254086121444616","1.2996914354283997"
Motilal Oswal Large Cap Fund,"Large Cap Fund","Growth","3170.7534","0","0","22.3187","5.6000000000000005","0.3780813442200358","0","23.647500778210134","-0.0411","-0.41273720452607615","0"
SBI Quant Fund,"Thematic Fund","Growth","3146.2065999999995","0","0","15.1677","0","0.6300203199700073","0","28.99236167664669","-0.0125","-0.1285835137177391","0"
Edelweiss Greater China Equity Off-shore Fund,"FoFs (Overseas)","Growth","3143.4411","0.43684683482745273","1.2466817038868896","0","3.9150000000000014","1.5697889905645415","0","0","0.2896","2.525634201542258","0.9806368775305856"
DSP Healthcare Fund,"Sectoral Fund - Pharma & Health Care","Growth","3142.3571","1.3632234964756933","0","38.185","0","1.0015723129731218","0","43.46111132075474","0.0658","0.6095811020692816","1.07408103323538"
Tata ST Bond Fund,"Short Duration Fund","Growth","3141.8457967230997","2.0613332264779585","2.2020798439854166","0","7.4664102564102635","2.8839886651428164","3.95","0","-0.0491","-0.39210034429977236","2.028787215206132"
HSBC Ultra Short Duration Fund,"Ultra Short Duration Fund","Growth","3117.8071","2.656822494405024","0","0","6.87384868421054","3.0022979213901344","0.4683333333333333","0","0.6669","4.598844928892472","2.7865636885648195"
Tata Corp Bond Fund,"Corporate Bond Fund","Growth","3115.6172254489","0","0","0","7.506023166023162","125.58626835999172","5.28","0","-0.1022","-0.9397708656901427","2.4858361430970732"
Quant Large Cap Fund,"Large Cap Fund","Growth","3112.325","0","0","30.6377","5.6000000000000005","-1.4143570226594306","0","23.647500778210134","0.0094","0.08889724405177024","1.7444125642009978"
UTI Low Duration Fund,"Low Duration Fund","Growth","3108.335","2.7797782146927834","2.554494341882458","0","7.253582554517132","2.6712272719778745","0.98","0","0.3847","2.716128295938909","2.4357208843922096"
Aditya Birla SL Medium Term Plan,"Medium Duration Fund","Growth","3097.7547999999997","3.946440212606955","3.6841380680732354","0","7.810347222222234","8.564332322311815","3.81","0","0.2559","1.4001315938153813","3.331686565311049"
Quant Infrastructure Fund,"Sectoral Fund - Infrastructure","Growth","3072.9257000000002","1.1515459003019373","1.4578976123897218","27.29","0","1.6495659967725562","0","26.744205599999997","0.0301","0.2889160431682533","1.1014647164854185"
ICICI Pru Bharat Consumption Fund,"Sectoral Fund - Consumption","Growth","3064.8798716902","1.5556451258770254","0","40.1953","0","0.3635812733761396","0","40.72001621621625","-0.0472","-0.47464778520498757","1.7545213266703485"
Kotak Business Cycle Fund,"Thematic Fund","Growth","3064.2785","0","0","28.5051","0","1.2818804412354299","0","28.99236167664669","0.0069","0.0698478346121052","1.1665660778845082"
Nippon India Retirement Fund-Wealth Creation,"Solution Oriented, Retirement Fund - Equity Oriented","Growth","3055.8208","1.3369773739984365","1.1396909348217774","0","6.5268749999999995","0.21367493323633263","0","0","-0.0302","-0.30320310024800207","1.3727092297972554"
Tata Banking & Financial Services Fund,"Sectoral Fund - Banks & Financial Services","Growth","3043.1782723971996","1.3173499366769397","1.4726741667883538","18.5193","0","1.5858119000680613","0","18.56032048192772","-0.011","-0.10953410427807406","1.3638727214242836"
Nippon India Nifty Smallcap 250 Index Fund,"Index Fund","Growth","3031.6202000000003","1.416336804106276","0","29.287","0","1.763689970021562","0","24.005141312056736","-0.0085","-0.08572234247849274","1.2812848596432986"
