Name,"Sub Category","Plan","AUM","Average YTM","% Away from ATH","% A Rated Bonds","% Equity Holding","% Smallcap Holding","% Debt Holding","% Concentration - Top 3 Holdings","% Concentration - Top 5 Holdings","% Cash Holding"
UTI Dividend Yield Fund,"Dividend Yield Fund","Growth","3750.4971","0","7.68","0","91.86626220828165","18.153476241856037","0.542080141856396","16.596117352017153","22.600494745083264","2.40321476318431"
SBI Banking and PSU Fund,"Banking & PSU Fund","Growth","3747.8907","7.38","0.31","86.38695093216035","0","0","0","16.40038222032462","26.33515966727632","2.564178299009626"
HDFC Medium Term Debt Fund,"Medium Duration Fund","Growth","3746.2909999999997","8.32","0.35","75.84502378485814","0","0","0","15.072822693165051","23.123278463952744","2.6129417068775447"
Tata Ethical Fund,"Thematic Fund","Growth","3703.8356954901997","0","15.85","0","93.37634237423342","15.266897521628886","0","19.700209606453107","26.678947899696706","6.62365762576654"
Nippon India Index Fund-Nifty 50 Plan,"Index Fund","Growth","3663.3602","0","9.98","0","100.13098077103216","0","0","27.754603527362754","37.31115217784099","-0.13098077103213612"
DSP Dynamic Asset Allocation Fund,"Dynamic Asset Allocation Fund","Growth","3661.2606","7.2","1.73","21.70852574656936","66.55578682380599","8.10545417062091","29.80449957591109","19.03128938704883","25.0987323874187","3.6397136002829233"
Franklin India Liquid Fund-Super,"Liquid Fund","Growth","3635.4415933220002","6.13","0","79.20058557279577","0","0","0","27.8512049353483","36.03045613130233","18.2641440225771"
Tata Flexi Cap Fund,"Flexi Cap Fund","Growth","3633.286898017","0","7.04","0","90.76780316467513","15.549201476721825","0","16.13477042839508","23.196973529946","6.67783758418366"
Bandhan CRISIL IBX Gilt April 2028 Index Fund,"Index Funds - Debt Oriented","Growth","3630.24","6.11","0.02","0","0","0","0","97.7754696139025","99.89241260638276","2.1169541477909144"
Tata Aggressive Hybrid Fund,"Aggressive Hybrid Fund","Growth","3608.2292566970996","7.72","7.24","8.129689792594155","74.12078038683279","9.53369906406568","19.7157911381841","14.29377178024525","20.9942339556993","4.73176337768499"
ICICI Pru US Bluechip Equity Fund,"Thematic Fund - Global","Growth","3607.424506023","0","2.29","0","97.86984021717714","0","0","8.619124238937511","13.664072503167102","2.130159782822913"
Sundaram Small Cap Fund,"Small Cap Fund","Growth","3562.9142000751904","0","2.36","0","94.9196927554347","81.55028812182654","0","12.62698748793891","18.36680082277356","4.483212353341051"
DSP Equity Savings Fund,"Equity Savings","Growth","3541.4099","6.74","0.93","16.337529863459178","67.52284732699258","5.90728003555872","26.28734109542077","15.09487224283187","21.467150696111172","5.221152174448947"
Aditya Birla SL Banking & Financial Services Fund,"Sectoral Fund - Banks & Financial Services","Growth","3541.0872","0","8.49","0","98.38590814707986","19.033662881840357","0","33.29689254757698","44.74147374851436","1.6140918529201993"
Kotak Pioneer Fund,"Thematic Fund","Growth","3495.2981","0","0.45","0","75.40103088775173","17.977076118343085","0","27.90465282489065","34.66241978044731","5.245109136757173"
Magnum Hybrid Long Short Fund,"Balanced Hybrid Fund","Growth","3461.982","7.07","0","16.736736355070576","67.01610233675392","1.18212630799351","23.342928992698383","12.17328397432453","19.01754832925186","4.102132824491865"
Mirae Asset Arbitrage Fund,"Arbitrage Fund","Growth","3460.7540000000004","5.34","0.08","0","75.38346845802968","5.146941966981762","0","19.46166066701071","22.720681678038943","6.404769018543359"
UTI ELSS Tax Saver Fund,"Equity Linked Savings Scheme (ELSS)","Growth","3437.8678000000004","0","10.96","0","97.90126892023014","13.107455731718364","0","19.12720436777702","26.81091460235905","2.09553142212159"
HDFC Long Duration Debt Fund,"Long Duration Fund","Growth","3435.9258","7.71","3.66","0","0","0","0","66.2856649546699","85.47308955253122","2.043378310832493"
NJ Balanced Advantage Fund,"Balanced Advantage Fund","Growth","3435.232504","5.26","6.45","0","86.51064952778519","9.416592897957749","3.9761708659007278","15.90843453430481","22.62984086505953","5.939017133845799"
Kotak Nifty SDL Apr 2032 Top 12 Equal Weight Index Fund,"Index Funds - Debt Oriented","Growth","3427.7308000000003","7.57","1.35","0","0","0","0","40.5641364835301","57.759535842196186","3.7308268198891277"
WOC Multi Cap Fund,"Multi Cap Fund","Growth","3421.3639000000003","0","4.06","0","87.17982615061784","25.75046167991659","4.145487125762916","13.93280615370964","18.042079651334372","4.430206912512291"
