name,mfId,slug,ret3m,ret6m,ret1y,ret3y,ret5y,ret10y,alpha,sharpe,sortino,stdDevAnn,catStdDevAnn,trackErr,pe,catPe,percEquityH,percMidcap,percLargecap,percSmallcap,percDebtH,percOtherH,aum,expRatio,age,navClose,exitLoad,benchmarkIndex,riskClassification,subsector
HDFC Multi-Asset Allocation Fund(IDCW Reinvest),M_HDUM,/mutualfunds/hdfc-multi-asset-allocation-fundidcw-reinvest-M_HDUM,0.5823783580687525,-5.677163620347933,0.9379271339020674,6.22553007216935,5.129375815193815,5.6407801716183315,2.41,0.19843134832984433,0.0197,9.040532229907706,10.717063993328148,6.481561561846035,21.3559,23.354202884615404,67.98733119645267,7.141914219925374,53.2547445528263,7.590672423701005,14.565332470229315,0,5881.4078,1.04,,21.416,1,NIFTY 50 - TRI,Very High,Multi Asset Allocation Fund
HDFC Multi-Asset Allocation Fund(IDCW),M_HDCUM,/mutualfunds/hdfc-multi-asset-allocation-fundidcw-M_HDCUM,0.5823783580687525,-5.677163620347933,0.9379271339020674,6.22553007216935,5.129375815193815,5.6407801716183315,2.41,0.19843134832984433,0.0197,9.040532229907706,10.717063993328148,6.481561561846035,21.3559,23.354202884615404,67.98733119645267,7.141914219925374,53.2547445528263,7.590672423701005,14.565332470229315,0,5881.4078,1.04,,21.416,1,NIFTY 50 - TRI,Very High,Multi Asset Allocation Fund
HDFC Multi-Asset Allocation Fund,M_HDCUU,/mutualfunds/hdfc-multi-asset-allocation-fund-M_HDCUU,0.5852502573186255,-1.3718725062197776,5.5458575608776055,12.441665844955363,12.074955199117031,11.763371242509812,2.42,0.20001879911648307,0.0199,9.038944779121069,10.717063993328148,6.478386660272757,21.3559,23.354202884615404,67.98733119645267,7.141914219925374,53.2547445528263,7.590672423701005,14.565332470229315,0,5881.4078,1.04,,84.043,1,NIFTY 50 - TRI,Very High,Multi Asset Allocation Fund
Quant Multi Asset Allocation Fund(IDCW),M_QUNM,/mutualfunds/quant-multi-asset-allocation-fundidcw-M_QUNM,4.163446885815599,5.261314819970357,19.889161423340795,22.70547478293019,20.305164186472922,19.078870110291057,7.049999999999999,1.5160155012400105,0.1664,9.892993302332718,10.717063993328148,8.842100881577863,22.4821,23.354202884615404,52.65804758308152,4.5115238867272485,44.62339765844732,3.5231260379069522,10.45492189097284,0,5615.034100000001,1.16,,168.6301,1,,High,Multi Asset Allocation Fund
Quant Multi Asset Allocation Fund,M_QUNS,/mutualfunds/quant-multi-asset-allocation-fund-M_QUNS,4.163651899573685,5.2617923782075104,19.891114759984635,22.71009952025551,20.31765522517679,18.998745816892537,7.049999999999999,1.5160155012400105,0.1665,9.891405851546079,10.717063993328148,8.842100881577863,22.4821,23.354202884615404,52.65804758308152,4.5115238867272485,44.62339765844732,3.5231260379069522,10.45492189097284,0,5615.034100000001,1.16,,182.9771,1,NIFTY 500 - TRI,High,Multi Asset Allocation Fund
Quant Multi Asset Allocation Fund(IDCW),M_QUML,/mutualfunds/quant-multi-asset-allocation-fundidcw-M_QUML,4.163446885815599,5.261314819970357,19.889161423340795,22.70547478293019,20.305164186472922,19.078870110291057,7.049999999999999,1.5160155012400105,0.1664,9.892993302332718,10.717063993328148,8.842100881577863,22.4821,23.354202884615404,52.65804758308152,4.5115238867272485,44.62339765844732,3.5231260379069522,10.45492189097284,0,5615.034100000001,1.16,,168.6301,1,NIFTY 500 - TRI,High,Multi Asset Allocation Fund
Tata Multi Asset Allocation Fund(IDCW Payout),M_TATA,/mutualfunds/tata-multi-asset-allocation-fundidcw-payout-M_TATA,1.9009711483040248,0.7537634408602156,9.111551882746122,14.129174536977507,13.667646786360542,,3.56,0.43496151553901874,0.0434,10.123173666395338,10.717063993328148,6.079936512826429,19.8953,23.354202884615404,66.18832853895208,12.898277431428868,40.203248560804404,13.086802546718816,9.183698655856652,0,5154.5386857627,0.61,,28.1103,0.5,BSE 200,Very High,Multi Asset Allocation Fund
Tata Multi Asset Allocation Fund(IDCW),M_TATU,/mutualfunds/tata-multi-asset-allocation-fundidcw-M_TATU,1.9009711483040248,0.7537634408602156,9.111551882746122,14.129174536977507,13.667646786360542,,3.56,0.43496151553901874,0.0434,10.123173666395338,10.717063993328148,6.079936512826429,19.8953,23.354202884615404,66.18832853895208,12.898277431428868,40.203248560804404,13.086802546718816,9.183698655856652,0,5154.5386857627,0.61,,28.1103,0.5,BSE 200,Very High,Multi Asset Allocation Fund
Tata Multi Asset Allocation Fund,M_TATI,/mutualfunds/tata-multi-asset-allocation-fund-M_TATI,1.9009711483040248,0.7537634408602156,9.111551882746122,14.129174536977507,13.667646786360542,,3.56,0.43496151553901874,0.0434,10.123173666395338,10.717063993328148,6.079936512826429,19.8953,23.354202884615404,66.18832853895208,12.898277431428868,40.203248560804404,13.086802546718816,9.183698655856652,0,5154.5386857627,0.61,,28.1103,0.5,BSE 200,Very High,Multi Asset Allocation Fund
Bandhan Multi Asset Allocation Fund(IDCW Reinvest),M_BANHS,/mutualfunds/bandhan-multi-asset-allocation-fundidcw-reinvest-M_BANHS,2.3772274867393812,-4.31619111278216,7.992801684845825,,,,4.49,0.9477081196233365,0.094,10.294618351352321,10.717063993328148,7.248300291792553,21.578,23.354202884615404,67.12288587450969,13.728107787731686,38.517694031473496,14.877084055304456,8.372054090600997,0,3490.6726215265203,0.79,,13.7423,0.5,NIFTY 500 - TRI,Very High,Multi Asset Allocation Fund
Bandhan Multi Asset Allocation Fund(IDCW),M_BANHC,/mutualfunds/bandhan-multi-asset-allocation-fundidcw-M_BANHC,2.3772274867393812,-4.31619111278216,7.992801684845825,,,,4.49,0.9477081196233365,0.094,10.294618351352321,10.717063993328148,7.248300291792553,21.578,23.354202884615404,67.12288587450969,13.728107787731686,38.517694031473496,14.877084055304456,8.372054090600997,0,3490.6726215265203,0.79,,13.7423,0.5,NIFTY 500 - TRI,Very High,Multi Asset Allocation Fund
Bandhan Multi Asset Allocation Fund,M_BANHP,/mutualfunds/bandhan-multi-asset-allocation-fund-M_BANHP,2.3800373147365272,2.0129228112684774,15.136107880426255,,,,4.49,0.9492955704099751,0.0941,10.294618351352321,10.717063993328148,7.248300291792553,21.578,23.354202884615404,67.12288587450969,13.728107787731686,38.517694031473496,14.877084055304456,8.372054090600997,0,3490.6726215265203,0.79,,14.6513,0.5,NIFTY 500 - TRI,Very High,Multi Asset Allocation Fund
Mirae Asset Multi Asset Allocation Fund(IDCW),M_MIUI,/mutualfunds/mirae-asset-multi-asset-allocation-fundidcw-M_MIUI,0.6648359589536098,0.9054690329590728,12.022517088862076,,,,4.05,0.814362253545681,0.0815,10.110474060102227,10.717063993328148,7.22607598077961,23.7519,23.354202884615404,68.75773527950449,12.004371763552733,47.64052681395366,8.644738635638655,15.028448980484875,0,3478.1387,0.6,,13.93,1,NIFTY 500 - TRI,Very High,Multi Asset Allocation Fund
Mirae Asset Multi Asset Allocation Fund(IDCW),M_MIUM,/mutualfunds/mirae-asset-multi-asset-allocation-fundidcw-M_MIUM,0.6648359589536098,0.9054690329590728,12.022517088862076,,,,4.05,0.814362253545681,0.0815,10.110474060102227,10.717063993328148,7.22607598077961,23.7519,23.354202884615404,68.75773527950449,12.004371763552733,47.64052681395366,8.644738635638655,15.028448980484875,0,3478.1387,0.6,,13.93,1,,Very High,Multi Asset Allocation Fund
Mirae Asset Multi Asset Allocation Fund,M_MIUD,/mutualfunds/mirae-asset-multi-asset-allocation-fund-M_MIUD,0.6647398843930674,0.9126466753585487,12.029591508523644,,,,4.06,0.814362253545681,0.0815,10.113648961675505,10.717063993328148,7.22607598077961,23.7519,23.354202884615404,68.75773527950449,12.004371763552733,47.64052681395366,8.644738635638655,15.028448980484875,0,3478.1387,0.6,,13.932,1,NIFTY 500 - TRI,Very High,Multi Asset Allocation Fund
