Name,Ticker,"Sub-Sector","Market Cap","5Y Avg EBITDA Margin","Return on Equity","5Y Avg Net Profit Margin","EBITDA Margin","Return on Investment","5Y Avg Return on Equity","Return on Assets","5Y Avg Return on Assets","Net Profit Margin","5Y Avg Return on Investment","5Y Avg Cash Flow Margin","Cost of Goods Sold","Cash Flow Margin","ROCE"
ACI Infocom Ltd,ACIIN,"IT Services & Consulting","13.4798898","13.417789643679294","-3.2461677186654634","6.301002820827499","-33.812949640287755","-3.2987171655467304","-0.14600006627502643","-3.1625183016105405","-0.14582814824022972","-38.84892086330933","-0.1585011279779292","62.369418668573154","0.5","-15.827338129496402","-2.871105681124007"
NPR Finance Ltd,NPRFIN,"Consumer Finance","13.4766","1.3480127899517995","1.2123702866536537","-4.023183440114982","11.633986928104582","1.1634786038256764","-0.6603944692315106","1.1239165634822372","-0.5844775139826341","7.712418300653601","-0.6583451410363381","2.9423067922578072",,"39.08496732026144","1.4637002341920387"
Tuni Textile Mills Ltd,TUNITEX,"Textiles","13.454993","4.364620566989329","4.098060739114455","0.6011923072178005","3.651062720041714","7.614708753660886","2.335165044267016","1.270994098955947","0.840931662336976","0.7302125440083326","6.1652592042956424","0.04211359029774736","72.96000000000001","-1.3952275394445168","17.33870967741929"
Alps Industries Ltd,ALPSINDUS,"Textiles","13.4161363","-12.625479312163817",,"-2205.009620612384","-77.27272727272725",,,"-676.906779661017","-392.6583591123771","-9681.818181818182",,"1825.8052946136604","0","8209.09090909091","0.1270774674208257"
Shree Krishna Infrastructure Ltd,SKIFL,"Real Estate","13.398","13.053752535496958","0.42735042735042805","4.500772722882257","12.941176470588246","0.4201680672268915","0.4887883516305786","0.42589437819420867","0.48282809019003814","5.882352941176481","0.5101039314769443","-133.56365304742587","0","292.94117647058823","0.503778337531487"
Edelweiss Gold ETF,EGOLD,"Gold","13.350582",,,,,,,,,,,,,,
Yogi Infra Projects Ltd,YOGISUNG,"Construction & Engineering","13.3250278","-13.757293581542816","-0.4556302885659505","-17.219493164133667","-0.10699665053965697","-0.20205907822577368","0.056564986897426395","-0.08491023774868454","0.00017990816627742878","-0.09769259397099303","0.011986005730964732","1594.7141525197858","53.11","-119.05005582433942","-0.32714326950836775"
Seasons Textiles Ltd,SEASONST,"Textiles","13.2877922","15.744640906745625","-1.002865329512887","-2.0598925426346346","12.335766423357672","3.4879603399433465","-1.270866029017462","-0.5596418292292896","-0.6979446716239511","-1.277372262773714","3.525072337619097","7.4299720353431615","10.84","11.532846715328466","4.216740459624716"
Saroja Pharma Industries India Ltd,SAROJA,"Pharmaceuticals","13.2676038","5.21294149597996","6.860158311345607","2.0402293933041125","5.5267062314539945","9.74542561654731",,"3.145319824587915",,"1.9287833827893066","16.54040611469163","-0.08757990885074299","48.31","2.1327893175074184","16.813122437023985"
Sovereign Diamonds Ltd,SOVERDIA,"Precious Metals, Jewellery & Watches","13.260312582","8.98606556713855","0.058927519151431275","1.189984341682988","8.620689655172404","4.77657935285053","3.4223982657697904","0.03382377811600841","1.8032209937998744","0.046598322460381585","6.099040027071255","8.439536776101347","11.42","11.835973904939424","7.696693272519943"
Reetech International Ltd,REETECH,"Commodities Trading","13.2519585","3.7649311003647568","-31.184731724882973","-4.411967584204944","4.658151765589777","-28.47222222222223",,"-25.90487586000599",,"-32.53193087903833","11.170522360422662","1.3877367253672108","12.02","-3.9068369646882046","-0.28449502133713245"
OTCO International Ltd,OTCO,"IT Services & Consulting","13.2274824","9.21609776049318","0.7561436672967891","6.055831825103806","8.791208791208799","0.2341920374707268","6.82447062003761","0.2176278563656155","2.3197786205669395","2.197802197802205","3.790918749896123","-47.98680385324715","0.01","74.72527472527473","1.127819548872183"
Garbi Finvest Ltd,GARBIFIN,"Consumer Finance","13.22047636","54.39810762199384","1.8625995410986633","39.709124270198835","38.62068965517241","1.8205804749340366","12.863321938178405","1.7719568567026192","12.384191131069116","31.72413793103448","10.52170814360356","46.907880698884135",,"106.66666666666667","2.1134733928796074"
Asia Pack Ltd,ASIAPAK,"Real Estate","13.1871","42.81891980345589","1.1070110701107014","29.108917459432927","38.88888888888889","1.0679079956188393","1.0181681589884894","0.9844755774327909","0.9635169837403621","36.111111111111114","0.9471809559976666","-41.511850584015534","0","-30.555555555555554","0.9245742092457422"
S V Trading and Agencies Ltd,ZSVTRADI,"Investment Banking & Brokerage","13.1841","80.10875735881913","2.2134006977023937","69.34524628455786","84.79999999999998","2.1687883074021683","1.78433416242568","2.2054416876423346","1.7789457653164185","73.6","1.8044796733046948","-141.89541106861495",,"-113.6","2.497643732327993"
Antarctica Ltd,ANTGRAPHIC,"Packaging","13.175816","1.6164580731648417","-1.9224806201550295","-9.089327744400723","3.3120510774142113","-1.466414380321658","-0.8455501128190379","-0.8862206975414483","-0.5638230481894633","-1.2370311252992756","-0.6912126633453326","-8.610428163197392","22.96","-9.138068635275339","-1.4650283553875174"
PBA Infrastructure Ltd,PBAINFRA,"Construction & Engineering","13.16304795","-144.80980504511206",,"-168.4035482439003","12.707061900610283",,,"0.6806545222504135","-6.635914005507812","4.882301656495201",,"13.006717434567308","12.82","3.0514385353095026","-2.502099076406378"
Globale Tessile Ltd,GLOBALE,"Textiles","13.158520725","2.471378490047983","-6.68425681618295","0.35940013035178114","-0.20136931131695818","0.9425070688030094",,"-2.5153069667383794",,"-1.530406766008863",,"-5.79025983797965","34.18","-1.4297221103503825","-0.9074410163339511"
