Name,Ticker,"Sub-Sector","Market Cap","1W Change in On Balance Volume","RSI – 14D","% Price above 1M EMA","Beta","Relative Volume","Volatility","% From Upper Bollinger Band","ADX Rating – Trend Strength","1W Change in AD Line","Stochastic %K","William %R"
Modipon Ltd,MODIPON,"Real Estate","50.9374316","-0.1570926715329929","28.9283366206443","-9.852796326129221","1.24754223809989","0.7710421688632877","70.77174577470868","-33.2377406436827","58.2754046779902",,"6.446067898581866","-93.55393210141814"
Storage Technologies and Automation Ltd,STAL,"Building Products - Others","50.82072","2.900763358778626","37.6591873862947","-2.737227204570869",,"0.9727851766068328","67.15267338431252","-20.4494063675832","35.3529510415268",,"51.094890510948865","-48.90510948905114"
TSC India Ltd,TSC,"Tour & Travel Services","50.8162655","-275","46.6666666666667","-0.45415394168549783",,"0.22833723653395785","65.41243698138942","-10.4748357711669","22.336873510116","125.71041948579168","61.98347107438016","-38.01652892561984"
Ultra Wiring Connectivity System Ltd,UWCSL,"Auto Parts","50.786852960000004","1.9455252918287937","51.413881748072","-2.2409465721955457","0.057082916587244","0.3466666666666666","58.24911056849676","-2.6392238036811","62.2956902258962",,"57.20081135902634","-42.79918864097367"
Shanmuga Hospital Ltd,SHANMUGA,"Hospitals & Diagnostic Centres","50.722038","3.926701570680628","37.1565934065934","-4.323999147874491",,"1.0887573964497042","64.613280647464","-13.5584187444103","27.9085806022673",,"24.473684210526304","-75.5263157894737"
Gujarat Craft Industries Ltd,GUJCRAFT,"Plastic Products","50.7161125","0.5462063559611922","43.6619718309859","-0.9849417000730165","0.944617627428343","1.4039308143724905","46.4283928885459","-6.4174377035286","41.4289177645702","-2.734416089771126","25.065963060686013","-74.93403693931398"
Shipwaves Online Ltd,SHIPWAVES,"Logistics","50.65521","-20.98765432098765","22.3214285714285","-8.582252062970142",,"0.6104744928274339","66.8897683957237","-19.646364546685398","42.1071678176522","-37.0685227699415","14.102564102564092","-85.89743589743591"
Palred Technologies Ltd,PALREDTEC,"IT Services & Consulting","50.557195277999995","0.11119398118660585","54.985754985755","8.272833681614888","0.814682438918277","0.5883323208819476","49.567969605603835","0.5870062909189","33.8126613957","6.031218071560694","100","0"
Bang Overseas Ltd,BANG,"Apparel & Accessories","50.53812","-0.015230927546518714","40.8883826879271","-1.8446215847781389","0.959423342290964","0.6168917769294329","44.94148120133826","-9.6274730286304","30.2710467413416","-0.8758137123195224","21.64556962025318","-78.35443037974682"
Shelter Pharma Ltd,SHELTER,"Pharmaceuticals","50.510376","-2.1551724137931036","47.7908689248895","-3.3533291307239255",,"1.0825825825825828","54.60129979275375","-8.4312308527157","14.2769061033003","40.358028174252205","28.709055876685895","-71.2909441233141"
HDFC Nifty 1D Rate Liquid ETF - Growth,HDFCLIQUID,"Debt","50.461753854","1.8701707040359044","100","0.18782152848242362",,"0.37239048587910956","0","-0.0521506876778","45.2162027101474","1.5325159727929583","99.58333333333373","-0.41666666666627195"
Sameera Agro and Infra Ltd,SAIFL,"Construction & Engineering","50.402145","-34.658623526185906","12.2222222222222","-30.537672552517357",,"2.7652084757347914","74.20356585152541","-47.662431377888","42.1229440712718","-2219.955869127297","0","-100"
AKI India Ltd,AKI,"Apparel & Accessories","50.364506528","-23.750223254884162","39.0625","-1.9239683394666973",,"0.5608731361493615","60.47024846593352","-8.8070671054512","27.9706929678526","-5.0530470520697","34.22818791946307","-65.77181208053693"
Ansal Housing Ltd,ANSALHSG,"Real Estate","50.346703644","-0.20439301938736015","43.5114503816794","-4.632398043932106","1.18267381744062","0.5380179703313227","53.65922325056824","-11.8713763641251","14.9919947727444","-2.2097696636157482","8.088235294117668","-91.91176470588232"
UTI Nifty Bank ETF,BANKBETA,"Equity","50.26630088","5.0998100937831214","34.6801346801347","-1.7615106853475004","1.04669538815742","1.0781862945234337","17.575176716850162","-6.083023546484","39.1802998152132","6.045946072270036","21.428571428571427","-78.57142857142857"
Divyashakti Ltd,DIVSHKT,"Building Products - Granite","50.22504317","-1.3268633336690194","37.8967019290603","-3.7866710123010794","0.949492560858518","1.2959213921316004","34.8553135836648","-11.123628964391399","25.1445310488867","-346.6237465533789","9.999999999999979","-90.00000000000003"
Aditya Birla Sun Life CRISIL Liquid Overnight ETF,ABSLLIQUID,"Equity","50.1834","-1.7630704550077985","50","0.00016915856217991632",,"1.2610404745557793","0","-0.0011564509211000001","21.8019105165366","-3.5356859524534276","50","-50"
Pulz Electronics Ltd,PULZ,"Electronic Equipments","50.1584","-1.657634682817979","25.6198347107438","-7.326390340146527","0.879411588944471","0.9248575498575499","49.63869458396342","-14.568019345974001","34.8844329644937",,"2.8571428571428976","-97.1428571428571"
Phosphate Company Ltd,PHOSPHATE,"Fertilizers & Agro Chemicals","50.143972","-0.5782532304339123","41.2790697674419","-3.0173808783038547","-0.086353096143426","1.169579383886256","52.61880218338522","-7.718831162865","23.1226618743862","11.691073222349912","26.42140468227419","-73.5785953177258"
Travels & Rentals Ltd,TRAVELS,"Tour & Travel Services","50.14080038","3.720864777384908","39.9864682002706","9.618100064170921",,"0.727138445011414","84.20733850734321","-18.3118806462263","36.4180741420889",,"80.52256532066508","-19.47743467933492"
Axis Nifty 50 ETF,AXISNIFTY,"Equity","50.11501022","0.5563054377169302","38.3505154639176","-0.5453955798837118","0.99248610947882","0.25975829410296103","13.652022983047493","-3.3430527686884","19.4796004068068","0.015983878270879524","38.33416959357764","-61.66583040642236"
