Name,Ticker,"Sub-Sector","Market Cap","1Y Forward Revenue Growth","1Y Hist Op. Cash Flow Growth","1Y Historical EPS Growth","1Y Forward EBITDA Growth","1Y Fwd Op. Cash Flow Growth","1Y Historical Revenue Growth","5Y Historical EBITDA Growth","5Y Hist Op. Cash Flow Growth","3Y Historical Dividend Growth","5Y Historical Revenue Growth","5Y Historical EPS Growth","1Y Historical EBITDA Growth","1Y Forward EPS Growth"
Pansari Developers Ltd,PANSARI,"Real Estate","463.910412",,"-246.4221824686941","43.95393474088284",,,"-27.302204928664086","17.2014980341636",,,"4.805813795868641","22.043962240370973","39.759999999999984",
Universus Photo Imagings Ltd,UNIVPHOTO,"Health Care Equipment & Supplies","463.69814543999996",,"4624.040920716112","144.31372549019608",,,"73.58544213818594","14.330405579854055","-31.041796974380308",,"3.705576460128124","14.662374106569743","151.26639892904953",
Pajson Agro India Ltd,PAJSON,"FMCG - Foods","463.09662275",,"280.22346368715085","9.813967645619131",,,"37.184963690730456",,,,,,"24.975222993062438",
Aries Agro Ltd (CN),ARIES,"Fertilizers & Agro Chemicals","461.39394771999997",,"37.52286386203292","75.03860010293418",,,"19.73869168281963","8.983090674471029","12.335789095163241","14.471424255333186","16.398172019362445","28.386808545051355","23.741869222869045",
Vikram Thermo (India) Ltd,VIKRAMTH,"Pharmaceuticals","460.49002725",,"1.8965517241379366","-68.04570527974785",,,"26.13791756202386","12.417282687974973","12.652442209763715","155.4364774645177","18.078876115569287","1.1740809134449304","-41.63341314179303",
Mirae Asset NYSE FANG+ ETF,MAFANG,"Equity","459.73124442",,,,,,,,,,,,,
Rushil Decor Ltd,RUSHIL,"Building Products - Laminates","459.1973233",,,,"29.757",,,,,,,,,
Kalyani Cast-Tech Ltd,KALYANI,"Industrial Machinery","458.83395",,"187.1578947368421","25.82986309391948",,,"47.05634987384355",,,,,,"44.07616361071921",
Brahmaputra Infrastructure Ltd,BRAHMINFRA,"Construction & Engineering","457.475076",,"132.3696682464455","73.00291545189481",,,"11.762843704775694","6.078400076302803","21.354718811790853",,"7.885110072861501","89.3178410186855","22.614107883817354",
Suditi Industries Ltd,SUDTIND-B,"Textiles","456.88069104",,"-2393.2038834951454","122.03999022222253",,,"26.79342240493321",,,,"19.587805759455044",,"181.45454545454572",
ATMASTCO Ltd,ATMASTCO,"Iron & Steel","456.8497243",,"-64.09227683049146","4.793682945437779",,,"28.96174863387977",,,,,,"12.276729559748382",
Cropster Agro Ltd,CROPSTER,"Agro Products","456.12",,"1.4588494357280517","-42.09633002960917",,,"220.06248972208522",,,,,,"20.88208820882112",
Tara Chand Infralogistic Solutions Ltd,TARACHAND,"Business Support Services","455.9232216",,"21.479558728098638","9.210981496379384",,,"13.414682149183221","25.362904376599538","6.396431333034669",,"20.69227424073783","56.387490884801196","26.56231471599656",
Suratwwala Business Group Ltd,SBGLP,"Real Estate","455.56498788000005",,"-1731.034482758621","-60.439164866810664",,,"-48.60212091998347",,,,,,"-59.46360153256706",
Systematic Industries Ltd,SYSTEMATIC,"Cables","454.77574333",,"-49.83541803818301","24.026272666464923",,,"20.555003891468292","31.422080471258518",,,"16.019532114484612","25.405602210631262","39.79858261842573",
Mishtann Foods Ltd,MISHTANN,"FMCG - Foods","454.75264506599996",,"-36.73507462686568","-6.969482601411775",,,"6.775608430695201",,,,,,"-5.591290062094487",
TechD Cybersecurity Ltd,TECHD,"Software Services","454.0197931",,"-105.17241379310346","140.49920945302924",,,"96.80989583333334",,,,,,"147.98387096774186",
Sattrix Information Security Ltd,SATTRIX,"IT Services & Consulting","453.93516",,"-166.25222024866787","9587156.17839219",,,"9.049116864263262",,,,,,"111.84971098265892",
Shiv Aum Steels Ltd,SHIVAUM,"Commodities Trading","453.165328",,"-129.44983818770228","-6.596558317400928",,,"0.9112968455109005",,,,,,"-6.450457796704817e-13",
S J Logistics (India) Ltd,SJLOGISTIC,"Logistics","452.676648",,"-31.078331637843338","82.15023919365085",,,"83.95829522590086",,,,,,"135.31598513011159",
JD Cables Ltd,JDCABLES,"Cables","451.36050668",,"-42.82352941176472","287.0742358078614",,,"148.58701041150226",,,,,,"371.15384615384704",
Maxvolt Energy Industries Ltd,MAXVOLT,"Batteries","450.6048246",,"-489.5364238410596","106.13930622529668",,,"173.1905938329216",,,,,,"136.472819216182",
Globe International Carriers Ltd,GICL,"Logistics","450.50526211199997",,"188.12056737588654","69.90575118705753",,,"36.945511701012926","25.199257767757864","95.28265366561219",,"12.324891119889369","57.406364728330516","64.13427561837452",
Digispice Technologies Ltd,DIGISPICE,"Telecom Equipments","449.950052414",,"-72.22222222222221","142.8195152133913",,,"3.378621083102651","1.0314244064049793","-27.386315565615615",,"-7.857909373717831","8.741254900133576","259.25771476230216",
Neetu Yoshi Ltd,NEETUYOSHI,"Auto Parts","449.061782",,"60.10430247718383","1.1578163388104619",,,"49.230769230769255",,,,,,"36.194895591647374",
Sarveshwar Foods Ltd,SARVESHWAR,"Packaged Foods & Meats","448.31203471599997",,"260.39173014145814","51.4274384177459",,,"30.20550601008143","21.82873013238682","5.608998775798302",,"18.329815887261613","28.828306260704252","22.61338407865508",
Megamont Ltd,VRWODAR,"Wood Products","447.52358397",,"-44.44444444444446","-44.44444444444446",,,,,,,,,"-44.44444444444446",
Shah Metacorp Ltd,SHAH,"Iron & Steel","447.03148733",,"-44.56790123456792","466.424045558936",,,"101.75039556962027",,,,"22.661503368681245",,"391.5617128463482",
Prakash Pipes Ltd,PPL,"Building Products - Pipes","447.01011790600006",,"-38.71614844533602","-7.295850066934483",,,"15.74975550657578","25.163881471535852","39.357276350349444","25.99210498948732","15.296664674464267","7.462528003838975","5.875669534166467",
Veljan Denison Ltd,VELJAN,"Industrial Machinery","446.1975",,"26.40156453715776","7.476212052560049",,,"12.867411572130095",,,,,,"9.781707654048079",
Nisus Finance Services Co Ltd,NISUS,"Specialized Finance","445.9235175",,"-140","16.83581763046711",,,"57.01021355617457","146.5740474147574",,,"62.06515348509165","43.46948118564664","26.95879280325014",
SRG Housing Finance Ltd,SRGHFL,"Consumer Finance","444.72212896999997",,"6.1657032755298555","22.969181348360607",,,"29.187965059851173","12.293768960908968",,,"21.096926508473924","7.412450889935096","25.442658676110057",
Zodiac Energy Ltd,ZODIAC,"Renewable Energy Equipment & Services","444.1827753",,"-407.75047258979214","79.04548662971607",,,"85.34588064968554","50.03856041640689",,,"43.00835107182155","45.63015711000589","95.23570712136387",
ICICI Prudential Silver ETF,SILVERIETF,"Silver","443.466746861",,,,,,,,,,,,,
NDL Ventures Ltd,NDLVENTURE,"Real Estate","441.232921584",,"60.76421248835042","51.52229449999988",,,"-1.0121457489878694","-47.046040119350685",,"-37.00394750525634","-63.04891196194771",,"17.307692307692232",
Cybertech Systems and Software Ltd,CYBERTECH,"IT Services & Consulting","439.96867086899994",,"1.91632928475034","-12.986900798511751",,,"2.693944481318078","8.459333512533561","14.059805595597275",,"16.082058271139953","2.2508285840034725","-14.076641632967513",
Neptune Petrochemicals Ltd,NEPTUNE,"Building Products - Ceramics","439.4779",,"223.2265446224256","14.574769946903535",,,"41.89535038537213",,,,,,"21.480964023751547",
Shree Rama Newsprint Ltd,RAMANEWS,"Paper Products","438.28795707200004",,"-30.477634571645183","-119.76840363937136",,,"0.9309060819197468",,"-24.03941387273012",,"-32.18800257606805",,"-768.2894736842105",
S & S Power Switchgear Ltd,S&SPOWER,"Electrical Components & Equipments","438.125025",,"-1018.1818181818184","-13.117191805339106",,,"164.99999999999994",,,,"-4.966722802880952",,"-247.82608695652198",
Kothari Products Ltd,KOTHARIPRO,"Commodities Trading","436.61574495",,"-38.08053359683794","-393.0440135426278",,,"-2.7041878759833327",,,,"-25.108592924031868",,"-296.04247104247065",
