Name,Ticker,"Sub-Sector","Market Cap","Mutual Fund Holding","Domestic Institutional Holding"," MF Holding Change – 6M","Promoter Holding Change – 3M","Foreign Institutional Holding","DII Holding Change – 6M","FII Holding Change – 6M","DII Holding Change – 3M","Promoter Holding Change – 6M ","MF Holding Change – 3M","Promoter Holding","Pledged Promoter Holdings","FII Holding Change – 3M","Insider Trades - 1M Cumulative","Insider Trades - 3M Cumulative","Retail Investor Holding","Bulk Deals - 6M Cumulative","Bulk Deals - 1M Cumulative","Insurance Firms Holding","Bulk Deals - 3M Cumulative","Insider Trades - 6M Cumulative","No. of Shareholders"
Orient Tradelink Ltd,ORIENTTR,"Movies & TV Serials","38.49216006","0","0","0","-0.02673142572477233","0","0","0","0","-0.07409117280063948","0","0.22622895120529124","0","0",,,"5.284497679084004","9.920880554423157","2.4785976355483084","0","1.5472808805544231",,"4855"
Auro Impex & Chemicals Ltd,AUROIMPEX,"Metals - Diversified","38.310512","0","0","0",,"0","0","0",,"0.052455576683499316",,"71.6248114877713","0",,,,"21.398596813323717",,,"0",,,"1109"
Shreeshay Engineers Ltd,SHREESHAY,"Real Estate","38.2898484","0","0","0",,"0","0","0",,"0",,"73.09783028548111","0",,,,"6.528623393557233","0.5150190148049789","0","0","0.5150190148049789",,"197"
KKV Agro Powers Ltd,KKVAPOW,"Renewable Energy","38.2243506","0","0","0",,"0","0","0",,"-0.01004033348674227",,"69.56411588514108","0",,,,"26.276673529468358",,,"0",,,"168"
Shaival Reality Ltd,SHAIVAL,"Real Estate","38.1942","0","0","0","0","0","0","0","0","0","0","72.62830482115086","0","0",,,"0.37325038880248834","0.15552099533437014","0","0","0.15552099533437014",,"17"
Alfa Transformers Ltd,ALFATRAN,"Heavy Electrical Equipments","38.15818965","0","0","0","0","0","0","0","0","0.03381182419381901","0","46.7954554023241","0","0","0","0","39.64293227417302",,,"0",,"-0.3616216806906349","10825"
Falcon Technoprojects India Ltd,FALCONTECH,"Construction & Engineering","38.0332303","0","0","0","0","0","0","0","0","0","0","42.9808842716155","0","0",,,"38.866538244057594","2.1403600274243546","0","0","1.692330768126861",,"1132"
Country Condo's Ltd,COUNCODOS,"Real Estate","38.022677","0","0","0","0","0.10760683683581775","0","0","0","0","0","53.864936022258505","0","0",,,"35.56476320696726",,,"0",,,"27931"
Rose Merc Ltd,ROSEMER,"Commodities Trading","37.978080985000005","0","0","0","-0.006019986142571571","0","0","0","0","-0.009582855707470195","0","0.12044516533106361","0","0",,,"13.69896470689","1.7147378510842242","0","0","1.1122565243340026",,"1317"
Super Crop Safe Ltd,SUCROSA,"Commodity Chemicals","37.962488","0","0","0","-0.11985726541421826","0","0","0","0","-0.3560904648820653","0","32.359942309366026","0","0",,,"48.02136791455818",,,"0",,,"13885"
Cerebra Integrated Technologies Ltd,CEREBRAINT,"Technology Hardware","37.931368866","0","0.008301255910704627","0","0","0.0006749927768346308","0","0","-0.000041258727190383176","0","0","0.839256147397694","0","0",,,"25.33289067670105",,,"0",,,"37305"
Kretto Syscon Ltd,KRETTOSYS,"IT Services & Consulting","37.931301016000006","0","0","0","0","0","0","0","0","0","0","0","0","0",,,"26.569359494811167","3.165764941676672","0","0","-0.13826903602982155",,"92982"
National Oxygen Ltd,NOL,"Commodity Chemicals","37.812845114999995","0","0","0","-0.5301062889882502","0","0","0","0","-1.6080485722530256","0","69.63284239501743","0","0",,,"17.65880629900335",,,"0",,,"5031"
Bodhtree Consulting Ltd,BODHTREE,"IT Services & Consulting","37.71810825","0","0.045734000988769105","0","-0.000022867000495807588","0","0","0","0","-0.000022867000495807588","0","73.17437871503006","0","0",,,"9.029789756224055",,,"0",,,"4416"
Lexus Granito (India) Ltd,LEXUS,"Building Products - Ceramics","37.682441436000005","0","0","0","-1.2034791244606922","0","0","0","0","-2.0106667377638985","0","53.12219526361852","0","0",,,"14.057658598132514","-4.638709339991967","0","0","0",,"4950"
Gem Spinners India Ltd,GEMSPIN,"Textiles","37.682401860000006","0","8.019928961078172","0","0","0","0","0","0","0","0","72.85587447954678","0","0",,,"9.820929710768707",,,"0",,,"29514"
Subhash Silk Mills Ltd,SUBSM,"Textiles","37.621716","0","4.681051762763825","0","0","0","0","0","0","0","0","71.79577879966985","0","0",,,"9.277938922296899",,,"0",,,"1067"
Rex Sealing & Packing Industries Ltd,REXSEAL,"Specialty Chemicals","37.4825","0","0",,"-5.401280009102294","0",,,"0",,"0","62.70754352030947","0","0",,,"7.447195357833655","0","0","0","0",,"163"
Mirae Asset Nifty MidSmallcap400 Momentum Q100 ETF,MIDSMALL,"Equity","37.451901164",,,,,,,,,,,,,,,,,,,,,,
Saven Technologies Ltd,7TEC,"IT Services & Consulting","37.357620632","0","0","0","0","0","0","0","0","0","0","42.47036515599037","0","0",,,"32.8421983853289",,,"0",,,"9600"
Annvrridhhi Ventures Ltd,ANVRDHI,"Agro Products","37.298947723000005","0","0","0","-1.0911873158989707","0","0","0","0","9.066349454779377","0","54.9794729115695","0","0","0","-9.923497046348178","12.055592414650656","12.279317724521434","-0.5029508296521666","0","11.858507131066668","82.07202538097518","15645"
Manas Polymers and Energies Ltd,MPEL,"Packaging","37.28592","0","0","0",,"0","-0.04926108374384236","0",,"-37.3272821261327",,"62.623456790123456","0",,,,"10.339506172839506","-2.1346469622331687","0","0","-0.3612479474548438",,"265"
Tusaldah Ltd,TUSALDAH,"Apparel & Accessories","37.2136684","0","0","0","0","0","0","0","0","0","0","33.419560217288335","0","0",,,"13.444480953132802",,,"0",,,"3247"
Galactico Corporate Services Ltd,GALACTICO,"Diversified Financials","37.206638805000004","0","0","0","11.199067217106723","0","0","0","0","11.199067217106723","0","45.51108966533264","0","0",,,"46.94945031598105",,,"0",,,"65223"
Arigato Universe Ltd,ARIGATO,"Construction & Engineering","37.1929162","0","0","0","0","0","0","0","0","0","0","65.24372559955383","0","0",,,"9.496571634788884",,,"0",,,"1485"
Ruparel Food Products Ltd,RFL,"Consumer Finance","37.16892","0","0","0","0","0","0","0","0","0","0","72.58319273199221","0","0",,,"22.060934458144065",,,"0",,,"3075"
Sandu Pharmaceuticals Ltd,SANDUPHQ,"FMCG - Personal Products","37.117523580000004","0","0.005175453033281268","0","0","0","0","0","0","-5.11523146178601","0","37.78647943947773","0","0",,,"28.719934499466408",,,"0",,,"10298"
TCM Ltd,TCMLMTD,"Commodity Chemicals","37.105225674","0","7.435506093507556","0","0","0","0","0","0","0","0","49.51426721782132","0","0",,,"21.994130152180894","0.5527905848143797","0.5527905848143797","0","0.5527905848143797",,"4198"
Victory Electric Vehicles International Ltd,VICTORYEV,"Three Wheelers","37.0986","0","0.42341220423412207",,,"0",,,,,,"63.32710668327106","0",,,,"15.644250726442507","-0.6704980842911881","0","0","-1.0727969348659006",,"636"
Swasti Vinayaka Synthetics Ltd,SWASTIVI,"Apparel & Accessories","37.08","0","0","0","0","0","0","0","0","0","0","51","0","0",,,"40.722857777777776",,,"0",,,"37596"
Gothi Plascon (India) Ltd,GOTHIPL,"Real Estate","36.9546","0","0","0","0","0","0","0","0","0","0","73.3921568627451","0","0",,,"23.858823529411765",,,"0",,,"5679"
Chandra Prabhu International Ltd,CHANDRAP,"Commodities Trading","36.915285","0","0","0","0","0","0","0","0","0","0","54.34032089417703","0","0",,,"32.31220840093744",,,"0",,,"8623"
Vantage Knowledge Academy Ltd,VKAL,"Publishing","36.8793","0","0.011596749396002637","0","0","0","0","0","0","0","0","3.7037206237645512","0","0",,,"22.624515411084268","0","0","0","0",,"21687"
Tatia Global Vennture Ltd,TATIAGLOB,"Textiles","36.84366","0.08009497427779977","0.08306292045904234","0","0","0","0","0","0","0","0","41.23207756232687","0","0",,,"33.836424614167",,,"0",,,"59765"
Hrh Next Services Ltd,HRHNEXT,"Business Support Services","36.84038202","0","0","0",,"0","-0.02271963411089514","0",,"0.988304083823941",,"56.57441081551521","0",,,,"14.344056142336386",,,"0",,,"541"
Kay Power and Paper Ltd,KAYPOWR,"Paper Products","36.79182","0","0","0","0","0","0","0","0","4.963208467312398","0","51.000990269032634","0","0",,,"9.71599885518031","-0.9908420099592574","0","0","-0.0012449071978268833",,"7624"
Artemis ADR Marketplace Ltd,JETMALL,"FMCG - Foods","36.7664415","0","0","0",,"0","0","0",,"35.303442406848106",,"35.313454254200806","0",,,,"9.52126683241836","-0.6007108411620418","0.5005923676350348","0","0",,"119"
Gogia Capital Growth Ltd,GOGIACAPGL,"Diversified Financials","36.6624148","0","0","0","0","0","0","0","0","0","0","1.582001630727281","0","0",,,"1.528656535739157",,,"0",,,"653"
Shyamkamal Investments Ltd,SHYMINV,"Specialized Finance","36.661244","0","0","0","0","0","0","0","0","0","0","0","0","0",,,"10.960193843940484","-1.9808490146688391","0","0","0",,"6961"
Keerthi Industries Ltd,KEERTHI,"Cement","36.652526136","0.0031184753699073113","0.041463248518287615","0","0","0","0","0","0","0","0","67.18382214811062","29.999995010439406","0",,,"18.438060467985856",,,"0",,,"12669"
Samsrita Labs Ltd,SAMSRITA,"Biotechnology","36.6270331","0","0","0","0","0","0","0","0","-5.973702521922252","0","25.436179186459963","0","0",,,"3.2542964283940323",,,"0",,,"2441"
Pankaj Polymers Ltd,PANKAJPO,"Packaging","36.58974","0","0","0","-11.861992460181455","0","0","0","0","-11.861992460181455","0","46.28528653114234","0","0","-45.371453309042366","-57.23344576922382","22.1547827341763","-0.8191706199606775","0","0","0","-57.23344576922382","2479"
Homesfy Realty Ltd,HOMESFY,"Real Estate","36.45606","0","0","0",,"1.125162730146922","0","0",,"1.255346847684578",,"53.039241212572065","0",,,,"17.044944516768954",,,"0",,,"463"
Simbhaoli Sugars Ltd,SIMBHALS,"Sugar","36.40809564","0.004251554421592373","0.007085924035987288","0","0","0.000002422538131961466","0","0","0","0","0","53.33409078025593","6.377326787312295","0",,,"28.27718293699802",,,"0",,,"20794"
DMR Engineering Ltd,DMR,"Business Support Services","36.3752585","0","0","0",,"0","0","0",,"0.13605305163741832",,"69.32149361907626","0",,"0","0.1504153730651305","17.716542138112914",,,"0",,"0.2820288244971197","481"
Bhanderi Infracon Ltd,BHANDERI,"Real Estate","36.3524","0","0","0","0","0","0","0","0","0","0","56.98220750211816","0","0",,,"4.517445890780252","0","0","0","0",,"49"
Zodiac-JRD-MKJ Ltd,ZODJRDMKJ,"Precious Metals, Jewellery & Watches","36.318343125","0","0","0","0.0423392745287785","0","0","0","0","4.427592961676439","0","32.835761061442966","0","0","0","0","21.929120209555265",,,"0",,"-4.329896999242503","4404"
TeleCanor Global Ltd,TELECANOR,"IT Services & Consulting","36.312992627999996","0.09762951889749713","0.09762951889749713","-0.04371120231240752","5.033588326877926","0","-0.04371120231240752","0","-0.007455595476227567","11.075924326504495","-0.007455595476227567","34.08617618162341","4.244761691195528","0",,,"19.44679961341136","-3.7713654935855017","0.1377150244484332","0","0.1377150244484332",,"4851"
Jagan Lamps Ltd,JAGANLAM,"Auto Parts","36.247394594999996","0","0","0","0","0","0","0","0","0","0","57.7799197680514","0","0",,,"33.44194566379151",,,"0",,,"7610"
Prime Property Development Corp Ltd,PRIMEPRO,"Real Estate","36.2332558","0","0","0","0","0","0","0","0","0","0","72.81231365358009","0","0",,,"11.500470211677747",,,"0",,,"3469"
Cedaar Textile Ltd,CEDAAR,"Textiles","36.223146","0","2.5795109016759614","0",,"0.07205337714178663","-0.7817791419883853","-0.5764270171342931",,"0",,"68.65678094332281","0",,,,"17.566613347167582","-1.889049807946603","0","0","0",,"1453"
SM Auto Stamping Ltd,SMAUTO,"Auto Parts","36.218003472","0","0","0",,"0","0","0",,"0",,"72.95396378330769","0",,,,"7.224650331769121",,,"0",,,"321"
Mapro Industries Ltd,MAPROIN,"Construction & Engineering","36.08915535","0","0","0","0","0","0","0","0","0","0","30.581153127486537","0","0",,,"11.222021891958743","-2.456821072532492","0","0","-0.9965633281002463",,"1229"
AKG Exim Ltd,AKG,"Commodities Trading","35.939307456","0","0","0","0","1.491664803659148","0","0","0","0","0","37.601275858040836","0","0",,,"18.860339137860542","-1.2341417778932506","0","0","-1.3048794180971544",,"10571"
Shreevatsaa Finance and Leasing Ltd,SHVFL,"Diversified Financials","35.9358","0","0","0","0","0","0","0","0","0","0","75","0","0",,,"3.9212475247524754",,,"0",,,"678"
Cyber Media India Ltd,CYBERMEDIA,"Publishing","35.914763095999994","0","0",,"0","0",,,"0",,"0","66.57404100611814","0","0","0","0","19.18538899296827",,,"0",,"25.23214849609798","11926"
Nagreeka Capital & Infrastructure Ltd,NAGREEKCAP,"Asset Management","35.8652979","0.02615871204014173","0.029329465014704365","0","0","0.0023780647309219758","0","0","0","0","0","53.53149746736106","0","0",,,"22.436406585653927","0.3087362171331639","0","0","0.3087362171331639",,"10792"
ANG Lifesciences India Ltd,ANG,"Pharmaceuticals","35.831939528","0","0","0","0","0","0","0","0","0","0","70.60295887201744","31.684860349600218","0",,,"19.36954671007001",,,"0",,,"5952"
Kabsons Industries Ltd,KABSON,"Gas Distribution","35.79915","0","2.0335452098723015","0","0","0","0","0","0","-0.0010078451583268588","0","63.124463150661406","0","0",,,"27.034770657962547",,,"0",,,"20887"
Relicab Cable Manufacturing Ltd,RELICAB,"Cables","35.78557679","0","0","0","0","0","-0.0177024253016099","0","0","0","0","27.94742409404099","27.931564226717047","0","0","1.7891733274477144","14.80858893541953","-1.1162632290214374","0","0","-1.1162632290214374","1.7891733274477144","2842"
Mirae Asset Nifty Metal ETF,METAL,"Equity","35.772460511",,,,,,,,,,,,,,,,,,,,,,
SBI Nifty 10 yr Benchmark G-Sec ETF,SETF10GILT,"Debt","35.706511727999995",,,,,,,,,,,,,,,,,,,,,,
Poona Dal and Oil Industries Ltd,POONADAL,"Agro Products","35.675","0","0","0","0","0","0","0","0","0","0","70.37874912403645","0","0",,,"21.50968815697267",,,"0",,,"5207"
Walchand Peoplefirst Ltd,WALCHPF,"Education Services","35.6307303","0","0.31957133362489626","0","0","0","0","0","0","0","0","57.556036902224264","0","0",,,"25.70978928265189",,,"0",,,"4411"
Healthy Life Agritec Ltd,HEALTHYLIFE,"Agro Products","35.630032","0","0","0","0","0.40303079155247457","0","0","0","0.5521622601966811","0","28.852980412703534","0","0",,,"9.735285345800419","0","0","0","0",,"1025"
Diligent Media Corporation Ltd,DNAMEDIA,"Publishing","35.547821436","0.00009600025717874206","0.00015971724203188946","0","0","4.001308559965728","0","0","0","0","0","62.165492413609414","7.501872982008753","0",,,"23.41620602260077",,,"0",,,"84969"
Kaiser Corporation Ltd,KACL,"Packaging","35.5191885","0","0","0","-27.9095635166327","0","0","0","0","-28.52582865174412","0","26.596673724682645","0","0","0","-10.167252554207426","41.41979003827748","20.235616869456354","0","0","5.212538639501858","-28.50799927481452","23610"
