Name,Ticker,"Sub-Sector","Market Cap","1M Average Volume","1M Return","1Y Return vs Nifty","Daily Volume","Close Price","1M Return vs Nifty","1W Change in Volume","3M Average Volume","1W Return","6M Return vs Nifty","1D Return","% Away From 52W High","6M Return","1Y Return","1W Return vs Nifty","1D Change in Volume","% Away From 52W Low","5Y CAGR","Face value"
Accretion Pharmaceuticals Ltd,ACCPL,"Pharmaceuticals","125.6108","54709.09090909091","41.161773891317935","40.37874169730218","61200","113","44.058775104130646","45.714285714285715","31992.85714285714","-5.518394648829427","45.98021497186722","3.7173015144561696","12.389380530973447","36.30880579010856","36.22664255575647","-6.570819411564029","218.75","110.03717472118959",,"10"
Addictive Learning Technology Ltd,ADDICTIVE,"Education Services","125.5586106","10214.285714285714","-18.96551724137931","-55.56218657274","2500","70.5","-16.068516028566595","-61.53846153846154","23114.035087719298","-3.4246575342465753","-32.518012712460276","-0.4940014114325961","149.8581560283688","-42.18942189421894","-59.714285714285715","-4.477082296981178","0","22.28967909800521",,"10"
MRC Agrotech Ltd,MRCAGRO,"Commodities Trading","125.528919849","114221.90909090909","29.603353756852616","124.55913984561612","349494","40.07","32.50035496966533","1976.6131907308377","156657.94827586206","-3.482228626320852","-7.3163679054590744","3.9699014011416742","36.0119790366858","-16.987777087217736","120.40704070407041","-4.534653389055454","221.48612848627567","142.4077434966727","57.005190586111354","10"
Swastika Investmart Ltd,SWASTIKA,"Diversified Financials","125.41464","18291.31818181818","-8.502994011976048","-49.31546237970708","2106","62.4","-5.605992799163333","32.87066246056782","14899.637931034482","-6.472838561591426","-19.65241005031746","-2.7279812938425674","126.76282051282053","-29.323819232076122","-53.46756152125279","-7.525263324326028","-85.72977368207074","42.9553264604811","14.642919504056962","2"
International Combustion (India) Ltd,INTLCOMBQ,"Industrial Machinery","125.40583034000001","1344.5","-5.475401021596929","-41.85212048486297","1119","524.65","-2.5783998087842153","49.2","2708.396551724138","-4.109090909090913","-6.094826669569914","-0.2661343978709205","98.9898027256266","-15.766235851328576","-46.004219626408684","-5.161515671825515","36.46341463414634","51.632947976878604","22.56976855481998","10"
Spectrum Talent Management Ltd,SPECTSTM,"Employment Services","125.39551128","24145.454545454544","-28.973185088293008","-50.97186780060305","1600","54.3","-26.076183875480293","-66.66666666666667","18457.14285714286","-2.162162162162167","-20.71320620285673","1.2115563839701744","155.06445672191532","-30.38461538461539","-55.12396694214876","-3.2145869248967696","-71.42857142857143","6.995073891625614",,"10"
Moxsh Overseas Educon Ltd,MOXSH,"Academic & Educational Services","124.74336","10666.666666666666","4.559748427672954","396.7446917341383","3200","133","7.456749640485668","-87.5","6400","0","64.32257197245633","-5","5.263157894736836","54.651162790697676","392.5925925925926","-1.0524247627346022","-87.5","392.59259259259255",,"10"
Vistar Amar Ltd,VISTARAMAR,"Agro Products","124.416","4172.954545454545","-6.412478336221842","66.61919203361042","987","216","-3.5154771234091275","-67.78720626631853","9295.655172413793","-0.9174311926605505","100.65284154250138","1.8867924528301887","10.416666666666675","90.98143236074272","62.467092892064706","-1.9698559553951527","54.460093896713616","136.9720241360395","31.722290859603454","10"
Pervasive Commodities Ltd,PERVASIVE,"Electrical Components & Equipments","124.3314036","37540.75","9.523809523809515","13.675908665355223","38","1.38","12.42081073662223","-62","37540.75","9.523809523809515","19.195218705568177","4.5454545454545325","0","9.523809523809515","9.523809523809515","8.471384761074912","52","9.523809523809511","2.8346722100213606","1"
Airo Lam Ltd,AIROLAM,"Building Products - Laminates","124.306572","2724.090909090909","-9.738562091503265","-3.7812341917876244","2669","82.86","-6.841560878690551","149.67259120673526","4237.775862068966","-3.2348476001401334","-10.502001222865616","-1.5446768060836469","65.38740043446778","-20.173410404624278","-7.933333333333334","-4.287272362874735","1479.2899408284025","4.357682619647352","26.088162633502023","10"
Patdiam Jewellery Ltd,PJL,"Precious Metals, Jewellery & Watches","124.28643","2250","19.708939708939702","12.793608575507964","3750","287.9","22.605940921752417","400","2250","19.708939708939702","29.380348890698365","0","31.295588746092395","19.708939708939702","8.641509433962256","18.6565149462051","0","37.751196172248804","30.86878798413224","10"
Innomet Advanced Materials Ltd,INNOMET,"Metals - Diversified","124.2291648","20400","16.363636363636363","-42.00606126226809","17400","96","19.260637576449078","-75.83333333333333","17710.344827586207","-7.8694817658349345","-7.71241181652017","-0.9287925696594486","125","-17.383820998278832","-46.1581604038138","-8.921906528569536","-59.72222222222222","52.01900237529691",,"10"
