Name,Ticker,"Sub-Sector","Market Cap","Current Ratio","Cash Conversion Cycle","Interest Coverage Ratio","Long Term Debt to Equity","Debt to Equity","Quick Ratio","Net Income / Liabilities","Working Capital Turnover Ratio","Inventory Turnover Ratio","Asset Turnover Ratio","Days of Inventory Outstanding","Earning Power","Days of Sales Outstanding","Days Payable Outstanding","Price Momentum Rank","Fundamental Score","Value Momentum Rank","Earnings Quality Rank","Price to Intrinsic Value Rank"
Vallabh Steels Ltd,VALLABHSQ,"Building Products - Pipes","5.3955","0.0795344325897187",,,,,"0.06741028128031037",,"0","0.36","0","1013.8888888888888",,,"273.75000000000006",,,,,
Kotak Nifty 200 Momentum 30 ETF,MOMENTUM30,"Equity","5.35699725",,,,,,,,,,,,,,,,,,,
CMI Ltd,CMICABLES,"Cables","5.337143181","0.21568803026572045",,"-11.837209302325578",,,"0.19390656130375408",,"-0.16745487052309824","5.137832699619771","0.18643251573134714","71.04162812210916",,"342.0264336146031","246.68732654949122",,,,,
Sahaj Fashions Ltd,SAHAJ,"Retail - Apparel","5.3331048","1.8718142821095134",,"1.3033980582524312","0.34596034329683323","1.0704350399526485","1.1587181428210953","1.843228560341513","4.094490763446133","4.798125732135884","1.584788661098456","76.07137044270833","6.2932145786944975","123.33286752375628","36.416829427083336",,,,,
Shivansh Finserve Ltd,SHIVA,"Investment Banking & Brokerage","5.304","4.977207977207978",,,"1.2145061728395061","1.7499999999999998","3.250712250712251",,"0.06305267204921185",,"0.047577603713373946",,,"48.963414634146346",,,,,,
Wagend Infra Venture Ltd,WAGEND,"Specialized Finance","5.278","58.41176470588235",,,"0.05971769815418024","0.05971769815418024","58.41176470588235","2.77777777777778","0.04540654699049631",,"0.04500261643118786",,"0.3021148036253774","0",,,,,,
Ortel Communications Ltd,ORTEL,"Cable & D2H","5.2660228799999995","0.13608974999167744",,,,,"0.1349578880788308",,"-0.26973408111098396","6.833333333333334","0.1836769156826832","53.41463414634146",,"77.8012729844413","16858.993902439022",,,,,
Frontline Financial Services Ltd,FRONTFN,"Construction & Engineering","5.2637812","12.407407407407407",,"1.571428571428571","0.03894080996884735","0.03894080996884735","4.444444444444445","1.0810810810810803","0.20719424460431657","0.22790697674418606","0.06906474820143885","1601.5306122448978","1.0869565217391302","623.5416666666667","182.5",,,,,
Motilal Oswal Nifty Midcap150 Momentum 50 ETF,MOMIDMTM,"Equity","5.256144",,,,,,,,,,,,,,,,,,,
Naksh Precious Metals Ltd,NAKSH,"Precious Metals, Jewellery & Watches","5.24971952","65.44444444444446",,,"0.03110419906687403","0.03110419906687403","64.22222222222223","160.71428571428507","0.4253393665158371","33.09090909090909","0.3555219364599092","11.030219780219781","6.259314456035768","38.0531914893617","50.13736263736263",,,,,
UTI Nifty IT ETF,ITBETA,"Equity","5.245492746",,,,,,,,,,,,,,,,,,,
Groww Nifty 500 Low Volatility 50 ETF,GROWWLOVOL,"Equity","5.202627462",,,,,,,,,,,,,,,,,,,
Motilal Oswal Nifty Alpha 50 ETF,MOALPHA50,"Equity","5.19948",,,,,,,,,,,,,,,,,,,
Adjia Technologies Ltd,ADJIA,"Animation","5.1846756","9.583333333333332",,,"0","0.022123893805309738","9.583333333333332",,"0",,"0",,,,,,,,,
Pasupati Fincap Ltd,PASUFIN,"Diversified Financials","5.1747","1",,"-3.5000000000000004",,,"1",,"0",,"0",,,,,,,,,
Nippon India ETF Nifty Dividend Opportunities 50,DIVOPPBEES,"Equity","5.162807776",,,,,,,,,,,,,,,,,,,
Voltaire Leasing and Finance Ltd,VOLLF,"Specialized Finance","5.089848","9.994736842105265",,,"0","0","9.994736842105265",,"0.09918319719953327",,"0.08799171842650103",,,"66.55882352941177",,,,,,
UTI Nifty 10 yr Benchmark G-Sec ETF,GILT10BETA,"Debt","5.082312645",,,,,,,,,,,,,,,,,,,
Decorous Investment and Trading Co Ltd,DITCO,"Real Estate","5.0715","49",,,"0","0","49","700.0000000000007","1.2043010752688175",,"0.14659685863874347","0","2.343750000000002","0","0",,,,,
Sanco Industries Ltd,SANCO,"Building Products - Pipes","5.049652","0.03117782909930716",,,,,"0.022269877928076543",,"-0.0010238034297414896","0.018518518518518517","0.0009577779551440657","19710",,"0","283970",,,,,
Williamson Financial Services Ltd,WILLIMFI,"Specialized Finance","4.956967648","0.09165879219998281",,,,,"0.09165879219998281",,"-0.0028275641902677064",,"0.005607983839358398",,,"31.39784946236559",,,,,,
Ekam Leasing and Finance Co Ltd,EKAMLEA,"Investment Banking & Brokerage","4.956","0.9346733668341707",,,"0.04797979797979797","0.21843434343434343","0.9346733668341707",,"0.5540540540540543",,"0.03891789273849075",,,"0",,,,,,
Dharani Finance Ltd,DHARFIN,"Diversified Financials","4.9294728","4.238095238095239",,,"0.015063731170336039","0.015063731170336039","4.238095238095239","98.2456140350878","0.949152542372881",,"0.14885699096225413",,"8.804347826086957","182.5",,,,,,
Simplex Papers Ltd,SIMPLXPAP,"Paper Products","4.922296","0.11241734019103601",,,,,"0.11241734019103601",,"0",,"0",,,,,,,,,
Gconnect Logitech and Supply Chain Ltd,GCONNECT,"Specialized Finance","4.920960681","5.968085106382979",,"6.285714285714286","0","0.07982740021574973","5.6914893617021285","29.03225806451613","1.1794228356336263",,"0.6555090655509066",,"4.313725490196079","148.71808510638297",,,,,,
Amerise Biosciences Ltd,AMERISE,"Wood Products","4.889106","0.006493506493506493",,,"0","0","0.006493506493506493",,"-0.16993464052287582",,"0.11087420042643925",,"1.25","0",,,,,,
Sea TV Network Ltd,SEATV,"TV Channels & Broadcasters","4.8681","0.2048090523338048","-37812.5469292259","5.727272727272727",,,"0.20396039603960395","0.9025885558583108","-0.3999357016556823","0","0.7422434367541765",,"3.5175879396984917","125.57877813504825",,,,,,
IMP Powers Ltd,INDLMETER,"Heavy Electrical Equipments","4.836475279999999","0.34122758444434975","178.5134515453","-19.000000000000004",,,"0.31726796439068017",,"-0.04281286323130569","0.11008403361344538","0.08005554381622242","3315.6488549618316",,"1093.3484162895927","18284.82824427481",,,,"18",
Global Infratech & Finance Ltd,GBLINFRA,"Diversified Financials","4.783419632","13.259493670886076",,,"0","0.07954545454545454","12.018987341772153",,"0.9378365149290258",,"0.8519341929746553",,,"180.49973903966597",,,,,,
Tranway21 Technologies Ltd,TRANWAY21,"Software Services","4.7800588","4.111111111111111",,"0.5675675675675651","0.20537313432835821","0.2829850746268657","4.111111111111111",,"0.6911677534084172",,"0.2553098313991679",,"0.921456779289158","66.67667238421956",,,,,,
Coral Newsprints Ltd,CORNE,"Paper Products","4.7798542","0.10614995787700084",,,,,"0.09098567818028644",,"-0.0009671179883945841","0.8888888888888888","0.0026737967914438505","410.62500000000006",,"38325","9634.479166666668",,,,,
Olympic Cards Ltd,OLPCL,"Paper Products","4.7784491","1.0265241488519399",,"-0.5308641975308643","11.999999999999996","18.689393939393938","0.1425178147268409",,"3.524861878453039","0","0.2652806652806653",,,"81.6673197492163",,,,,,
Bharatiya Global Infomedia Ltd,BGLOBAL,"IT Services & Consulting","4.752933","2.8381712626995643",,,"0","0.04970544918998527","0.9049346879535557",,"0.010469174098487789","0.010885885885885887","0.0023033612011602116","33529.65517241379",,"0","3631.120689655172",,,,,
Suncity Synthetics Ltd,SUNCITYSY,"Textiles","4.7430222","0.4918032786885247",,"-29.000000000000007",,,"0.05327868852459021",,"-1.7481481481481482","0.8015267175572519","0.309305373525557","455.3809523809524",,"131.4618644067797","149.47619047619048",,,,,
Karnimata Cold Storage Ltd,KCSL,"Logistics","4.738288","1.057784911717496",,"2.5932203389830497","0.011282051282051314","0.5876923076923077","1.056179775280899","11.173974540311164","-22.38297872340414","3.9999999999999996","0.2954226340915473","91.25000000000001","9.096313912009508","22.205323193916353","0",,,,,
Continental Controls Ltd,CONTICON,"Electrical Components & Equipments","4.7326171200000005","22.299999999999997",,,"0","0.01877934272300469","22.299999999999997",,"0.11004784688995217",,"0.10648148148148148",,,"0",,,,,,
Goyal Associates Ltd,GOYALASS,"Specialized Finance","4.7114375","0.43975903614457834",,,"0.3507692307692308","0.3507692307692308","0.43975903614457834","26.428571428571445","-11.224489795918368",,"0.49773755656108604",,"14.214876033057852","112.81818181818181",,,,,,
Siddha Ventures Ltd,SIDDHA,"Investment Banking & Brokerage","4.69906",,,,"0","0",,,"0.1561433447098976",,"0.13682242990654206",,,"0",,,,,,
Shree Precoated Steels Ltd,SPSL,"Real Estate","4.682229162","0.14173228346456693",,,,,"0.14173228346456693",,"-1.2348993288590602",,"0.6783410138248848",,,"0",,,,,,
Longview Tea Co Ltd,LONTE,"Tea & Coffee","4.67454","81.05263157894738","2902.0409143493",,"0","0","81.05263157894738","172.2222222222237","0.19651240778001342",,"0.1612104539202201","0","2.5109170305676853","0","0",,,,,
VXL Instruments Ltd,VXLINSTR,"Technology Hardware","4.6370304","1.453282828282828",,"-24.115384615384613","1.4705882352941182","1.6823529411764713","1.409090909090909",,"0.18324022346368715","0","0.06269113149847096",,,"4324.359756097561",,,,,,
Elango Industries Ltd,ELANGO,"Power Infrastructure","4.6098488","3.727272727272727",,,"0","0","3.727272727272727",,"0.38400000000000006",,"0.20317460317460317","0",,"1.901041666666667","5.7631578947368425",,,,,
Heera Ispat Ltd,HEERAISP,"Iron & Steel","4.6062324","0.5172413793103449",,,,,"0.5172413793103449",,"0",,"0",,,,,,,,,
Ashiana Agro Industries Ltd,ASHAI,"Investment Banking & Brokerage","4.5586","32.6",,,"0","0","32.6","159.9999999999998","0.7384615384615383",,"0.3692307692307692",,"4.182509505703418","131.171875",,,,,,
Rajkot Investment Trust Ltd,RAJKOTINV,"Investment Banking & Brokerage","4.552","4.428571428571429",,,"4.961945031712473","4.961945031712473","4.351648351648352","0.6152584085315835","0.2967741935483871",,"0.03300448430493274",,"0.6870491240123671","0",,,,,,
MOTILAL OSWAL BSE SELECT IPO ETF,MOIPO,"Equity","4.536",,,,,,,,,,,,,,,,,,,
R R Securities Ltd,RRSECUR,"Consumer Finance","4.52715","196.50000000000003",,,"0.044967880085653104","0.044967880085653104","35.50000000000001","37.5","0.07662835249042145",,"0.062111801242236024",,"1.8329938900203666","0",,,,,,
Ken Financial Services Ltd,KENFIN,"Diversified Financials","4.50015","0.6300813008130082",,,"0","0.31999999999999995","0.6300813008130082","3.238866396761131","-0.6857142857142857",,"0.06237006237006236",,"1.1316872427983535","0",,,,,,
Invesco India Nifty 50 ETF,IVZINNIFTY,"Equity","4.489577",,,,,,,,,,,,,,,,,,,
Motilal Oswal Nifty Services Sector ETF,MOSERVICE,"Equity","4.4895",,,,,,,,,,,,,,,,,,,
Mahasagar Travels Ltd,MHSGRMS,"Tour & Travel Services","4.4586045","0.6330365974282889",,"1.6136363636363766",,,"0.6003956478733927","1.496062992126029","-9.989145183175037","78.24242424242424","2.893867924528302","4.664988381099923","5.612648221343916","50.71923390383048","111.95972114639814",,,,,
Jainco Projects (India) Ltd,JAINCO,"Consumer Finance","4.4","1.1980300673924313",,,"0","1.796435272045028","1.1358216692586833","0.31104199066874","0.20445609436435122",,"0.03188879803761243",,"0.2003338898163604","2941.0576923076924",,,,,,
Abhishek Infraventures Ltd,ABHIINFRA,"Construction & Engineering","4.39263","2.8709677419354835",,,"0.31865284974093266","0.31865284974093266","2.8709677419354835",,"0",,"0",,,,,,,,,
Perfect Infraengineers Ltd,PERFECT,"Home Electronics & Appliances","4.3724445","6.003738317757009",,"1.0645161290322576","0.13782542113323124","0.23859111791730475","3.7532710280373833","8.241206030150753","0.2720471548401723","0.522232734153264","0.15521924718665117","698.9221014492754","0.7746478873239434","528.6416666666667","70.4211956521739",,,,,
Nippon India ETF Nifty 50 Shariah BeES,SHARIABEES,"Equity","4.3396299240000005",,,,,,,,,,,,,,,,,,,
Hanman Fit Ltd,HANMAN,"Wellness Services","4.284","0.33720930232558144",,,"0","0","0.33720930232558144",,"-0.5901639344262296",,"0.06070826306913997",,,"0",,,,,,
Fabino Enterprises Ltd,FABINO,"Pharmaceuticals","4.2651","1.460548885077187",,"2.4615384615384435","0.4261904761904762","0.4261904761904762","1.3576329331046313","0.4460966542750755","3.5283926852743024","12.964426877470354","1.1112458320703242","28.153963414634152","1.8130311614730745","266.63120567375887","236.69359756097563",,,,,
