Name,Ticker,"Sub-Sector","Market Cap","Lot Size","Fair Value","Future Close Price","1D Change in Future OI","Rollover Cost","Highest Put OI Strike","1D Change in Future Volume","Basis","Put Call Ratio","Cash & Carry Profit","1W Change in Put OI","Future Open Interest","Highest 1D OI Change CE Strike","Highest 1D OI Change PE Strike","Highest 1W OI Change CE Strike","1W Change in Future Volume","1W Change in Future OI","Fair Value Spread","Future Volume","Highest 1W OI Change PE Strike","Highest Call OI Strike","1 D Change in Call OI","1D Change in Put OI","Call Open Interest","1W Change in Call OI","Percentage Rollover","Calendar Spread","Put Open Interest"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","316520.59020372","350","1109.0016641360526","1172.9","-6.402063286076889","-0.7246994628697999","1200",,"3.1000000000001364","0.4409695880359637","1085.0000000000475","-0.80948276239274","40137650","1170","1170","1220","-0.4060463751100674","-6.20839126523268","63.89833586394752","3544800","1020","1300","0.0071154019457646","-3.04146243402537","25703700","-3.7981174092857",,"-8.5","11334550"
Bharat Electronics Ltd,BEL,"Electronic Equipments","302113.15900257","1425","410.012827011608","414.3","-12.737017454914179","0.62756456673906","430",,"1","0.4518539014941892","1425","21.50297619047618","85844850","415","400","415","1.4476131432114072","-14.3438077634011","4.287172988392001","28155150","415","440","0.087612383854343","1.91520068650778","82399200","49.00020614306328",,"2.599999999999966","37232400"
Bajaj Auto Ltd,BAJAJ-AUTO,"Two Wheelers","292188.05065125","75","10394.85880783246","10432","1.11937884179877","-1.18385736196319","10000",,"-30.5","0.8235923943141961",,"5.9513631613945","2344200","11800","9900","10400","0.2307881773399014","-1.18242175150173","37.141192167540794","375000","9200","11000","0.0785250666985226","12.86111813812294","2031375","1.1087053904733402",,"-123.5","1673025"
Hindustan Aeronautics Ltd,HAL,"Aerospace & Defense Equipments","289345.50375","150","4276.449190511124","4341.1","-8.003774809047739","0.57589090322729","4400",,"14.600000000000364","0.534985835694051","2190.0000000000546","25.215488661981176","4679250","4100","4350","4000","-0.329971346704871","-9.43270235744977","64.6508094888768","877350","3800","4700","-0.0260188174268134","-2.33748771784662","5295000","64.14023993304194",,"25","2832750"
Bajaj Finserv Ltd,BAJAJFINSV,"Insurance","283255.6730636","250","1762.50251718693","1768.8","-14.6588756370234","0.63319764812302","1680",,"-3.200000000000045","0.538697260734706",,"17.223713100756267","7996250","1700","1780","1840","0.6201497617426821","-21.24248990446173","6.297482813070019","1789500","1580","1820","-0.0153516680036208","3.7498200662156203","6689750","27.30135774160094",,"11.200000000000044","3603750"
Coal India Ltd,COALINDIA,"Mining - Coal","282684.34835949","1350","429.54737300022447","457.15","-4.50652785357458","0.04374931641694","465",,"-1.5500000000000114","0.5981519894399396",,"11.46772871031978","61418250","430","370","475","0.2903591682419659","15.072339133953868","27.60262699977551","9281250","460","500","-0.0616373717116904","-1.6891368355803502","42954300","-3.26523166727471",,"0.2000000000000454","25693200"
Power Grid Corporation of India Ltd,POWERGRID,"Power Transmission & Distribution","278925.10853181","1900","290.53938110338987","300.45","-10.79413561392791","0.63238475619904","300",,"0.5500000000000114","0.4337123084527929","1045.0000000000216","20.50542507897266","55491400","285","330","295","0.2132011155872326","-19.36944398431892","9.910618896610117","7438500","320","320","-0.0247782491322792","-0.5779036827195401","38437000","18.73459326211997",,"1.900000000000034","16670600"
Nestle India Ltd,NESTLEIND,"FMCG - Foods","273839.9165832","500","1417.0368779350597","1422.1","-3.16861864270816","0.8016313901976","1400",,"2","0.717068170169144","1000","-17.22873032777185","12071000","1530","1440","1400","0.0664192949907236","-4.24780867013049","5.063122064940217","1448500","1300","1500","0.0009234557767288","-2.24986025712689","4877500","8.92139347923179",,"11.400000000000093","3497500"
Avenue Supermarts Ltd,DMART,"Retail - Department Stores","270269.71868064","150",,"4167","0.73787048105857","0.18958483321333","4100",,"22.800000000000185","0.3897442763422145","3420.0000000000277","20.38875103391233","3665700","4200","4250","4300","0.3104149715215623","0.6507413509061","4167","483150","4300","5000","0.0884581754590498","10.07751937984495","2240700","34.95347366519108",,"7.899999999999636","873300"
Hindustan Zinc Ltd,HINDZINC,"Mining - Diversified","266385.236355","1225","619.436731009303","632.65","-0.8977066988533501","0.49000237097921","600",,"2.199999999999932","0.6749532082353505","2694.9999999999163","-9.71303845413109","32185650","610","570","690","-0.568809250963642","-3.6346964973409097","13.213268990696974","5073950","670","700","-0.0554397098821396","-0.62884194163781","25525325","7.42936687976902",,"3.1000000000000227","17228400"
Tata Steel Ltd,TATASTEEL,"Iron & Steel","258421.586430241","2750","206.81105689854556","207.55","-19.58585735858226","-1.3442543965309601","210",,"0.5400000000000205","0.5255067312055665","1485.0000000000564","8.60883157483392","127404750","197.5","225","205","1.219668381932533","-22.81330178934391","0.7389431014544527","53479250","212.5","220","0.0027872053999733","2.91797815219403","145442000","45.45254530953493",,"-2.7900000000000205","76430750"
Asian Paints Ltd,ASIANPAINT,"Paints","249113.3064987","250","2581.4440907831367","2615","-1.58844278685209","0","2500",,"16.40000000000009","0.6067567112398532","4100.000000000023","-2.77417962003454","10950500","2540","2340","2920","-0.0240568616730453","-4.7430572167975","33.555909216863256","894750","2300","2800","-0.0033234859675036","-1.422786472584","7422250","15.507917363731849",,"0","4503500"
Hindalco Industries Ltd,HINDALCO,"Metals - Aluminium","242734.4307284","700","1080.3705934980674","1089","-9.82034412955465","0.40404040404041003","1050",,"3.5","0.869249692496925","2450","56.62677304964539","24947300","1240","1090","1120","0.9026292615423324","-15.155338650160699","8.629406501932635","10602200","1020","1100","0.108460017724453","12.666400956556402","11382000","22.264831942251302",,"4.400000000000091","9893800"
Adani Green Energy Ltd,ADANIGREEN,"Renewable Energy","224543.0534496","600",,"1369","-11.57206958986066","0.56975894813732","1200",,"5.7999999999999545","0.666054681685109","3479.9999999999727","16.31715771230502","20219400","1120","1280","1120","-0.2995146205753521","-6.251043231513941","1369","3562200","1500","1400","-0.0056739688178408","-2.04334817193315","12091800","31.744786559456088",,"7.799999999999954","8053800"
Eternal Ltd,ETERNAL,"Online Services","223724.172283786","2425",,"244.31","-11.15178343406827","0.46252711718717004","240",,"0.9699999999999988","0.4817377835515139","2352.2499999999973","-6.24301064812563","151858350","242.5","265","230","-0.1306019623442057","-20.13722389430189","244.31","15937100","270","260","-0.0040308534461308","-0.5723419614313601","97067900","4.223298442951609",,"1.1299999999999957","46761275"
Shriram Finance Ltd,SHRIRAMFIN,"Consumer Finance","217272.13880196","825","922.6035055763108","925.9","-2.72294916340158","0.67501890052921","900",,"2.449999999999932","0.5278901326309848","2021.249999999944","1.3179274237226901","32567700","1070","1050","900","-0.5913967185527976","-6.36178186821007","3.2964944236891824","3206775","880","1000","-0.0125394761285528","-0.035625222657639996","17541150","-1.97325956662056",,"6.25","9259800"
Wipro Ltd,WIPRO,"IT Services & Consulting","206682.456642816","3000","185.04974132289072","196.53","-9.92506439778315","-5.79046456011804","195",,"-0.5900000000000034","0.6062833658164563",,"13.09175689559787","276948000","187.5","200","212.5","0.1332489844842512","-5.896024464831799","11.480258677109276","51087000","192.5","210","-0.0271027844761846","3.54571438908788","141612000","-12.44574693029639",,"-11.379999999999995","85857000"
Grasim Industries Ltd,GRASIM,"Cement","201515.67663226998","250","2969.843430039442","2990","-19.00714632623326","0.56856187290969","2900",,"18.90000000000009","0.7920706537390804","4725.000000000023","73.55910811947834","11673500","2960","2800","3000","4.471479746486636","-19.62336902261852","20.156569960558045","4964000","2600","3000","0.3967551622418879","56.09156261823684","2604250","64.22828314677598",,"17","2062750"
Indian Oil Corporation Ltd,IOC,"Oil & Gas - Refining & Marketing","194929.574638932","4875","129.81359855028347","137.96","-8.270465301532258","0.54363583647434","130",,"-0.079999999999984","0.7115284974093264",,"29.7814530419374","95433000","148","110","132","0.5542216886754703","-11.46087743102668","8.146401449716535","18978375","135","150","-0.0737852429514097","2.34768026830631","75270000","30.504606542135072",,"0.75","53556750"
Eicher Motors Ltd,EICHERMOT,"Trucks & Buses","187891.5140298","100","6772.117419671557","6863","-4.75073546950782","0.73582981203555","6500",,"13.5","0.6719156850588964","1350","7.73359840954275","2395900","7800","6450","6900","-0.1511278195488722","-9.948883710441251","90.8825803284426","339500","7500","7400","-0.0024120230069887","2.2452830188679203","1613000","11.256725065526279",,"50.5","1083800"
SBI Life Insurance Company Ltd,SBILIFE,"Insurance","187011.23867321998","375","1856.0262947870135","1866","-7.578567490351359","0.68595927116827","1860",,"1.7999999999999543","0.42412771560237","674.999999999983","-2.69964130639984","6914625","2000","2000","2040","-0.2037201062887511","-16.58825658192345","9.973705212986488","674250","1800","1860","0.016478460895023","-1.9779383796120198","4557000","7.873945849977799",,"12.799999999999956","1932750"
Divi's Laboratories Ltd,DIVISLAB,"Labs & Life Sciences Services","182987.492194","100","6842.50760713445","6895.5","-8.73866049025284","0.58733956928431","6800",,"2.5","0.7320665083135391","250","23.06340840121385","1891300","6900","6300","7000","5.188472622478386","-9.15509870791104","52.992392865549846","1073700","7100","7000","-0.0443980388596332","3.9530491095520706","1052500","8.259617362682569",,"40.5","770500"
Varun Beverages Ltd,VBL,"Soft Drinks","173850.0218016","1125","510.5258732930369","513.85","-12.869539272483149","0.8368200836819901","500",,"-0.1499999999999772","0.4358042206064905",,"-12.05940239756665","39423375","510","560","520","0.3041057759220598","-17.15211121093196","3.3241267069631135","6324750","480","500","-0.0019469026548672","-1.50300601202404","12687750","5.7775276683549",,"4.2999999999999545","5529375"
BSE Ltd,BSE,"Stock Exchanges & Ratings","171823.18862322","375","4228.192521019505","4243.3","-11.59304188601511","0.25687554497677","4000",,"24.699999999999815","0.9917991417122812","9262.49999999993","34.84986351228389","5793750","4250","3800","3400","0.0560358629522894","-15.596831466812338","15.107478980495216","2473500","4100","4300","-0.0626885098508648","-1.5691158156911502","8965525","-7.6269025399826305",,"10.899999999999636","8892000"
Interglobe Aviation Ltd,INDIGO,"Airlines","164889.47876708","150","4252.259610029853","4277","-7.395028619461231","0.6616787467851301","4200",,"12.399999999999636","0.4873882503192848","1859.9999999999452","3.2290786136939897","6940650","5100","4150","3850","0.3286913051240849","-8.75729610348635","24.74038997014668","1117200","5100","4500","-0.0259174787476674","0.15856525780524","5637600","6.328684188191359",,"28.300000000000185","2747700"
Solar Industries India Ltd,SOLARINDS,"Commodity Chemicals","164782.390155","50","18239.828458337157","18305","-4.30440105676912","0.62824364927615","16000",,"95","0.975925925925926","4750","197.8603148970529","742550","18250","16750","18500","0.2411883182275931","4.14446002805048","65.17154166284308","123250","17250","19500","-0.0432801822323462","-3.34075723830734","378000","145.85365853658536",,"115","368900"
Adani Energy Solutions Ltd,ADANIENSOL,"Power Infrastructure","161704.65643961998","675",,"1361.9","-12.65234124438743","0.5947573243263","1300",,"15.800000000000182","0.5074226285330873","10665.000000000124","-14.172223010356069","18383625","1300","780","1400","-0.1813522089333659","-18.2279469164715","1361.9","4527900","1400","1500","-0.0128332505381685","-0.04956220056169999","8048025","-9.7221170591353",,"8.099999999999909","4083750"
TVS Motor Company Ltd,TVSMOTOR,"Two Wheelers","161624.68881593","175","3338.551180145114","3364.9","4.41724093652355","0.74593598621058","3300",,"3","0.574834633231316","525","26.617375231053607","8538250","3000","4000","3360","0.2535290796160361","12.37274862960062","26.348819854886187","1166900","3280","3600","-0.1183740969623118","3.5111111111111004","3545150","18.42628317549397",,"25.09999999999991","2037875"
