Name,Ticker,"Sub-Sector","Market Cap","Percentage Buy Reco’s","Percentage Upside","No. of analysts with buy reco","Percentage Sell Reco's","Percentage Hold Reco's","Total no. of analysts"
Hero MotoCorp Ltd,HEROMOTOCO,"Two Wheelers","99406.1715984","60.60606060606061","20.77294685990338","20","12.121212121212121","27.272727272727273","33"
Mazagon Dock Shipbuilders Ltd,MAZDOCK,"Shipbuilding","98335.9764","62.5","23.061777012060045","5","12.5","25","8"
JSW Energy Ltd,JSWENERGY,"Power Generation","94324.56035628001","76.47058823529412","11.617948240551105","13","11.764705882352942","11.764705882352942","17"
Indian Hotels Company Ltd,INDHOTEL,"Hotels, Resorts & Cruise Lines","93889.58969292","82.75862068965517","19.769557307459063","24","0","17.24137931034483","29"
United Spirits Ltd,UNITDSPR,"Alcoholic Beverages","93435.49057638","79.16666666666667","16.76786548341897","19","4.166666666666667","16.666666666666668","24"
Lloyds Metals and Energy Ltd,LLOYDSME,"Mining - Iron Ore","93097.43480544","83.33333333333333","23.42135476463834","5","0","16.666666666666668","6"
Aditya Birla Capital Ltd,ABCAPITAL,"Diversified Financials","92540.97404838","100","16.822429906542048","12","0","0","12"
Bharat Forge Ltd,BHARATFORG,"Iron & Steel","90272.69549424","45","-3.98262895879674","9","30","25","20"
Ashok Leyland Ltd,ASHOKLEY,"Trucks & Buses","90228.27977327199","69.6969696969697","26.94486036065359","23","0","30.303030303030305","33"
Ntpc Green Energy Ltd,NTPCGREEN,"Renewable Energy","89260.110183717","83.33333333333333","8.562258094968369","5","16.666666666666668","0","6"
Meesho Ltd,MEESHO,"Retail - Online","89075.353873545","62.5","6.986336684712561","5","0","37.5","8"
ICICI Lombard General Insurance Company Ltd,ICICIGI,"Insurance","89050.6648464","68","21.274092335275665","17","8","24","25"
Shree Cement Ltd,SHREECEM,"Cement","88109.186616","57.89473684210526","13.431613431613432","22","13.157894736842104","28.94736842105263","38"
Lodha Developers Ltd,LODHA,"Real Estate","87912.182864","83.33333333333333","38.35227272727273","15","0","16.666666666666668","18"
REC Ltd,RECLTD,"Specialized Finance","87686.3592","76.92307692307692","32.132132132132135","10","0","23.076923076923077","13"
Multi Commodity Exchange of India Ltd,MCX,"Stock Exchanges & Ratings","87596.1143553","72.72727272727273","1.6939303251300284","8","0","27.272727272727273","11"
Aurobindo Pharma Ltd,AUROPHARMA,"Pharmaceuticals","87313.59556625","87.5","-6.820428336079077","21","8.333333333333334","4.166666666666667","24"
Waaree Energies Ltd,WAAREEENER,"Renewable Energy Equipment & Services","86444.9791942","83.33333333333333","23.71888726207907","10","16.666666666666668","0","12"
PB Fintech Ltd,POLICYBZR,"Online Services","84553.356966","73.91304347826087","8.770491803278688","17","13.043478260869565","13.043478260869565","23"
Oracle Financial Services Software Ltd,OFSS,"Software Services","84482.87164515","100","10.217962590817747","2","0","0","2"
Lenskart Solutions Ltd,LENSKART,"Retail - Speciality","84182.96551755999","75","18.208893909828486","12","6.25","18.75","16"
Steel Authority of India Ltd,SAIL,"Iron & Steel","82213.975352256","34.61538461538461","-12.580385852090028","9","46.15384615384615","19.23076923076923","26"
Oil India Ltd,OIL,"Oil & Gas - Exploration & Production","82046.09697804","65","11.022997620935769","13","5","30","20"
Hindustan Petroleum Corp Ltd,HINDPETRO,"Oil & Gas - Refining & Marketing","81442.406838175","57.69230769230769","1.8941868060091442","15","23.076923076923077","19.23076923076923","26"
Dabur India Ltd,DABUR,"FMCG - Personal Products","79975.68985548","55.88235294117647","15.990241738744738","19","8.823529411764707","35.294117647058826","34"
NHPC Ltd,NHPC,"Renewable Energy","79858.02669975","66.66666666666667","8.176100628930818","4","16.666666666666668","16.666666666666668","6"
Bharti Hexacom Ltd,BHARTIHEXA,"Telecom Services","79785","66.66666666666667","12.803158488437674","8","8.333333333333334","25","12"
Persistent Systems Ltd,PERSISTENT,"Software Services","79429.42508004","70","16.048071438406005","21","16.666666666666668","13.333333333333334","30"
IDBI Bank Ltd,IDBI,"Private Banks","78815.10794275","0",,"0","100","0","1"
FSN E-Commerce Ventures Ltd,NYKAA,"Wellness Services","78259.66970448001","54.166666666666664","2.4515184778631496","13","16.666666666666668","29.166666666666668","24"
NMDC Ltd,NMDC,"Mining - Iron Ore","77790.0016824","42.857142857142854","-5.06329113924051","6","35.714285714285715","21.428571428571427","14"
SRF Ltd,SRF,"Diversified Chemicals","77459.78651325","64.28571428571429","19.006619982397726","18","21.428571428571427","14.285714285714286","28"
Torrent Power Ltd,TORNTPOWER,"Power Transmission & Distribution","76220.44991418","33.333333333333336","-5.559962977654364","3","11.11111111111111","55.55555555555556","9"
Havells India Ltd,HAVELLS,"Electrical Components & Equipments","75760.08137676","76.47058823529412","25.227686703096545","26","2.9411764705882355","20.58823529411765","34"
National Aluminium Co Ltd,NATIONALUM,"Metals - Aluminium","73906.06310888","25","-0.5964214711729566","2","25","50","8"
ICICI Prudential Life Insurance Company Ltd,ICICIPRULI,"Insurance","73864.763345625","81.81818181818181","35.49337260677467","27","0","18.181818181818183","33"
One 97 Communications Ltd,PAYTM,"Online Services","73844.783763","72.22222222222223","20.50281751192024","13","0","27.77777777777778","18"
