Name,Ticker,"Sub-Sector","Market Cap","Operating & Other expenses","Employee Cost","Selling & Administrative Expenses","Net Income (Q)","Total revenue (Q)","EPS (Q)","EBITDA (Q)","Operating and Other Expenses (Q)","PBIT (Q)","PBT (Q)"
Lerthai Finance Ltd,LERTHAI,"Diversified Financials","47.082","0.58","0.04",,"-0.09000000000000001","0.08","-1.36","-0.09000000000000001","0.17","-0.09000000000000001","-0.09000000000000001"
Ritesh International Ltd,RITESHIN,"Commodity Chemicals","47.070312083999994","4.060000000000003","4.34","5.29","1.1899999999999997","44.47","1.39","1.9299999999999997","42.54","1.7299999999999998","1.5099999999999998"
Kotak Silver ETF,SILVER1,"Silver","46.9249515",,,,,,,,,,
Lippi Systems Ltd,LIPPISYS,"Industrial Machinery","46.872","0.31000000000000005","0.34","0.15","4.970000000000001","7.44","7.1","6.82","0.62","6.65","6.65"
Deccan Transcon Leasing Ltd,DECCANTRAN,"Logistics","46.81030288","141.75","7.25","7.22","4.279999999999994","39.12","2.48","7.099999999999994","32.02","6.619999999999994","5.869999999999994"
Sodhani Capital Ltd,SODHACAP,"Asset Management","46.75631323","1.46",,,,,,,,,
Rolcon Engineering Company Ltd,ROLCOEN,"Industrial Machinery","46.7208","46.63",,,"0.8000000000000015","12.38","10.51","0.9300000000000015","11.45","0.4300000000000015","0.4100000000000015"
Veerhealth Care Ltd,VEERHEALTH,"Pharmaceuticals","46.676442984","-0.0800000000000014","1.58","1.89","0.41000000000000025","6.97","0.2","0.9500000000000002","6.02","0.6000000000000002","0.5000000000000002"
PAN HR Solution Ltd,PANHR,"Employment Services","46.547379389999996","267.11","7.39","1.75",,,,,,,
AD- Manum Finance Ltd,ADMANUM,"Specialized Finance","46.4925","2.63",,,"3.7800000000000002","4.78","5.04","4.83","-0.050000000000000044","4.83","4.83"
Golden Tobacco Ltd,GOLDENTOBC,"FMCG - Tobacco","46.469628478","20.07","4.8","6.07","-1.5499999999999998","3.83","-0.88","-0.3799999999999999","4.21","-0.5199999999999999","-1.5499999999999998"
Akash Infra-Projects Ltd,AKASH,"Construction & Engineering","46.321380898","0.379999999999999","3.05","3.5","0.9200000000000005","11.25","0.54","2.1400000000000006","9.11","1.8400000000000005","0.9300000000000005"
Kiduja India Ltd,KIDUJA,"Investment Banking & Brokerage","46.32","12.2","0.37",,"1.1800000000000002","3.04","0.49","1.1800000000000002","1.8599999999999999","1.1800000000000002","1.1800000000000002"
Axel Polymers Ltd,AXELPOLY,"Commodity Chemicals","46.25972642","-15.299999999999994","3.79","2.22","-0.6099999999999995","8.89","-0.06","0.3100000000000005","8.58","0.1600000000000005","-0.6099999999999995"
Incap Ltd,INCAP,"Electronic Equipments","46.1988","1.2499999999999996","2.01","1.69","0.1300000000000005","7.41","0.27","0.3100000000000005","7.1","0.1800000000000005","0.1300000000000005"
Bombay Metrics Supply Chain Ltd,BMETRICS,"Logistics","46.1772","89.15",,,,,,,,,
GTN Industries Ltd,GTNINDS,"Textiles","46.008411494","14.439999999999996","16.05","7.58","-2.899999999999997","42.57","-1.65","-1.0499999999999972","43.62","-1.9999999999999971","-2.939999999999997"
Vista Pharmaceuticals Ltd,VISTAPH,"Pharmaceuticals","45.917722622","1.4999999999999998","2","2.21","-2.3200000000000003","2.51","-0.41","-2.91","5.42","-3.1","-3.2800000000000002"
CCL International Ltd,CCLINTER,"Construction & Engineering","45.8511214","38.629999999999995","0.5","2.66","-0.5200000000000001","3.83","-0.27","0.41999999999999993","3.41","-0.3900000000000001","-0.5400000000000001"
Simandhar Impex Ltd,SIMANDHAR,"Precious Metals, Jewellery & Watches","45.808021125","1.54",,,"0.06000000000000005","1.54","0.02","0.06000000000000005","1.48","0.06000000000000005","0.06000000000000005"
Auri Grow India Ltd,AURIGROW,"Cables","45.76344","23.200000000000006","0.28","0.78","-0.29000000000000004","0","0","-0.23","0.23","-0.27","-0.39"
Callista Industries Ltd,CALLISTA,"Real Estate","45.72928588","0.010000000000000009","0","0.62","-0.48","0.15","-1.58","-0.48","0.63","-0.48","-0.48"
Srestha Finvest Ltd,SRESTHA,"Diversified Financials","45.695","42.660000000000004","0.34","2.68","0.5599999999999999","1.23","0","0.71","0.52","0.5599999999999999","0.5599999999999999"
SBI Nifty 200 Quality 30 ETF,SBIETFQLTY,"Equity","45.582376455",,,,,,,,,,
Evans Electric Ltd,EVANS,"Business Support Services","45.5504","1.5800000000000012","4.57","7.1",,,,,,,
Mask Investments Ltd,MASKINVEST,"Investment Banking & Brokerage","45.4642985","0.07","0.29",,"0.05","0.13","0.17","0.05","0.08","0.05","0.05"
U H Zaveri Ltd,UHZAVERI,"Precious Metals, Jewellery & Watches","45.444852","-1.319999999999998","0.34","0.45","0.019999999999999574","18.25","0","0.019999999999999574","18.23","0.019999999999999574","0.019999999999999574"
Share Samadhan Ltd,SSL,"Specialized Finance","45.3993811","6.66",,,,,,,,,
Capital Trust Ltd,CAPTRUST,"Consumer Finance","45.359279771","52.949999999999996","40.96",,"-2.42","11.3","-0.95","-2.25","13.55","-2.33","-2.33"
Panafic Industrials Ltd,PANAFIC,"Diversified Financials","45.333","0.61",,,"0.13","0.22","0.016883051104995696","0.13","0.09","0.13","0.13"
Sita Enterprises Ltd,SITAENT,"Diversified Financials","45.315","0.15000000000000002","0.11",,"0.47","0.68","1.58","0.63","0.05","0.63","0.63"
Umiya Tubes Ltd,UMIYA,"Iron & Steel","45.296507831999996","2.91","0.09","0.64","1.1999999999999995","4.39","0.93","1.2099999999999995","3.18","1.2099999999999995","1.1999999999999995"
NAM Securities Ltd,NAM,"Investment Banking & Brokerage","45.23888","65.31","0.79",,"0.069999999999999","11.67","0.12","0.129999999999999","11.540000000000001","0.089999999999999","0.089999999999999"
Sri Chakra Cement Ltd,SRICC,"Cement","45.234","73.75999999999999","20.19","18.38","-9.430000000000003","27.29","-10.49","-6.050000000000004","33.34","-8.780000000000005","-9.810000000000004"
Kaizen Agro Infrabuild Ltd,KAIZENAGRO,"Agro Products","45.142271664","0.09999999999999942","0.52","0.98","0.5899999999999999","19.84","0.11","0.5899999999999999","19.25","0.5899999999999999","0.5899999999999999"
