Name,Ticker,"Sub-Sector","Market Cap","Operating & Other expenses","Employee Cost","Selling & Administrative Expenses","Net Income (Q)","Total revenue (Q)","EPS (Q)","EBITDA (Q)","Operating and Other Expenses (Q)","PBIT (Q)","PBT (Q)"
Valiant Organics Ltd,VALIANTORG,"Commodity Chemicals","814.2498666","651.7",,,"15.719999999999994","222.39","5.61","31.099999999999994","191.29","20.849999999999994","17.549999999999994"
IST Ltd,ISTLTD,"Industrial Machinery","813.80509424","3.629999999999999","12.9","8.66","62.02000000000001","93.7","53.18","80.08","13.62","78.67","77.93"
Anuh Pharma Ltd,ANUHPHR,"Pharmaceuticals","813.718656","45.00999999999996","23.04","17.76","13.459999999999997","201.29","1.34","20.909999999999997","180.38","17.909999999999997","17.83"
Apis India Ltd,APIS,"Agro Products","812.5984581","35.41999999999999","27.07","50.56","3.8699999999999948","110","0.28","10.709999999999994","99.29","9.519999999999994","8.399999999999995"
Krystal Integrated Services Ltd,KRYSTAL,"Business Support Services","812.32928928","1193.74",,,"18.859999999999967","371.01","13.49","29.849999999999966","341.16","26.989999999999966","21.739999999999966"
Prozone Realty Ltd,PROZONER,"Real Estate","811.084323145","81.19999999999999","11.39","30.86","1.7900000000000045","61.17","0.12","25.700000000000003","35.47","19.820000000000004","10.850000000000003"
STEL Holdings Ltd,STEL,"Asset Management","809.730894375","0.020000000000000018","0.15","0.47","12.579999999999998","17.2","6.82","17.06","0.14","17.049999999999997","17.049999999999997"
Kopran Ltd,KOPRAN,"Pharmaceuticals","807.190458785","619.47",,,"18.870000000000022","234.11","3.91","33.04000000000002","201.07","28.52000000000002","25.350000000000023"
Manoj Vaibhav Gems N Jewellers Ltd,MVGJL,"Precious Metals, Jewellery & Watches","804.810437916","-190.48999999999987","46.27","42.06","34.50000000000004","686.27","7.06","54.34000000000003","631.93","51.860000000000035","43.66000000000004"
Kellton Tech Solutions Ltd,KELLTONTEC,"IT Services & Consulting","803.3187077399999","401.43","516.54","52.21","25.400000000000016","308.75","0.48","39.670000000000016","269.08","35.84000000000002","30.310000000000016"
GIC Housing Finance Ltd,GICHSGFIN,"Home Financing","803.134798324","913.1",,,"53.68000000000003","273.47","9.97","66.19000000000003","207.28","63.40000000000003","63.40000000000003"
Viviana Power Tech Ltd,VIVIANA,"Electrical Components & Equipments","800.061696","43.50999999999999","3.67","4.01","7.900000000000003","118.7","7.56","14.840000000000003","103.86","14.670000000000003","12.440000000000003"
Sudarshan Colorants India Ltd,SUDARCOLOR,"Specialty Chemicals","797.12989393","727.67",,,"13.150000000000016","228.34","5.69","21.670000000000016","206.67","16.800000000000015","16.190000000000015"
United Polyfab Gujarat Ltd,UNITEDPOLY,"Textiles","797.1073315","629.23",,,"7.060000000000011","171.96","0.31","9.300000000000011","162.66","6.330000000000011","3.530000000000011"
Bright Outdoor Media Ltd,BRIGHT,"Advertising","796.545559","121.06",,,"5.809999999999999","34.87","2.66","9.099999999999998","25.77","8.059999999999999","7.8199999999999985"
Dwarikesh Sugar Industries Ltd,DWARKESH,"Sugar","796.24041659","1315.06",,,"57.410000000000004","426.74","3.1","87.88","338.86","87.89","81.7"
Sarla Performance Fibers Ltd,SARLAPOLY,"Textiles","796.117602","439.82",,,"-59.630000000000024","113.8","-7.14","-63.72000000000001","177.52","-69.86000000000001","-71.65000000000002"
Asian Hotels (West) Ltd,AHLWEST,"Hotels, Resorts & Cruise Lines","794.1464736","140.66","52.23","44.04","21.659999999999993","112.52","18.58","50.419999999999995","62.1","40.879999999999995","28.639999999999993"
Supreme Infrastructure India Ltd,SUPREMEINF,"Construction & Engineering","793.6201750399999","68.88999999999999","4.18","13.06","-49.21000000000001","29.82","-6.78","7.109999999999999","22.71","5.869999999999999","-49.220000000000006"
Kabra Extrusion Technik Ltd,KABRAEXTRU,"Industrial Machinery","790.491012108","-7.829999999999998","60.6","50.29","-4.99","111.75","-1.42","2.8900000000000006","108.86","-5.209999999999999","-8.18"
Pudumjee Paper Products Ltd,PDMJEPAPER,"Paper Products","790.45875","94.01999999999998","59.06","38.36","20.709999999999997","208.25","2.18","32.72","175.53","28.939999999999998","28.099999999999998"
Sudarshan Pharma Industries Ltd,SUDARSHAN,"Pharmaceuticals","783.82593959","651.74",,,"10.730000000000011","225.05","0.48","24.330000000000013","200.72","23.240000000000013","15.710000000000012"
N R Agarwal Industries Ltd,NRAIL,"Paper Products","782.8786","1976.54",,,"14.199999999999978","605.72","8.34","57.01999999999998","548.7","39.50999999999998","23.899999999999977"
Karnika Industries Ltd,KARNIKA,"Textiles","781.788475","211.23",,,"8.959999999999997","78.89","1.45","14.829999999999998","64.06","14.419999999999998","13.119999999999997"
Likhitha Infrastructure Ltd,LIKHITHA,"Construction & Engineering","781.62285","277.19000000000005","27.95","11.34","9.259999999999987","112.21","2.35","14.529999999999987","97.68","12.629999999999987","12.359999999999987"
Sigachi Industries Ltd,SIGACHI,"Commodity Chemicals","780.6650514300001","14.389999999999965","66.72","55.52","0.19000000000000838","117.68","0.01","5.460000000000008","112.22","1.2800000000000082","-1.8499999999999917"
Ganesh Consumer Products Ltd,GANESHCP,"FMCG - Foods","777.504668094","53.650000000000034","13.59","39.74","12.190000000000001","212.63","3.02","23.75","188.88","17.88","16.23"
ECOS (India) Mobility & Hospitality Ltd,ECOSMOBLTY,"Tour & Travel Services","776.4","469.09000000000003","62.7","24.28","13.930000000000007","208.93","2.32","26.210000000000008","182.72","18.820000000000007","18.660000000000007"
BEML Land Assets Ltd,BLAL,"Real Estate","776.170191","3.04",,,"0.5099999999999999","0.98","0.12","0.8099999999999999","0.17","0.7899999999999999","0.5099999999999999"
Hazoor Multi Projects Ltd,HAZOOR,"Real Estate","772.7811811199999","505.14000000000004","10.59","29.06","6.450000000000001","140.22","0.22","30.53","109.69","28.970000000000002","6.120000000000001"
Bigbloc Construction Ltd,BIGBLOC,"Building Products - Granite","769.46420125","13.580000000000007","23.76","45.96","1.8599999999999937","74.08","0.13","9.319999999999993","64.76","5.019999999999993","0.9999999999999938"
Kotak Nifty Alpha 50 ETF,ALPHA,"Equity","768.630117211",,,,,,,,,,
Permanent Magnets Ltd,PERMAGN,"Metals - Diversified","767.66988384","191.3",,,"3.9900000000000015","69.08","4.99","12.030000000000001","57.05","6.910000000000001","5.350000000000001"
Gayatri Projects Ltd,GAYAPROJ,"Construction & Engineering","766.09335","847.14",,,"-111.00000000000001","224.63","-5.93","-91.37","316","-96.21000000000001","-98.80000000000001"
Advent Hotels International Ltd,ADVENTHTL,"Hotels, Resorts & Cruise Lines","764.3167659029999","245.69",,,"2.860000000000003","118.04","0.53","30.620000000000005","87.42","22.730000000000004","11.540000000000004"
GTPL Hathway Ltd,GTPL,"Cable & D2H","762.949249792","3314.77",,,"-15.020000000000046","934.56","-1.34","90.67999999999995","843.88","-9.340000000000046","-20.430000000000046"
The Ruby Mills Ltd,RUBYMILLS,"Textiles","762.69952","19.84000000000002","29.04","15.17","9.469999999999995","84.99","2.83","19.319999999999993","65.67","14.439999999999994","9.759999999999994"
Aditya Birla Money Ltd,BIRLAMONEY,"Investment Banking & Brokerage","762.0265754850001","382.88",,,"18.71999999999998","133.63","3.31","28.659999999999982","104.97000000000001","25.69999999999998","25.69999999999998"
Arihant Capital Markets Ltd,ARIHANTCAP,"Diversified Financials","761.6993472","24.450000000000003","40.79","108.95","5.1899999999999995","49.28","0.49","7.93","41.35","7.06","7.06"
NCL Industries Ltd,NCLIND,"Cement","760.77029501","461.2100000000001","75.51","429.95","13.24000000000002","350.63","2.93","43.79000000000002","306.84","28.59000000000002","23.34000000000002"
Innovana Thinklabs Ltd,INNOVANA,"Software Services","760.5979","17.11","14.36","14.02","9.569999999999997","38.37","4.35","15.729999999999997","22.64","12.639999999999997","10.949999999999998"
Sacheerome Ltd,SACHEEROME,"FMCG - Personal Products","759.444696","1.620000000000001","9.08","10.02",,,,,,,
Integra Engineering India Ltd,INTEGRAEN,"Industrial Machinery","758.38706788","140.17",,,"3.4099999999999984","39.98","0.99","6.579999999999998","33.4","5.369999999999998","4.709999999999998"
Automotive Stampings and Assemblies Ltd,ASAL,"Auto Parts","757.921566675","833.12",,,"13.27000000000001","256.1","8.37","18.74000000000001","237.36","13.89000000000001","10.73000000000001"
McLeod Russel India Ltd,MCLEODRUSS,"Tea & Coffee","757.30407875","163.6400000000001","739.89","80.82","-36.410000000000004","445.59","-3.48","7.8799999999999955","437.71","-7.190000000000005","-50.85"
Vision Infra Equipment Solutions Ltd,VIESL,"Business Support Services","756.768104","450.53",,,,,,,,,
Fairchem Organics Ltd,FAIRCHEMOR,"Specialty Chemicals","756.4468946100001","438.91",,,"3.6899999999999924","117.47","2.85","8.569999999999993","108.9","5.8499999999999925","4.729999999999992"
Heranba Industries Ltd,HERANBA,"Fertilizers & Agro Chemicals","756.374566701","92.98","105.09","61.26","-23.249999999999986","305.17","-5.81","16.230000000000018","288.94","-9.439999999999984","-21.829999999999984"
U. P. Hotels Ltd,UPHOT,"Hotels, Resorts & Cruise Lines","756","27.959999999999994","33.39","15.72","16.6","58.73","30.75","23.57","35.16","22.19","22.18"
Uniphos Enterprises Ltd,UNIENTER,"Fertilizers & Agro Chemicals","754.989736744","0.870000000000005","1.37","2.32","-1.01","0.13","-0.15","-0.84","0.97","-1.01","-1.01"
RSWM Ltd,RSWM,"Textiles","752.92041874","4281.54",,,"33.840000000000074","1158.96","7.18","86.42000000000007","1072.54","47.940000000000076","17.200000000000077"
Axtel Industries Ltd,AXTEL,"Industrial Machinery","752.329036","183.07",,,"11.169999999999998","71.6","6.91","16.189999999999998","55.41","14.909999999999998","14.799999999999999"
Popular Vehicles and Services Ltd,PVSL,"Four Wheelers","751.7105744840001","93.7100000000001","387.08","105.06","0.6799999999999082","1791.8","0.09","56.59999999999991","1735.2","21.16999999999991","-6.630000000000091"
Fedders Holding Ltd,FEDDERSHOL,"Diversified Financials","751.68440004","8.759999999999991","0.3","410.93000000000006","36.67999999999999","117","1.82","37.72","79.28","36.699999999999996","36.699999999999996"
Consolidated Finvest & Holdings Ltd,CONSOFINVT,"Asset Management","751.200093108","0.36000000000000004","0.18",,"11.959999999999999","13.61","3.7","13.459999999999999","0.15000000000000002","13.459999999999999","13.459999999999999"
Yogi Ltd,YOGI,"Real Estate","750.1208","408.71",,,"3.6299999999999804","158.32","0.84","7.989999999999981","150.33","7.87999999999998","4.95999999999998"
Sunshield Chemicals Ltd,SUNSHIEL,"Specialty Chemicals","748.2206727","388.69",,,"10.65999999999999","110.07","12.12","16.89999999999999","93.17","14.17999999999999","14.11999999999999"
Sandesh Ltd,SANDESH,"Publishing","748.0101832199999","48.88000000000002","35.91","41.54","38.47","109.66","50.84","50.01","59.65","48.169999999999995","48.099999999999994"
Eraaya Lifespaces Ltd,EBIX,"Construction & Engineering","746.8151476","315.2199999999999","499.04","781.36","-34.53999999999987","640.96","-1.73","29.100000000000136","611.8599999999999","-6.209999999999866","-6.209999999999866"
Xchanging Solutions Ltd,XCHANGING,"IT Services & Consulting","746.4048972","59.089999999999996","63.79","8.82","13.18","52.07","1.18","19.33","32.74","19.33","17.97"
Kothari Petrochemicals Ltd,KOTHARIPET,"Commodity Chemicals","745.3485024","494.48",,,"17.810000000000006","155.36","3.03","26.370000000000005","128.99","24.260000000000005","24.110000000000007"
Ritco Logistics Ltd,RITCO,"Logistics","742.567763574","1053.23","30.23","16.01","10.629999999999992","394.01","3.37","28.819999999999993","365.19","21.159999999999993","14.509999999999993"
Innovision Ltd,INNOVISION,"Employment Services","741.7841081","485.65","349.47","7.24","4.469999999999986","234.73","2.97","12.169999999999987","222.56","11.589999999999987","8.029999999999987"
Aryaman Financial Services Ltd,ARYAMAN,"Investment Banking & Brokerage","739.7188","4.630000000000003","2.67","56.5","6.880000000000003","21.76","7.24","11.690000000000003","10.069999999999999","11.630000000000003","11.630000000000003"
Airfloa Rail Technology Ltd,AIRFLOA,"Industrial Machinery","737.67533435","-10.59000000000001","11.04","7.95",,,,,,,
Enkei Wheels (India) Ltd,ENKEIWHEL,"Auto Parts","737.060569475","88.08999999999993","57.06","50.25","-0.6100000000000341","299.26","-0.34","18.849999999999966","280.41","4.279999999999966","-0.6500000000000341"
Zuari Industries Ltd,ZUARIIND,"Conglomerates","735.8930566399999","121.07000000000001","113.71","40.4","-25.88000000000002","315.62","-8.69","39.14999999999998","276.47","31.439999999999976","-24.75000000000002"
Bizotic Commercial Ltd,BIZOTIC,"Textiles","734.7204","-26.729999999999986","1.72","3.05","-0.2200000000000003","28.07","0","-0.07000000000000028","28.14","-0.12000000000000029","-0.3200000000000003"
Parin Enterprises Ltd,PARIN,"Building Products - Others","734.67744","226.55",,,"0","0","0","0","0","0","0"
Visa Chrome Ltd,VISACHROME,"Iron & Steel","733.4669745","548.65","27.11","2.96","-16.53000000000001","145.14","-1.42","-0.7400000000000091","145.88","-7.300000000000009","-16.53000000000001"
MMP Industries Ltd,MMP,"Metals - Aluminium","731.010994301","3.4299999999999606","43.95","11.24","11.420000000000016","206.59","4.5","20.890000000000015","185.7","17.980000000000015","14.380000000000015"
Shree Ganesh Remedies Ltd,SGRL,"Pharmaceuticals","729.6261327","74.27",,,"6.259999999999997","34.22","4.88","12.399999999999999","21.82","9.599999999999998","8.719999999999997"
South West Pinnacle Exploration Ltd,SOUTHWEST,"Mining - Diversified","729.433258983","184.69",,,"13.049999999999997","79.44","4.37","22.129999999999995","57.31","18.909999999999997","16.779999999999998"
JITF Infralogistics Ltd,JITFINFRA,"Shipbuilding","728.18599098","2295.49",,,"-17.8200000000001","914.17","-6.93","139.4799999999999","774.69","110.31999999999991","6.389999999999901"
Ganesh Benzoplast Ltd,GANESHBE,"Specialty Chemicals","724.789490628","107.26000000000003","26","42.57","16.159999999999997","113.05","2.24","29.629999999999995","83.42","23.649999999999995","22.189999999999994"
Arrow Greentech Ltd,ARROWGREEN,"Packaging","723.91926524","13.819999999999997","15.31","13.5","13.309999999999995","58.21","8.81","21.36","36.85","19.419999999999998","19.299999999999997"
VLS Finance Ltd,VLSFINANCE,"Investment Banking & Brokerage","722.807502205","26.24","8.19","10.84","18.04","31.61","5.31","25.32","6.29","24.43","24.43"
Prizor Viztech Ltd,PRIZOR,"Business Support Services","722.80579085","114.72",,,,,,,,,
Kirloskar Electric Company Ltd,KECL,"Heavy Electrical Equipments","721.057568847","34.040000000000006","75.46","32.39","4.100000000000005","155.1","0.62","11.400000000000006","143.7","10.340000000000005","4.310000000000005"
Sahana System Ltd,SAHANA,"IT Services & Consulting","720.223976","85.35","14.85","10.93",,,,,,,
Exhicon Events Media Solutions Ltd,EXHICON,"Advertising","719.42388","147.79",,,,,,,,,
Vasa Denticity Ltd,DENTALKART,"Hospitals & Diagnostic Centres","718.803388305","-8.279999999999998","13.83","25.77","1.3700000000000097","73.04","0.79","2.6300000000000097","70.41","1.9800000000000098","1.8800000000000097"
Praveg Ltd,PRAVEG,"Advertising","716.908560375","70.02","24.73","11.89","9.269999999999989","90.71","3.8","26.50999999999999","64.2","14.29999999999999","10.90999999999999"
LIC MF Nifty 100 ETF,LICNFNHGP,"Equity","715.877494056",,,,,,,,,,
VTM Ltd,VTMLTD,"Textiles","715.850142","7.410000000000011","20.87","18.13","3.3699999999999957","101.06","0.34","7.8799999999999955","93.18","5.039999999999996","4.619999999999996"
Australian Premium Solar (India) Ltd,APS,"Renewable Energy","714.70175","-25.709999999999976","11.83","11.8","13.889999999999995","149.7","6.9","21.959999999999994","127.74","19.479999999999993","18.239999999999995"
Cheviot Co Ltd,CHEVIOT,"Textiles","714.40289375","38.619999999999976","72.92","23.42","17.19","147.16","29.43","23.950000000000003","123.21","21.900000000000002","21.8"
Foseco Crucible (India) Ltd,FOSECOC,"Industrial Machinery","713.272","144.77",,,"-1.4099999999999997","43.18","-2.49","-0.35999999999999943","43.54","-3.1899999999999995","-3.2699999999999996"
SPEL Semiconductor Ltd,SPELS,"Electronic Equipments","712.97566878","26.17",,,"0.7699999999999998","3.27","0.17","2.83","0.44","2.55","0.7699999999999998"
Voith Paper Fabrics India Ltd,VOITHPAPR,"Textiles","712.495032595","139.64",,,"8.180000000000001","53.97","18.64","14.850000000000001","39.12","11.030000000000001","11.020000000000001"
Sadhana Nitro Chem Ltd,SADHNANIQ,"Specialty Chemicals","711.5266524","72.82","23.02","14.03","-25.14","10.96","-0.20489703923778302","-13.989999999999998","24.95","-17.86","-24.73"
Taneja Aerospace and Aviation Ltd,TANAA,"Aerospace & Defense Equipments","711.0824463600001","16.54",,,"5.11","12.71","2","7.500000000000001","5.21","6.680000000000001","6.5200000000000005"
Gloster Ltd,GLOSTERLTD,"Textiles","708.7402339","59.75000000000004","129.45","27.11","-0.7400000000000153","385.12","-0.68","39.389999999999986","345.73","24.219999999999985","3.9699999999999847"
Anlon Healthcare Ltd,AHCL,"Pharmaceuticals","707.446465","6.719999999999997","4.46","3.25","5.150000000000003","35.78","0.11303730230976221","12.540000000000003","23.24","12.190000000000003","10.610000000000003"
DMCC Speciality Chemicals Ltd,DMCC,"Diversified Chemicals","705.55070457","518.29",,,"7.650000000000013","177.8","3.07","17.860000000000014","159.94","14.180000000000014","10.810000000000013"
GeeCee Ventures Ltd,GEECEE,"Real Estate","705.038943235","22.61",,,"23.57","33.33","11.27","29.11","4.22","28.57","28.53"
Dhampur Bio Organics Ltd,DBOL,"Sugar","704.82225249","144.7300000000001","100.64","77.92","16.900000000000027","495.29","2.56","51.59000000000003","443.7","36.28000000000003","25.680000000000028"
Denta Water and Infra Solutions Ltd,DENTA,"Water Management","704.4795","102.50999999999998","4.44","5.87","14.309999999999999","55.64","5.36","19.61","36.03","19.47","19.22"
Allied Digital Services Ltd,ADSL,"IT Services & Consulting","702.694254816","103.26999999999987","161.74","31.21","13.909999999999991","252.1","2.2","29.539999999999992","222.56","24.55999999999999","21.43999999999999"
C2C Advanced Systems Ltd,C2C,"Software Services","698.25101795","-50.28","12.18","8.25","6.8199999999999985","19.22","5.57","10.27","8.95","9.95","9.229999999999999"
Saurashtra Cement Ltd,SAURASHCEM,"Cement","697.99382016","1623.67",,,"18.819999999999983","450.76","1.69","27.019999999999982","423.74","14.899999999999983","12.729999999999983"
Unihealth Hospitals Ltd,UNIHEALTH,"Hospitals & Diagnostic Centres","697.8628664","6.239999999999996","8.24","8.93",,,,,,,
Radhika Jeweltech Ltd,RADHIKAJWE,"Precious Metals, Jewellery & Watches","697.852","-38.999999999999964","4.02","10.1","30.640000000000008","213.86","2.6","42.05000000000001","171.81","41.55000000000001","40.99000000000001"
SAR Televenture Ltd,SARTELE,"Telecom Infrastructure","697.551725","246.74999999999997","14.29","31.5","15.669999999999995","127.24","4.63","21.22","106.02","17.729999999999997","17.699999999999996"
SMT Engineering Ltd,SMTEL,"Industrial Machinery","696.86955","0.41999999999999815","0.22","17.81","2.3300000000000027","26.92","1.4","4.380000000000003","22.54","4.130000000000003","4.130000000000003"
Modern Malleables Ltd,MODMA,"Electrical Components & Equipments","696.8195","2.7299999999999995","2.58","4.49","4.170000000000002","31.46","0.36","5.810000000000002","25.65","5.620000000000002","5.570000000000002"
Petro Carbon and Chemicals Ltd,PCCL,"Metals - Coke","696.1695","521.58",,,"12.140000000000004","93.58","4.92","19.620000000000005","73.96","19.090000000000003","16.770000000000003"
Amal Ltd,AMAL,"Commodity Chemicals","694.90523102","203.97",,,"1.8999999999999986","76.47","1.54","8.079999999999998","68.39","5.729999999999999","5.589999999999999"
FlySBS Aviation Ltd,FLYSBS,"Airlines","694.659083895","134.44","4.15","4.72",,,,,,,
State Trading Corporation of India Ltd,STCINDIA,"Commodities Trading","694.32","30.400000000000006","31.58","12.19","16.55","24.86","2.76","14.719999999999999","10.14","14.719999999999999","14.18"
Iris Clothings Ltd,IRISDOREME,"Retail - Apparel","691.2838990399999","161.74",,,"6.449999999999999","60.71","0.34","11.04","49.67","9.77","8.879999999999999"
Shri Ahimsa Naturals Ltd,SHRIAHIMSA,"FMCG - Foods","690.4465","2.119999999999999","5.93","2.06",,,,,,,
RNFI Services Ltd,RNFI,"Diversified Financials","689.4185090100001","774.7","69.17","22.64","8.370000000000008","258.55","3.35","17.460000000000008","241.09","13.120000000000008","12.580000000000009"
Forbes Precision Tools and Machine Parts Ltd,TOTEM,"Industrial Machinery","688.01217744","198.07",,,"11.059999999999999","72.38","2.14","19.65","52.73","15.729999999999999","15.329999999999998"
Uni-Abex Alloy Products Ltd,UNIABEXAL,"Iron & Steel","687.28025","39.41","14.33","19.46","5.469999999999999","48.18","27.7","8.43","39.75","7.22","7.029999999999999"
Vakrangee Limited,VAKRANGEE,"Outsourced services","684.577222024","227.1",,,"2.030000000000002","58.86","0.01","6.810000000000002","52.05","2.570000000000002","2.200000000000002"
Modi's Navnirman Ltd,MODIS,"Real Estate","683.341056","154.22",,,"4.410000000000002","54.28","2.25","7.560000000000002","46.72","7.470000000000002","5.900000000000002"
Virat Industries Ltd,VIRAT,"Apparel & Accessories","682.5243163050001","6.129999999999998","6.29","3.17","1.1899999999999995","7.34","0.81","1.7699999999999996","5.57","1.6499999999999995","1.6399999999999995"
Kamdhenu Ltd,KAMDHENU,"Iron & Steel","681.311211","6.270000000000037","39.99","57.21","20.809999999999988","176","0.74","28.669999999999987","147.33","27.069999999999986","26.839999999999986"
Mukka Proteins Ltd,MUKKA,"Packaged Foods & Meats","680.7","1334.87",,,"20.61","395.92","0.69","49.18000000000001","346.74","44.050000000000004","28.880000000000003"
Swaraj Suiting Ltd,SWARAJ,"Textiles","679.2134646","3.490000000000016","16.1","6.32","11.090000000000003","166.8","5.04","26.310000000000002","140.49","20.730000000000004","15.030000000000005"
PVP Ventures Ltd,PVP,"Real Estate","676.789166919","12.659999999999998","6.65","21.37","-3.5400000000000014","17.09","-0.14","7.039999999999999","10.05","5.669999999999999","-1.8600000000000012"
Magadh Sugar & Energy Ltd,MAGADSUGAR,"Sugar","676.04594925","1098.28",,,"48.56000000000003","293.47","34.46","80.75000000000003","212.72","73.90000000000003","63.720000000000034"
Fabtech Technologies Ltd,FABTECH,"Pharmaceuticals","675.163110066","375.77",,,"22.050000000000004","168.37","5.75","32.06","136.31","30.770000000000003","29.890000000000004"
Kuantum Papers Ltd,KUANTUM,"Paper Products","671.929951","302.66","80.63","12.76","9.780000000000001","291.18","1.12","40.84","250.34","24.220000000000002","13.340000000000002"
Bhageria Industries Ltd,BHAGERIA,"Specialty Chemicals","666.49027278","782.79",,,"11.840000000000025","266.3","2.71","26.380000000000024","239.92","17.620000000000026","16.680000000000025"
Consolidated Construction Consortium Ltd,CCCL,"Construction & Engineering","666.118341441","327.62",,,"-1.9999999999999913","113.4","-0.03","-1.1499999999999915","114.55","-1.7999999999999914","-2.4899999999999913"
Patel Retail Ltd,PATELRMART,"Retail - Speciality","662.0986665439999","2.7000000000000064","31.71","35.64","12.000000000000023","311.12","3.59","24.910000000000025","286.21","19.040000000000024","15.990000000000023"
Chemcon Speciality Chemicals Ltd,CHEMCON,"Specialty Chemicals","662.026659173","15.290000000000017","19.48","10.55","5.090000000000001","60.96","1.39","10.280000000000001","50.68","7.460000000000001","6.790000000000001"
Welspun Investments and Commercials Ltd,WELINV,"Diversified Financials","660.80235032","0.24999999999999997","0.1",,"-0.12999999999999998","0.13","-0.35","-0.15999999999999998","0.29","-0.15999999999999998","-0.15999999999999998"
Mindteck (India) Ltd,MINDTECK,"IT Services & Consulting","660.717427617","374.66",,,"10.159999999999997","106.99","3.18","13.739999999999995","93.25","12.629999999999995","12.429999999999996"
Ksolves India Ltd,KSOLVES,"IT Services & Consulting","659.782926","114.34",,,"9.699999999999998","43.47","4.09","13.049999999999997","30.42","12.199999999999998","11.969999999999997"
Om Power Transmission Ltd,OMPOWER,"Power Transmission & Distribution","659.01078","392.05",,,"16.669999999999998","175.28","6.46","23.53","151.75","24.27","22.15"
Foce India Ltd,FOCE,"Precious Metals, Jewellery & Watches","658.783422","-1.0000000000000056","0.39","1.61",,,,,,,
Allcargo Terminals Ltd,ATL,"Logistics","658.421365737","490.71000000000004","68","44.34","15.030000000000015","221.86","0.55","45.140000000000015","176.72","29.100000000000016","16.030000000000015"
Pradeep Metals Ltd,PRADPME,"Iron & Steel","657.38255","283.76",,,"10.320000000000004","91.73","5.98","17.510000000000005","74.22","15.120000000000005","13.070000000000004"
Oswal Greentech Ltd,OSWALGREEN,"Real Estate","655.120164609","52.580000000000005","14.82","7.64","8.569999999999997","19.74","0.33","10.239999999999998","9.5","9.499999999999998","9.359999999999998"
Advance Agrolife Ltd,ADVANCE,"Specialty Chemicals","653.5929152399999","574.09",,,"7.459999999999998","125.91","1.05","15.409999999999997","110.5","12.469999999999997","10.009999999999998"
TV Today Network Limited,TVTODAY,"TV Channels & Broadcasters","652.65531087","793.05",,,"9.019999999999992","229.75","1.51","20.789999999999992","208.96","12.899999999999991","12.259999999999991"
LIC MF Nifty Midcap 100 ETF,LICNMID100,"Equity","651.812855808",,,,,,,,,,
Glottis Ltd,GLOTTIS,"Logistics","649.685493","830.18","13.76","18.32","2.7099999999999946","145.23","0.29","5.349999999999994","139.88","4.7599999999999945","3.8399999999999945"
Aditya Birla Sun Life Nifty 50 ETF,BSLNIFTY,"Equity","647.50496721",,,,,,,,,,
Influx Healthtech Ltd,INFLUX,"Pharmaceuticals","646.822176","116.98",,,,,,,,,
Z F Steering Gear (India) Ltd,ZFSTEERING,"Auto Parts","646.1550595","496.82",,,"-0.030000000000001137","175.71","-0.04","22.189999999999998","153.52","8.999999999999998","6.679999999999998"
Shraddha Prime Projects Ltd,SHRADDHA,"Real Estate","644.79996","93.79000000000002","2.05","28.83","13.699999999999996","128.94","3.3","20.099999999999994","108.84","20.049999999999994","20.169999999999995"
Mallcom (India) Ltd,MALLCOM,"Business Support Services","644.4048","119.02000000000002","19.9","28.17","10.160000000000009","131.05","16.27","19.210000000000008","111.84","15.880000000000008","13.830000000000009"
Kilitch Drugs (India) Ltd,KILITCH,"Pharmaceuticals","642.59354632","198.88",,,"14.529999999999998","90.1","4.24","22.64","67.46","21.66","20.22"
Satia Industries Ltd,SATIA,"Paper Products","641","136.1300000000001","113.8","148.76","28.020000000000014","408.95","2.8","67.11000000000001","341.84","31.820000000000014","26.300000000000015"
Innovassynth Technologies (India) Ltd,INOVSYNTH,"Specialty Chemicals","640.831663096","3.8699999999999997","0.11","0.31","-4.94","0","-1.5903250732268324","-4.82","4.82","-4.82","-4.94"
Jagatjit Industries Ltd,JAGAJITIND,"Alcoholic Beverages","640.68672096","38.52000000000001","71.02","28.56","64.39999999999999","120.77","13.76","80.82","39.95","75.33999999999999","64.39999999999999"
Shree Vasu Logistics Ltd,SVLL,"Logistics","638.245161","4.190000000000009","18.06","72.89","-1.1199999999999983","56.14","-0.98","13.130000000000003","43.01","3.2500000000000018","-1.3299999999999983"
Transpek Industry Ltd,TRANSPEK,"Specialty Chemicals","634.35307133","48.74999999999997","66.63","77.42","10.84","162.02","19.42","28.47","133.55","16.13","14.459999999999999"
Jayant Agro-Organics Ltd,JAYAGROGN,"Specialty Chemicals","634.05","216.83000000000013","67.51","106.3","6.939999999999964","588.02","2.31","18.289999999999964","569.73","12.949999999999964","9.299999999999963"
20 Microns Ltd,20MICRONS,"Specialty Chemicals","632.8986998720001","22.32999999999997","68.23","157.56","14.959999999999999","216.37","4.24","28.909999999999997","187.46","24.009999999999998","19.93"
Tuticorin Alkali Chemicals and Fertilizers Ltd,TUTIALKA,"Commodity Chemicals","632.81530102","275.35",,,"8.020000000000007","84.75","0.66","14.290000000000006","70.46","12.200000000000006","10.070000000000007"
Baheti Recycling Industries Ltd,BAHETI,"Metals - Aluminium","628.851446475","663.89",,,,,,,,,
