Name,Ticker,"Sub-Sector","Market Cap","EV / Free Cash Flow","Enterprise Value","Price / CFO","PB Premium vs Sub-sector","Dividend Yield vs Sub-sector","Price / Sales","Sector PB","Sector Dividend Yield","Sector PE","TTM PE Ratio"
Rushil Decor Ltd,RUSHIL,"Building Products - Laminates","459.1973233",,"729.3773233","4.246322575365268",,,"0.5032740660003068","6.806753889542422","0.5875072100804868","40.633213495947615","48.747061921443205"
Kalyani Cast-Tech Ltd,KALYANI,"Industrial Machinery","458.83395","69.95111022364217","437.89395","55.41472826086957","-33.946545145334056",,"3.2801969545324567","6.806753889542422","0.5875072100804868","40.633213495947615",
Brahmaputra Infrastructure Ltd,BRAHMINFRA,"Construction & Engineering","457.475076","14.996704347826087","613.965076","11.163374231332359","-62.261470843841934",,"1.8511515234896614","6.806753889542422","0.5875072100804868","40.633213495947615","6.826967258618118"
Suditi Industries Ltd,SUDTIND-B,"Textiles","456.88069104",,"463.63069104",,"521.7775505093438",,"3.7033370433654857","5.599852449734864","0.6843999547954118","24.52159967199169","43.6371242636103"
ATMASTCO Ltd,ATMASTCO,"Iron & Steel","456.8497243",,"481.65972430000005",,"14.99014227516371",,"1.5738243223783934","3.3971619560814212","2.147340135276208","23.8500931581181",
Cropster Agro Ltd,CROPSTER,"Agro Products","456.12",,"455.43",,"27.259959736776768",,"2.343523608898936","8.190568262110702","1.6836677726443445","30.846384996929732","29.351351351351358"
Tara Chand Infralogistic Solutions Ltd,TARACHAND,"Business Support Services","455.9232216",,"548.1632215999999","8.118290982905982","-30.2610943443587","-1.6657122300759812","1.58235248533648","6.806753889542422","0.5875072100804868","40.633213495947615",
Suratwwala Business Group Ltd,SBGLP,"Real Estate","455.56498788000005",,"517.58498788",,"91.00865848522386",,"12.206993244372992","3.4004118686297864","0.9697276054688574","37.252414014016885","14.638977759640108"
Systematic Industries Ltd,SYSTEMATIC,"Cables","454.77574333",,"553.0757433299999","59.68185608005249","-24.912272401478056",,"1.0124126075912734","6.806753889542422","0.5875072100804868","40.633213495947615",
Mishtann Foods Ltd,MISHTANN,"FMCG - Foods","454.75264506599996",,"501.522645066",,"-97.09574826283507",,"0.33062580070668807","8.190568262110702","1.6836677726443445","30.846384996929732","1.325307157829394"
TechD Cybersecurity Ltd,TECHD,"Software Services","454.0197931",,"444.9697931",,"187.17732393186594",,"15.018848597419781","5.823616002155781","3.217780581074618","21.61194022660079",
Sattrix Information Security Ltd,SATTRIX,"IT Services & Consulting","453.93516",,"443.91516",,"136.07058667114143",,"10.071780785444863","5.823616002155781","3.217780581074618","21.61194022660079",
Shiv Aum Steels Ltd,SHIVAUM,"Commodities Trading","453.165328",,"530.205328",,"-41.0509769920065",,"0.8071770296747534","6.806753889542422","0.5875072100804868","40.633213495947615","66.15552233576541"
S J Logistics (India) Ltd,SJLOGISTIC,"Logistics","452.676648",,"512.296648",,"-43.830848025181204",,"0.9002220304265686","6.806753889542422","0.5875072100804868","40.633213495947615","7.368983363177597"
JD Cables Ltd,JDCABLES,"Cables","451.36050668",,"493.41050668",,"100.92601716998121",,"1.8004009041882727","6.806753889542422","0.5875072100804868","40.633213495947615",
Maxvolt Energy Industries Ltd,MAXVOLT,"Batteries","450.6048246",,"432.1548246",,"130.24861303291482",,"1.5092099829185786","6.806753889542422","0.5875072100804868","40.633213495947615",
Globe International Carriers Ltd,GICL,"Logistics","450.50526211199997","49.34737924319835","475.215262112","45.32246097706237","106.69874898677826",,"2.8725706950966017","6.806753889542422","0.5875072100804868","40.633213495947615","45.87629960407343"
Digispice Technologies Ltd,DIGISPICE,"Telecom Equipments","449.950052414","54.14547360509091","148.90005241400002","38.788797621896556","-68.704841796788",,"0.9196542787352329","8.560593958157467","1.1816713015722953","31.760915159046945","23.731542848839588"
Neetu Yoshi Ltd,NEETUYOSHI,"Auto Parts","449.061782",,"462.261782","36.56854902280131","69.80846109773012",,"6.341784804406157","5.599852449734864","0.6843999547954118","24.52159967199169",
Sarveshwar Foods Ltd,SARVESHWAR,"Packaged Foods & Meats","448.31203471599997","56.045674232537316","751.012034716","30.41465635793758","-63.94629815109665",,"0.39266373078863465","8.190568262110702","1.6836677726443445","30.846384996929732","13.572874196669664"
Megamont Ltd,VRWODAR,"Wood Products","447.52358397",,"449.64358397",,,,,"3.3971619560814212","2.147340135276208","23.8500931581181","300.35139863758764"
Shah Metacorp Ltd,SHAH,"Iron & Steel","447.03148733",,"464.56148733",,"-13.435510580880408",,"2.191223407332974","3.3971619560814212","2.147340135276208","23.8500931581181","58.05603731558457"
Prakash Pipes Ltd,PPL,"Building Products - Pipes","447.01011790600006","14.934355072978587","216.10011790600004","6.096701007992364","-74.07831931128004","0.6763073644560942","0.5637020869191289","6.806753889542422","0.5875072100804868","40.633213495947615","11.155730419416022"
Veljan Denison Ltd,VELJAN,"Industrial Machinery","446.1975","45.65628507295173","406.79749999999996","23.01173285198556","-81.4819211651131","0.2513467349230406","2.8135285957500478","6.806753889542422","0.5875072100804868","40.633213495947615","17.79096889952153"
Nisus Finance Services Co Ltd,NISUS,"Specialized Finance","445.9235175",,"390.7935175",,"75.02067755599307",,"6.592600790952099","2.291066253952224","1.0648908826242334","15.782900266071515","7.127933463874675"
SRG Housing Finance Ltd,SRGHFL,"Consumer Finance","444.72212896999997",,"997.58212897",,"-51.51032408100484",,"2.227397220124211","2.291066253952224","1.0648908826242334","15.782900266071515","13.687969497383802"
Zodiac Energy Ltd,ZODIAC,"Renewable Energy Equipment & Services","444.1827753",,"600.8327753",,"-56.749081689795034","0.22593338869253216","1.0842453079307737","6.806753889542422","0.5875072100804868","40.633213495947615","22.298332093373507"
ICICI Prudential Silver ETF,SILVERIETF,"Silver","443.466746861",,"443.466746861",,,,,,"0",,
NDL Ventures Ltd,NDLVENTURE,"Real Estate","441.232921584",,"436.26292158399997",,"116.08437971218946","-0.5881647239059759","90.23168130552148","3.4004118686297864","0.9697276054688574","37.252414014016885","484.87134239999966"
Cybertech Systems and Software Ltd,CYBERTECH,"IT Services & Consulting","439.96867086899994","6.383053452740291","231.76867086899995","11.651712681912075","-66.25215256382067",,"1.6726938785271641","5.823616002155781","3.217780581074618","21.61194022660079","14.46789447119371"
Neptune Petrochemicals Ltd,NEPTUNE,"Building Products - Ceramics","439.4779","6.643792476830819","365.6079","7.7783699115044245","13.519965030784737",,"0.4581856188162682","6.806753889542422","0.5875072100804868","40.633213495947615",
Shree Rama Newsprint Ltd,RAMANEWS,"Paper Products","438.28795707200004","48.94525158909487","448.827957072","47.795851370992374","7.221893237063985",,"8.983151405451936","3.3971619560814212","2.147340135276208","23.8500931581181","-12.181432936964981"
S & S Power Switchgear Ltd,S&SPOWER,"Electrical Components & Equipments","438.125025",,"458.815025",,"-54.192277441122094",,"103.33137382075473","6.806753889542422","0.5875072100804868","40.633213495947615","54.49316231343289"
Kothari Products Ltd,KOTHARIPRO,"Commodities Trading","436.61574495","4.247889608553638","416.1657449499999","4.354834878815081","-94.60814926586386",,"0.4326226380012485","6.806753889542422","0.5875072100804868","40.633213495947615","9.442382027465401"
Sreeleathers Ltd,SREEL,"Footwear","436.40251116400003","17.5169651021536","431.09251116400003","16.00302571191786","-88.51737967107422",,"1.970659341449537","5.599852449734864","0.6843999547954118","24.52159967199169","17.900020966529922"
RMC Switchgears Ltd,RMC,"Electrical Components & Equipments","436.23759075","188.8434205252918","485.32759074999996","27.963948124999998","-55.10041635632262",,"1.365717834669088","6.806753889542422","0.5875072100804868","40.633213495947615",
Lehar Footwears Ltd,LEHAR,"Footwear","436.047577335","41.14846987832227","495.427577335","21.46960006573117","-52.85190489715117","-1.737346405332348","1.5430942647568833","5.599852449734864","0.6843999547954118","24.52159967199169","20.048164475172467"
HRS Aluglaze Ltd,HRS,"Building Products - Others","435.872435625",,"474.412435625","150.82091198096884","244.76660505166012",,"10.340983051601421","6.806753889542422","0.5875072100804868","40.633213495947615",
