Name,Ticker,"Sub-Sector","Market Cap","Additional Paid–in Capital","Investing Cash Flow","Net Change in Cash","Total Liabilities","Loans & Advances","Financing Cash Flow","Long Term Investments","Total Cash Dividend Paid","Reserves & Surplus","Capital Expenditure","Net Property,Plant & Equipment","Operating Cash Flow"
RSD Finance Ltd,RSDFIN,"Specialized Finance","104.52987952000001","0","4.78","-1.1399999999999997","43.13000000000004","0","-5.78","172.8","0.54","205.42","0","63.41000000000001","-0.14"
Par Drugs and Chemicals Ltd,PAR,"Pharmaceuticals","104.515578184","10.67","-25.24","-9.079999999999998","20.41000000000001",,"0","25.07","0","76","1.23","38.910000000000004","16.16"
Semac Construction Ltd,SEMAC,"Construction & Engineering","104.429818","0","-13.34","0.5700000000000003","142.20000000000002",,"16.6","0","0","70.76","0.35","20.980000000000004","-2.69"
Aban Offshore Ltd,ABAN,"Oil & Gas - Equipment & Services","104.415562847","1780.08","18.68","148.38","26934.99",,"-9.19","21.9","0","-27193.75","1.24","283.266","138.89"
Makers Laboratories Ltd,MAKERSL,"Pharmaceuticals","104.11213452","14.49","19.75","-0.16999999999999993","32.740000000000016",,"-15.84","0.14","0","50.12","3.94","73.7558","-4.08"
AG Ventures Ltd,AGVENTURES,"Asset Management","104.04680818","0","11.62","1.3500000000000014","31.059999999999953","0","-18.36","130.45","7.64","256.35","5.7","68.78999999999999","8.09"
James Warren Tea Ltd,JAMESWARREN,"Agro Products","104.007","0","-26.79","-2","22.21000000000003",,"0","16.85","0","184.09","2.42","26.11","24.79"
DB (International) Stock Brokers Ltd,DBSTOCKBRO,"Investment Banking & Brokerage","103.74","7.6","-0.7","-2.91","38.48","0","-2.37","0.62","0","57.419999999999995","0.71","4.6","0.16"
Ducon Infratechnologies Ltd,DUCON,"IT Services & Consulting","103.651262253","0","-0.35","-3.552713678800501e-15","134.16000000000005",,"28.56","5.13","0","135.03","0.35","3.509999999999998","-28.21"
Pharmaids Pharmaceuticals Ltd,PHARMAID,"Pharmaceuticals","103.51102822","0","-12.02","-2.6499999999999986","64.79999999999998",,"23.36","0","0","24.05","12.48","49.1783","-13.99"
Silverline Technologies Ltd,SILVERLINE,"IT Services & Consulting","103.068069568","0","0.1","0.45999999999999375","40.66999999999999",,"94.23","0","0","-34.04","0","58.39","-93.87"
Sarthak Metals Ltd,SMLT,"Electrical Components & Equipments","102.82371225","4.34","-5.67","-6.260000000000001","4.219999999999995",,"-0.4","0.35","0","102.17999999999999","7.17","19.729999999999997","-0.19"
ITL Industries Ltd,ITL,"Industrial Machinery","102.8099655","0","-3.48","4.440892098500626e-16","56.60000000000002",,"2.47","17.26","0.32","76.95","3.16","17.97","1.01"
Tahmar Enterprises Ltd,TAHMARENT,"Alcoholic Beverages","102.664951","0","-2.55","0.33999999999999986","37.879999999999995",,"20.89","0","0","62.01","0.05","81.39999999999999","-18"
Newtime Infrastructure Ltd,NEWINFRA,"Real Estate","102.54865511","9.56","-11.3","0.20999999999999908","31.30000000000002",,"0","15.24","0","-63.440000000000005","7.24","3.4345999999999997","11.51"
Aksh Optifibre Ltd,AKSHOPTFBR,"Communication & Networking","102.337023759","330.64","11.41","-2.2699999999999987","269.94000000000005",,"5.47","0","0","-400.38","2.81","110.94000000000001","-19.15"
Mega Nirman & Industries Ltd,MNIL,"Cement","102.333525","1.2","5.73","0.33000000000000085","0.9599999999999964",,"0.62","0","0","-0.07999999999999985","0.22","0.25","-6.02"
KVS Castings Ltd,KVSCASTING,"Auto Parts","102.2056158","2.38","-18.54","-2.96","13.310000000000006",,"5.05","0.34","0","18.290000000000003","6.62","14.25","10.53"
Munoth Capital Market Ltd,MUNCAPM,"Asset Management","102.2009","1.23","0.21","0.15","0.06999999999999978","0","0.01","0.1","0","0.06000000000000005","0","0.020000000000000018","-0.07"
B.A.G. Films and Media Ltd,BAGFILMS,"Movies & TV Serials","102.19730028","377.91","4.2","1.2800000000000002","180.09",,"-5.37","122.82","0","-260.22","0.59","19.24410000000002","2.45"
Nexome Capital Markets Ltd,NEXOME,"Investment Banking & Brokerage","102.0623985","44.95","-2.53","-1","8.800000000000047","0","7.76","116.41","0","99.93999999999998","4.03","5.03","-6.23"
Mayank Cattle Food Ltd,MCFL,"FMCG - Foods","102.06","17.31","-8.88","0.019999999999998685","40.47",,"-2.63","0","0","9.420000000000002","8.11","18.9161","11.53"
Clara Industries Ltd,CLARA,"Packaging","101.92142888","11.29","-4.69","-1.2900000000000005","2.119999999999993",,"-0.93","0","0.21","10.880000000000003","0.64","7.25","4.33"
Athena Global Technologies Ltd,ATHENAGLO,"IT Services & Consulting","101.892458488","48.08","-3.73","0.4299999999999988","162.13000000000005",,"-5.45","0","0","116.61999999999999","7.83","321.98","9.61"
Parvati Sweetners and Power Ltd,PARVATI,"Sugar","101.865227011","15.67","3.93","3.0199999999999996","38.25",,"-25.55","0","0","11.62","0","46.25000000000001","24.64"
Kaytex Fabrics Ltd,KAYTEX,"Textiles","101.571472","0","-10.65","0.6100000000000003","75.19000000000003",,"-1.71","0.72","0","38.57","10.44","28.37","12.97"
Yajur Fibres Ltd,YAJUR,"Textiles","101.39244231","0","-16.54","-0.1600000000000037","91.06000000000002",,"41.76","0.62","0","33.44","16.29","59.45050000000001","-25.38"
Standard Industries Ltd,SIL,"Textiles","101.38241101599999","25.27","15.4","-2.650000000000002","30.66",,"-18.67","19.91","6.71","62.03","1.86","23.972300000000004","0.62"
Sancode Technologies Ltd,SANCODE,"Software Services","101.3147883","5.73","0.87","-0.5599999999999996","2.77",,"1.08","1.21","0","-4.260000000000001","0.01","0.16469999999999999","-2.51"
Grob Tea Co Ltd,GROBTEA,"Tea & Coffee","101.2970595","1.79","-23.53","0.17999999999999883","36.22999999999999",,"7.71","3.44","0.23","84.80999999999999","6.97","51.30999999999999","16"
Bajaj Finserv Nifty Bank ETF,BANKBETF,"Equity","101.06620524",,,,,,,,,,,,
Inventure Growth & Securities Ltd,INVENTURE,"Investment Banking & Brokerage","100.8","36.05","-19.8","1.009999999999998","99.93","138.19","55.02","5.63","0","131.62","19.55","26.56","-34.21"
Rapicut Carbides Ltd,RAPICUT,"Industrial Machinery","100.6571313","1.27","-0.7","0.010000000000000675","12.229999999999997",,"4.61","0.18","0","12.940000000000001","1.06","4.879999999999999","-3.9"
Kabra Jewels Ltd,KKJEWELS,"Precious Metals, Jewellery & Watches","100.656","34.64","-2.85","11.399999999999999","109.03999999999998",,"32.89","0","0","35.11","2.94","13.45","-18.64"
Womancart Ltd,WOMANCART,"Retail - Online","100.51881","50.23","-24.7","6.390000000000001","22.200000000000003",,"57.61","0.06","0","10.25","13.56","14.839999999999998","-26.52"
Fortis Malar Hospitals Ltd,FORTISMLR,"Hospitals & Diagnostic Centres","100.512053517","9.57","-29.1","-107.21000000000001","6.62",,"-79.65","0","79.65","1.879999999999999","0","0","1.54"
Alstone Textiles (India) Ltd,ALSTONE,"Textiles","100.3968","0","-1423.64","-0.020000000000209184","1425.89",,"1422","0","0","28.43","0","0","1.62"
Surat Trade and Mercantile Ltd,SURATRAML,"Commodities Trading","100.37312688","0","9.25","0.10999999999999938","4.08999999999998",,"-0.42","77.81","0","194.62","1.62","14.52","-8.72"
Holmarc Opto-Mechatronics Ltd,HOLMARC,"Industrial Machinery","100.24875","6.17","-2.18","0.53","4.78",,"-0.41","0.03","0.4","10.950000000000001","2.42","7.45","3.12"
On Door Concepts Ltd,ONDOOR,"Retail - Online","100.23461994","173.59","-8.55","-4.000000000000001","30.18",,"-0.41","0","0","-79.42","4.13","46.989999999999995","4.96"
Mobilise App Lab Ltd,MOBILISE,"Software Services","100.06624","0","-3.46","0.3899999999999999","3.68",,"-0.28","0","0","6.26","3.08","4.58","4.13"
MRP Agro Ltd,MRP,"Agro Products","100.04107962","12.51","-2.49","4.6","2.229999999999998",,"10.85","0","0","8.950000000000001","0.46","10.18","-3.76"
Samrat Forgings Ltd,SAMRATFORG,"Metals - Diversified","100","0","-21.23","-0.31000000000000005","143.34",,"1.19","0","0","31.83","23.86","88.98","19.73"
Gautam Exim Ltd,GEL,"Paper Products","99.76278","2.49","0.47","-1.0399999999999991","0.7599999999999982",,"-9.89","0","0","7.74","0","0","8.38"
Chetana Education Ltd,CHETANA,"Education Services","99.756","35.06","-1.48","-3.5","38.64",,"8.59","0","0","23.58","1.72","3.3599999999999994","-10.61"
Sattva Engineering Construction Ltd,SATTVAENGG,"Water Management","99.5711112","10.09","-0.05","1.75","71.38",,"7.43","0.43","0","20.580000000000002","0.67","4.1","-5.63"
Akar Auto Industries Ltd,AAIL,"Auto Parts","99.29284403999999","3.51","-8.44","0.46999999999999886","185.17000000000004",,"-16.93","0.06","0.65","41.29","8.73","59.320000000000014","25.84"
Texel Industries Ltd,TEXELIN,"Agricultural & Farm Machinery","98.92094706","24.8","-7.11","0.10999999999999943","63.239999999999995",,"9.6","0","0","-0.5100000000000016","6.17","46.019999999999996","-2.38"
Tomorrow Technologies Global Innovations Ltd,TTGIL,"Investment Banking & Brokerage","98.73187","5","4.93","-2.29","0.030000000000000214","0","0","11.86","0","-1.17","0","0","-7.22"
Asit C Mehta Financial Services Ltd,ASITCFIN,"Diversified Financials","98.70476364","43.01","-0.44","7.91","170.72",,"14.72","17.16","0","-25.72","1.09","65.42060000000001","-6.37"
Curis Lifesciences Ltd,CURIS,"Pharmaceuticals","98.6300948","4.21","-0.02","-0.1100000000000001","26.32",,"1.67","0.01","0","6.079999999999999","0.09","11.009999999999998","-1.76"
Sal Automotive Ltd,SALAUTO,"Auto Parts","98.61793569","0","-5.96","-3.2300000000000004","80.26000000000002",,"-6.79","0","1.08","40.63","6.59","36.7197","9.52"
Nath Industries Ltd,NATHIND,"Paper Products","98.61","77.1","3.91","-6.16","197.83",,"-24.02","0","0","157.44","1.56","280.9","13.95"
Drone Destination Ltd,DRONE,"Education Services","98.332","34.58","-9.83","-3.9400000000000013","19.749999999999993",,"16.02","0","0","0.35999999999999943","10.59","18.040000000000003","-10.13"
KG Petrochem Ltd,KGPETRO,"Textiles","98.1548","0","-9.67","0.490000000000002","192.18999999999988",,"-17.03","0","0","176.31","10.47","141.28999999999996","27.19"
ICICI Prudential BSE 500 ETF,BSE500IETF,"Equity","98.03162408",,,,,,,,,,,,
Bhudevi Infra Projects Ltd,BHUDEVI,"Real Estate","97.91139272999999","0","0.52","0.05000000000000071","11.12",,"6.15","0","0","-4.04","0","0.019999999999999997","-6.62"
Ai Champdany Industries Ltd,AICHAMP,"Textiles","97.889444073","37.55","1.56","-0.030000000000001137","232.95999999999998",,"21.52","0.5","0","-82.58","2.13","60.24000000000001","-23.11"
Sel Manufacturing Company Ltd,SELMC,"Textiles","97.747365","519.38","2.29","-0.4099999999999966","1157.56",,"-69.7","0.06","0","-761.62","0","925.72","67"
Srivari Spices and Foods Ltd,SSFL,"FMCG - Foods","97.616856","29.24","-17.67","0.06999999999999673","24.14999999999999",,"20.2","0","0","20.77","17.71","21.619999999999997","-2.46"
Beardsell Ltd,BEARDSELL,"Building Products - Prefab Structures","97.567138","16.55","-9.57","2.74","93.50999999999999",,"-6.9","1.28","0.39","56.730000000000004","9.64","65.3788","19.21"
Palash Securities Ltd,PALASHSECU,"Diversified Financials","97.33018246","0","-3.13","7.960000000000001","86.3","0","15.96","608.94","0","577.07","0.52","47.44","-4.87"
Sellowrap Industries Ltd,SELLOWRAP,"Packaging","97.3090776","4.31","-28.32","-0.010000000000000675","89.48999999999998",,"6.95","18.15","0","39.12","26.63","53.809999999999995","21.36"
Pacific Industries Ltd,PACIFICI,"Mining - Diversified","97.186365","66.93","-15.87","1.5500000000000025","146.54000000000002",,"16.96","125.56","0","367.81","6.09","106.94","0.46"
Denis Chem Lab Ltd,DENISCHEM,"Pharmaceuticals","97.136676","31.71","-8.23","-0.35000000000000053","27.14999999999999",,"-4.21","0","3.47","39.52","7.63","38.89000000000001","12.09"
Indus Finance Ltd,INDUSFINL,"Consumer Finance","97.0732755","0","-4.36","-0.09000000000000075","20.56","26.98","-5.59","9.34","0","13.79","0","0.14999999999999997","9.86"
HDFC Silver ETF,HDFCSILVER,"Silver","96.9967999",,,,,,,,,,,,
Deepak Chemtex Ltd,DEEPAKCHEM,"Specialty Chemicals","96.6896","11","-16.44","-20.520000000000003","15.209999999999996",,"-0.6","0","0","33.29","8.16","13.53","-3.48"
Mirae Asset Nifty Financial Services ETF,BFSI,"Equity","96.61311598500001",,,,,,,,,,,,
Invicta Diagnostic Ltd,INVICTA,"Hospitals & Diagnostic Centres","96.55275264","0","-5.23","0.8199999999999994","5.399999999999999",,"-0.42","4.33","0","8.41","0.55","9.62","6.47"
Archit Organosys Ltd,ARCHITORG,"Commodity Chemicals","96.467918823","18.55","-20.85","-3.7600000000000016","53.70000000000001",,"-1.43","6.34","0","30.139999999999997","0.5","54.78","18.52"
Sadbhav Infrastructure Projects Ltd,SADBHIN,"Roads","96.157483968","903.93","-299.04","-8.28000000000003","5807.220000000001",,"-315.27","40.97","0","-1854.78","0","87.72","606.03"
Jet Freight Logistics Ltd,JETFREIGHT,"Logistics","96.009429096","26.1","1.24","0.19999999999999996","113.04",,"1.4","0","0","15.149999999999999","2.63","26.560000000000002","-2.44"
GEM Enviro Management Ltd,GEMENVIRO,"Environmental Services","95.9068512","9.15","-8.79","-8.819999999999997","9.880000000000006",,"8.8","0.7","1.09","28.509999999999998","0.88","1.08","-8.83"
Kovilpatti Lakshmi Roller Flour Mills Ltd,KLRFM,"Packaged Foods & Meats","95.8396456","20.9","-9.28","0.08999999999999986","101.00000000000001",,"-31.8","0","1.13","36.63","9.62","83.13","41.17"
Indian Emulsifiers Ltd,IEML,"Specialty Chemicals","95.69941883999999","43.72","-23.81","-0.00999999999999801","35.38000000000001",,"40.35","0","0","26.090000000000003","22.62","40.370000000000005","-16.55"
Vippy Spinpro Ltd,VIPPYSP,"Textiles","95.681","0","-1.73","0.010000000000001563","43.389999999999986",,"-27.56","0.56","0","81.55","2.83","54.07999999999999","29.3"
Kakatiya Cement Sugar and Industries Ltd,KAKATCEM,"Cement","95.6184534","13.92","105.98","37.18000000000001","46.14",,"-83.17","0.02","2.33","187.34","0.65","45.33","14.37"
Motor and General Finance Ltd,MOTOGENFIN,"Real Estate","95.50125054","8.88","0.35","0.019999999999999796","97.19",,"-1.28","4.23","0","47.47","0.01","50.78","0.95"
Viaz Tyres Ltd,VIAZ,"Tires & Rubber","95.28462","16.78","-0.58","-2.64","22.079999999999988",,"0.59","0","0","7.779999999999998","0.28","11.26","-2.65"
Aarnav Fashions Ltd,AARNAV,"Textiles","95.24810614","115.63","-2.92","-0.020000000000003126","191.47999999999993",,"-22.14","0","2.11","28.610000000000014","2.24","119.7721","25.04"
Mirae Asset Silver ETF,SILVERAG,"Silver","95.191967013",,,,,,,,,,,,
NIS Management Ltd,NISMGMT,"Business Support Services","95.0404512","5.06","-5.84","-6.639999999999999","103.11000000000006",,"-15.68","1.17","0","132.07999999999998","6.67","21.768700000000003","14.88"
Vels Film International Ltd,VELS,"Movies & TV Serials","94.8738","30.33","67.23","17.420000000000016","140.73999999999998",,"-81.94","19.9","0","17.340000000000003","0","0.21000000000000002","32.13"
Leo Dryfruits & Spices Trading Ltd,VANDU,"IT Services & Consulting","94.824632","26.94","-0.58","0.1700000000000017","53.769999999999996",,"31.63","0","0","18.84","0.59","4.1","-30.88"
Manoj Ceramic Ltd,MCPL,"Building Products - Others","94.71602","71.17","-7.71","9.689999999999998","83.98999999999998",,"57.71","0","0","20.39","4.66","5.06","-40.31"
Prithvi Exchange (India) Ltd,PRITHVIEXCH,"Investment Banking & Brokerage","94.705982","0","-1.9","-2.13","19.81","0","1.19","8.67","1.24","41.55","0.68","2.9499999999999997","-1.42"
Panyam Cements And Mineral Industrties Ltd,PANCM,"Cement","94.6525318","15.71","3.81","-0.040000000000000036","440.98",,"7.04","0.07","0","-251.04000000000002","2.46","148.39000000000001","-10.89"
Smarten Power Systems Ltd,SMARTEN,"Renewable Energy Equipment & Services","94.52898","0","-5.8","0.8000000000000007","58.7",,"9.11","0","0","23.54","3.83","9.14","-2.51"
Sakthi Finance Ltd,SAKTHIFIN,"Consumer Finance","94.5","14.3","-14.22","-49.040000000000006","1138.1","1180.8","-56.88","23.06","5.18","150.48999999999998","5.75","70.82000000000001","22.06"
Hindustan Appliances Ltd,HINDAPL,"Textiles","94.44492","0","0.62","0.14","36.13",,"0","0.1","0","4.61","0","2.4","-0.48"
Goyal Aluminiums Ltd,GOYALALUM,"Iron & Steel","94.34636757999999","0","0.23","1.0099999999999998","2.1299999999999977",,"-1.73","3.51","0","8.01","0.03","0.28","2.51"
Rukmani Devi Garg Agro Impex Ltd,RDGAIL,"Agro Products","94.0856","7.53","-0.36","-0.03999999999999915","78.36999999999999",,"19.96","0.08","0","18.4","0.41","6.03","-19.64"
Kundan Edifice Ltd,KEL,"Electrical Components & Equipments","93.9888","18.6","-14.62","-2.26","40.73000000000001",,"7.18","0","0","11.479999999999997","12.13","24.669999999999998","5.18"
Droneacharya Aerial Innovations Ltd,DRONACHRYA,"Oil & Gas - Equipment & Services","93.9873348","37.66","4.51","-0.75","9.479999999999997",,"1.88","4.74","0","-3.6599999999999966","11.28","16.4077","-7.14"
Sodhani Academy of Fintech Enablers Ltd,SAFE,"Education Services","93.9675","2.54","-6.8","0.48","0.27000000000000024",,"3.51","11.85","0","5.69","0.46","1.1099999999999999","3.77"
Sunrise Efficient Marketing Ltd,SEML,"Business Support Services","93.96064","12.06","0.63","0.08000000000000007","9.000000000000005",,"9","0","0","23","0.15","1.01","-9.55"
DIGJAM Ltd,DIGJAMLMTD,"Textiles","93.88","0","7.39","-3.880000000000001","48.4",,"7.49","0","0","-14.6","0.23","0.22000000000000003","-18.76"
Landmark Property Development Co Ltd,LPDC,"Real Estate","93.76606884","0","0.33","-0.03999999999999998","0.4200000000000122",,"0","0","0","26.55","0","0.009999999999999998","-0.37"
Prime Industries Ltd,PRIMIND,"Real Estate","93.675164","4.28","0","3.8100000000000023","20.45","0","22.69","2.46","0","14.14","0","0","-18.88"
Silicon Rental Solutions Ltd,SRSOLTD,"IT Services & Consulting","93.63744","42.11","-40.02","23.159999999999997","14.859999999999992",,"23.35","0","1.03","44.55","42.97","57.79999999999998","39.83"
Gujarat State Financial Corp,GUJSTATFIN,"Specialized Finance","93.302358","18.9","14.19","0.5199999999999996","3280.61","0","0","206.42","0","-3173.21","0","1.9600000000000009","-13.67"
Standard Capital Markets Ltd,STANCAP,"Consumer Finance","93.27395032000001","47.13","-368.73","23.860000000000127","697.8699999999998","1315.67","1053.65","376.54","1.5","38.73","18.55","21.7802","-661.06"
Barak Valley Cements Ltd,BVCL,"Cement","93.27144","15.14","2.29","-0.05999999999999872","93.66999999999999",,"-14","0.22","0","88.12","2.51","131.71999999999997","11.65"
Ultracab (India) Ltd,ULTRACAB,"Cables","93.20212913200001","34.42","-5.26","2.7500000000000018","62.03999999999997",,"11.72","0","0","28.25","5.44","11.699700000000002","-3.71"
J A Finance Ltd,JAFINANCE,"Specialized Finance","93.17641375","0","2.53","-2.0300000000000002","4.150000000000003","21.91","-3.45","0.9","0","9.4","0","0.01","-1.11"
Readymix Construction Machinery Ltd,READYMIX,"Construction & Engineering","93.14725","29.96","-11.01","3.200000000000003","23.590000000000014",,"27.6","0","0","20.199999999999996","1.86","2.0074857","-13.39"
Confidence Futuristic Energetech Ltd,CFEL,"Oil & Gas - Storage & Transportation","92.89926","161.55","-26.26","2.8599999999999994","163.12",,"92.85","0","0.94","-11.100000000000023","0","115.5188","-63.73"
G M Polyplast Ltd,GMPL,"Specialty Chemicals","92.87124","4.81","-0.84","-1.2999999999999998","9.420000000000005",,"-0.85","0","0","20.93","0.84","5.66","0.39"
Jyoti Global Plast Ltd,JYOTIGLOBL,"Plastic Products","92.8567","0","-3.62","-1.919999999999999","35.47",,"-6.35","0.92","0","5.84","4.06","20.5","8.05"
Rachit Prints Ltd,RACHIT,"Textiles","92.81748","2","-4.85","0.3700000000000001","13.770000000000003",,"4.76","0","0","6.68","4.97","9.77","0.46"
WeP Solutions Ltd,WEPSOLN,"IT Services & Consulting","92.708590296","15.62","-15.37","-10.059999999999999","40.68",,"-1.12","0","1.83","10.480000000000002","16.79","37.11","6.43"
Raama Finance Ltd,RLFL,"Diversified Financials","92.687004","0","0.7","0.019999999999999962","0.7499999999999996","6.17","-0.25","0","0","0.5","0","0","-0.43"
Ideal Technoplast Industries Ltd,IDEALTECHO,"Packaging","92.625","0","-15.8","-0.08000000000000007","14.679999999999998",,"15.34","0","0","18.73","16.16","23.42","0.38"
Paragon Fine & Speciality Chemical Ltd,PARAGON,"Specialty Chemicals","92.54718","41.73","-1.98","-13.11","14.560000000000004",,"-5.46","0","0","28.1","8.79","19.130000000000003","-5.67"
Shetron Ltd,SHETR,"Packaging","92.4188745","21.11","-7.05","-0.060000000000002274","92.82",,"-14.89","0.16","0.9","28.509999999999998","7.05","46.000000000000014","21.88"
Kohinoor Foods Ltd,KOHINOOR,"Packaged Foods & Meats","92.3081097","157.57","1.92","0.7100000000000364","372.97",,"-440.07","0","0","-358.18","0","154.05","438.86"
Gujarat Cotex Ltd,GUJCOTEX,"Textiles","92.180177011","0","-2.26","0.2400000000000002","24.220000000000002",,"1.23","1.21","0","-0.26","0","4.7","1.27"
Housing Development and Infrastructure Ltd,HDIL,"Real Estate","91.95677328400001","5209.63","0.28","-1.6999999999999997","6247.87",,"0.05","489.36","0","-7968.24","0","204.39999999999998","-2.03"
Cinevista Ltd,CINEVISTA,"Movies & TV Serials","91.840923525","75.08","-0.46","-0.6600000000000001","95.07999999999998",,"-2.74","0","0","-36.339999999999996","0.38","24.339999999999996","2.54"
Zeal Global Services Ltd,ZEAL,"Logistics","91.837275","29.87","-17.22","0.6700000000000017","61.46999999999999",,"3.42","3","0","37.92","4.57","12.9223","14.47"
Mangalam Alloys Ltd,MAL,"Iron & Steel","91.83164844","44.66","-1.25","0.7599999999999999","316.9699999999999",,"0.88","0.47","0","73.82000000000001","3.8","66.2123","1.13"
Globalspace Technologies Ltd,GSTL,"IT Services & Consulting","91.76737401","21.69","-4.19","0.27999999999999936","13.569999999999991",,"-3.42","1.01","0","-1.8000000000000007","4.19","23.393700000000003","7.89"
Naturite Agro Products Ltd,NAPL,"Packaged Foods & Meats","91.64728","0.15","0","-0.08999999999999986","16.849999999999998",,"10.6","0","0","5.17","0","10.31","-10.69"
Reliance Chemotex Industries Ltd,RELCHEMQ,"Textiles","91.533593442","25.62","32.88","0.3100000000000023","337.07",,"-43.38","0","0.75","104.1","9.01","312.73","10.81"
BITS Ltd,BITS,"Education Services","91.29","24.88","-6.68","-0.1299999999999999","0.590000000000002",,"0","5.4","0","-27.02","5.03","7.539999999999999","6.55"
Mercury Laboratories Ltd,MERCURYLAB,"Pharmaceuticals","91.224","0.36","-9.04","-6.029999999999999","20.66999999999999",,"-0.99","0.01","0.42","52.01","9.04","33.96","4"
Banka BioLoo Ltd,BANKA,"Business Support Services","91.2023072","8.68","-6.02","-0.0699999999999994","50.57",,"5.08","0.04","0","11.96","4.48","23.490000000000002","0.87"
Aakash Exploration Services Ltd,AAKASH,"Oil & Gas - Equipment & Services","91.125","13.98","-4.42","-0.41999999999999993","36.059999999999995",,"-4.23","0","0","36.260000000000005","9.09","61.36000000000001","8.23"
Chrome Silicon Ltd,CHROME,"Metals - Diversified","90.9230651","53.92","-21.65","-0.35999999999999943","210.95000000000002",,"16.43","14.11","0","-45.29","0.17","133.07","4.86"
Prerna Infrabuild Ltd,PRERINFRA,"Real Estate","90.86073795","34.02","-38.03","-4.269999999999998","30.46999999999999",,"-10.19","4.31","0","32.32999999999999","0.02","26.32","43.95"
Chowgule Steamships Ltd,CHOWGULSTM,"Logistics","90.807370925","29.22","4.26","0","8.839999999999995",,"0","0","0","-21.009999999999998","0.44","7.749999999999999","-4.26"
Amrapali Industries Ltd,AMRAPLIN,"Commodities Trading","90.791056024","0","10.45","-0.7100000000000009","87.13",,"-4.83","0.21","0","7.31","0","17.874499999999998","-6.33"
Deep Polymers Ltd,DEEP,"Specialty Chemicals","90.69918","28.88","-22.04","-5.989999999999998","46.09999999999997",,"-3.86","2.98","0","37.36","24.75","64.03999999999999","19.91"
Slone Infosystems Ltd,SLONE,"Technology Hardware","90.6270236","14.03","-7.16","4.659999999999998","18.730000000000015",,"20.33","0","0","11.540000000000001","7.17","7.72","-8.51"
FYNX Capital Ltd,FYNX,"Consumer Finance","90.6","0","2.67","15.94","0.5199999999999985","1.26","16","1.22","0","-0.83","0.52","0.52","-2.73"
APM Industries Ltd,APMIN,"Textiles","90.5515984","2.43","0.49","-0.1700000000000017","54.21999999999997",,"-25.38","0","1.1","162.56","1.53","165.23999999999998","24.72"
Valplast Technologies Ltd,VALPLAST,"Construction & Engineering","90.543701059","0.87","-10.59","-0.03999999999999915","45.28",,"9.56","0","0","15.040000000000001","10.69","10.190000000000001","0.99"
CURA Technologies Ltd,CURAA,"Software Services","90.288","0","-17.63","-0.6699999999999982","11.749999999999996",,"11.47","0","0","-2.03","17.63","1.7772999999999985","5.49"
Mirae Asset Nifty 8-13 yr G-Sec ETF,GSEC10YEAR,"Debt","90.210931402",,,,,,,,,,,,
Chatterbox Technologies Ltd,CHTR,"Advertising","90.1384374","0","-1.58","1.48","14.209999999999994",,"0","0","0","15.22","4.42","9.0821","3.06"
Ganga Papers India Ltd,GANGAPA,"Paper Products","90.054831442","2.98","-6.71","-2.61","55.010000000000005",,"-3.44","0.02","0","16.89","6.76","24.739999999999995","7.54"
KCK Industries Ltd,KCK,"Textiles","89.9964055","10.22","5.28","5.32","19.069999999999997",,"-15.73","0.1","0","5.049999999999999","0.21","7.239999999999999","15.77"
Navkar Urbanstructure Ltd,NAVKARURB,"Construction & Engineering","89.76723376","53.95","1.77","-5.09","55.37999999999999",,"-7.85","5.4","0.22","58.59","0.67","62.220000000000006","0.99"
Cenlub Industries Ltd,CENLUB,"Industrial Machinery","89.62091878","0.13","-5.91","-1.14","25.629999999999995",,"0.24","0","0","59.849999999999994","0.72","23.47","4.53"
Radhe Developers (India) Ltd,RADHEDE,"Real Estate","89.46769102","6.55","-0.09","-0.8799999999999999","80.59000000000002",,"0.04","0","0","1.6100000000000003","0.09","2.76","-0.83"
Aakaar Medical Technologies Ltd,AAKAAR,"Health Care Equipment & Supplies","89.35960487999999","3.89","-0.05","5.250000000000001","30.909999999999993",,"10.71","0","0","8.889999999999999","0.08","0.2306","-5.41"
B & A Packaging India Ltd,BAPACK,"Paper Products","88.79295","0","0.63","5.67","21.419999999999987",,"-1.32","0","0.99","77.7","7.06","31.3128","6.36"
Jagsonpal Services Ltd,JAGSONSER,"Investment Banking & Brokerage","88.7695304","0","-0.01","15.010000000000002","0.85",,"15.88","0","0","-2.07","0.01","0.01","-0.86"
Lykis Ltd,LYKISLTD,"FMCG - Personal Products","88.7382099","11.71","-5.09","0.37000000000000455","56.80000000000001",,"-51.42","0.04","0","2.4299999999999997","0.07","2.7403","56.88"
Cravatex Ltd,CRAVATEX,"Commodities Trading","88.701292","0","-0.64","1.57","34.29000000000002",,"-0.78","0","0.78","103.84","1.78","8.99","2.99"
Marvel Decor Ltd,MDL,"Home Furnishing","88.7007","26.66","-4.17","0.75","27.51000000000001",,"9.48","0","0","18.209999999999997","3.89","16.158800000000003","-4.56"
Maxposure Ltd,MAXPOSURE,"Advertising","88.689705","39.32","-4.04","-4.600000000000001","27.219999999999988",,"16.56","26.48","0","13.39","1.34","3.814300000000001","-17.12"
Piccadily Sugar and Allied Industries Ltd,PICCASUG,"Alcoholic Beverages","88.506729762","0","-25.65","0.1600000000000028","83.75999999999999",,"6.12","0","0","-11.98","25.69","77.31","19.69"
