Name,Ticker,"Sub-Sector","Market Cap","Additional Paid–in Capital","Investing Cash Flow","Net Change in Cash","Total Liabilities","Loans & Advances","Financing Cash Flow","Long Term Investments","Total Cash Dividend Paid","Reserves & Surplus","Capital Expenditure","Net Property,Plant & Equipment","Operating Cash Flow"
Tata Motors Passenger Vehicles Ltd,TMPV,"Four Wheelers","133027.987495","14363","-49982","-5666","254219",,"-18786","8457","2492","96058","38042","149475","63102"
Muthoot Finance Ltd,MUTHOOTFIN,"Consumer Finance","132857.96276268","1510.66","-1374.65","2141.9300000000003","102841.50000000003","120566.57","30041.47","2400.72","964.81","27454.5","217","664.694","-26524.89"
Tata Power Company Ltd,TATAPOWER,"Power Transmission & Distribution","132127.29026845","3107.54","-15436.29","1536.29","113587.25999999998",,"4292.39","15013.97","964.5","32413.57","17272.84","89255.51000000001","12680.19"
Siemens Ltd,SIEMENS,"Conglomerates","131636.3834682","156.7","-502","644.2","9933.2",,"-523.3","1.4","356.8","15128.8","342.3","1837.6000000000001","1669.5"
HDFC Life Insurance Company Ltd,HDFCLIFE,"Insurance","130536.99476802","3895.51","-13632.54","3571.989999999999","333256.95999999996","0","1607.47","334755.68","0","10105.48","300.72","2251.73","15597.06"
Vedanta Ltd,VEDL,"Metals - Diversified","130322.7578055","27424","-19158","1181","146187",,"-19223","1623","21191","13397","17005","133739","39562"
Cholamandalam Investment and Finance Company Ltd,CHOLAFIN,"Consumer Finance","129459.55326788999","4963.91","-2948.12","4434.009999999995","178218.07000000004","182037.64","39795.28","6367.41","168.11","18534.55","199.53","1790.7600000000002","-32413.15"
Britannia Industries Ltd,BRITANNIA,"FMCG - Foods","128732.0607972","244.98","87","-194.21000000000004","4455.429999999999",,"-2761.86","1753.79","1767.54","4086.65","374.85","2858.64","2480.65"
Bharat Petroleum Corporation Ltd,BPCL,"Oil & Gas - Refining & Marketing","127443.59871","4543.3","-19179.99","-1742.8100000000004","136998.13999999998",,"-6240.61","22867.45","6560.92","72609.62999999999","15143.12","113685.44999999998","23677.79"
Indian Railway Finance Corp Ltd,IRFC,"Specialized Finance","126934.398778","1900.87","-0.1","5657.5199999999995","436166.9099999999","5171.59","-2571.95","38.18","3005.76","37698.39","0.82","21.29","8229.57"
Tata Capital Ltd,TATACAP,"Consumer Finance","126753.78394476001","5074.29","3167.12","2707.040000000001","214094.37","221950.37","29412.4","9866.39","77.77","18384.32","1022.24","2019.1200000000003","-29872.48"
Jindal Steel Ltd,JINDALSTEL,"Iron & Steel","124448.96914407","1960.24","-12322.78","-689.4100000000016","38346.32000000001",,"809.41","495.61","199.87","45123.46","10607.09","64146.409999999996","10823.96"
Siemens Energy India Ltd,ENRIN,"Power Generation","123203.4499098","0","-3482.6","132.2","5163.9",,"-55.3","0","0","4310.1","216","611.7999999999998","3670.1"
LTM Ltd,LTM,"IT Services & Consulting","122876.9126031","662.1","-1603.6","268.8000000000002","13040.799999999994",,"-2926.4","532.2","1991.1","23333.300000000003","930.6","5255.5","4798.8"
Union Bank of India Ltd,UNIONBANK,"Public Banks","121374.3291513","25728.27","-1891.35","12037.900000000001","1400525.9199999997","956728.68","-3550.15","361903.36","2748.1","80368.2","1669.16","9824.09","17479.4"
GE Vernova T&D India Ltd,GVT&D,"Heavy Electrical Equipments","119814.4155879","271.76","-495.28","339.25000000000006","2887.9700000000003",,"-69.05","0","0","1450.14","87.37","426.5899999999999","903.58"
Tata Consumer Products Ltd,TATACONSUM,"Tea & Coffee","119608.76216232","9986.29","-1311.39","35.06999999999971","11089.879999999994",,"-1075.39","574.42","820.3","11702.279999999999","448.57","3646.579999999998","2421.85"
Punjab National Bank,PNB,"Public Banks","117480.86608549599","50929.71","-1577.63","19359.39","1725626.62","1086273.14","-1138.26","524840.31","1651.65","79909.66","1601.41","13083.3","22075.28"
Billionbrains Garage Ventures Ltd,GROWW,"Investment Banking & Brokerage","116711.2249797","2891.83","139.73","53.23000000000002","5220.389999999998","635.42","875.66","381.26","0","1553.8000000000002","16.49","39.58099999999996","-962.16"
Bajaj Holdings and Investment Ltd,BAJAJHLDNG,"Asset Management","116502.046268","444.42","3054.46","43.13000000000011","2596.5299999999997","0","-1054.57","73808.32","1020.42","62131.840000000004","0.78","203.01","-1956.76"
Apollo Hospitals Enterprise Ltd,APOLLOHOSP,"Hospitals & Diagnostic Centres","116156.43515745","2863.7","-3380.6","72.60000000000014","9546.300000000003",,"1316.8","1054.5","278.4","5276.7","1712.7","10878.7","2136.4"
Canara Bank Ltd,CANBK,"Public Banks","115795.93398516001","13983.85","-2437.17","54725.420000000006","1624084.79","1049332.06","-3505.99","426188.44","2920.75","89618.78","0","10301.59","60668.58"
HDFC Asset Management Company Ltd,HDFCAMC,"Asset Management","115056.59313606001","698.74","-597.93","1.8000000000004093","620.6700000000001","0","-1475.07","8254.84","1495.05","7324.34","44.79","192.62000000000003","2074.8"
Cipla Ltd,CIPLA,"Pharmaceuticals","113051.6864127","1692.6","-3681.88","30.30999999999949","6044.26",,"-1292.79","639.54","1049.83","29339.33","1548.2","7676.46","5004.98"
Indus Towers Ltd,INDUSTOWER,"Telecom Infrastructure","112832.16576414","2134.3","-10910.5","86.60000000000036","30669.59999999999",,"-8647.9","0","0","27725.9","6784","44947.09999999999","19645"
Dr Reddy's Laboratories Ltd,DRREDDY,"Pharmaceuticals","110073.47550505","855.3","-5785.3","748.5999999999999","14095.4",,"1891.1","720.4","666.2","32610.899999999998","3439.8","19378.099999999995","4642.8"
Indian Bank,INDIANB,"Public Banks","109131.02174062","6290.02","-348.4","12784.49","806736.97","571071.18","-4263.51","228420.86","1616.36","63875.92999999999","539.94","8857.33","17396.4"
Marico Ltd,MARICO,"FMCG - Personal Products","108646.582831425","608","-621","93","4015",,"-649","215","500","3237","161","1032","1363"
Bosch Ltd,BOSCHLTD,"Auto Parts","108625.07612","0.8","-1954.8","-110.49999999999989","6427.8",,"-529.1","6290.2","501.7","13783","315.4","2018.3999999999996","2373.4"
Ambuja Cements Ltd,AMBUJACEM,"Cement","106909.25942765","32375.75","-7528.68","300.71000000000004","17129.620000000014",,"5592.04","89.35","562.98","20574.879999999997","8687.05","40872.18000000001","2237.35"
Mankind Pharma Ltd,MANKIND,"Pharmaceuticals","106691.608188","3007.54","-12624.07","21.8700000000008","13083.460000000001",,"10232.56","351.09","0","11283.59","530.76","4450.489999999998","2413.38"
Zydus Lifesciences Ltd,ZYDUSLIFE,"Pharmaceuticals","104733.86484915","0","-8377.1","413.7999999999995","10330.7",,"2014.2","1556.7","302.5","23852.5","1712.6","8884.3","6776.7"
Max Healthcare Institute Ltd,MAXHEALTH,"Hospitals & Diagnostic Centres","104691.83438273","5184.15","-1614.11","-318.59999999999997","5805.570000000001",,"-163.8","2.89","145.58","3224.58","965.53","8426.039999999999","1459.31"
Godrej Consumer Products Ltd,GODREJCP,"FMCG - Personal Products","104667.68819049001","1463.79","-343.12","52.14000000000033","7293.58",,"-2181.49","541.85","2557.28","10433.119999999999","599.34","2029.6899999999987","2576.75"
Lupin Ltd,LUPIN,"Pharmaceuticals","104496.68548865","1287.59","-4171.89","559.9299999999998","11684.120000000003",,"1731.88","87.27","365.31","15824.59","1682.43","8003.379999999997","2999.94"
LG Electronics India Ltd,LGEINDIA,"Home Electronics & Appliances","103438.12481688001","0","-28.57","1518.8700000000001","5546.979999999999",,"-106.45","0","0","5291.4","339.33","1404.42","1653.89"
Gail (India) Ltd,GAIL,"Gas Distribution","102334.539563652","0","-6623.04","171.14999999999964","47935.32000000001",,"-8940.85","22764.61","4275.44","78422.45","7929.71","86256.56999999999","15735.04"
GMR Airports Ltd (India),GMRAIRPORT,"Construction & Engineering","99782.3227464","55.62","-3673.35","-1240.6599999999999","50335.560000000005",,"-1009.87","1627.82","73.71","-4094.29","4128.88","31170.13","3442.56"
Hero MotoCorp Ltd,HEROMOTOCO,"Two Wheelers","99406.1715984","97.69","-1703.35","-221.34999999999945","8986.23",,"-2815.39","7748.27","2799.83","19134.350000000002","856.63","6768.4","4297.39"
Mazagon Dock Shipbuilders Ltd,MAZDOCK,"Shipbuilding","98335.9764","0","-1299.1","66.91000000000031","20864.58",,"-712.04","765.04","711.97","7738.19","743.14","1598.9200000000003","2078.05"
JSW Energy Ltd,JSWENERGY,"Power Generation","94324.56035628001","7241.79","-22989.73","1072.130000000001","60370.350000000006",,"20223.38","7653.69","363.85","18374.39","6708.57","63176.71","3838.48"
Indian Hotels Company Ltd,INDHOTEL,"Hotels, Resorts & Cruise Lines","93889.58969292","6757.81","-1869.46","-222.43000000000018","5200.369999999997",,"-547.34","1379.89","251.77","4260.56","1074.12","10324.09","2194.37"
United Spirits Ltd,UNITDSPR,"Alcoholic Beverages","93435.49057638","4568","-1114","276","5072",,"-557","50","355","3391","162","1783","1947"
Lloyds Metals and Energy Ltd,LLOYDSME,"Mining - Iron Ore","93097.43480544","2700.19","-3975.95","37.36000000000013","3014.5800000000004",,"2807.97","0.04","52.28","2696.6200000000003","785.92","5793.58","1205.34"
Aditya Birla Capital Ltd,ABCAPITAL,"Diversified Financials","92540.97404838","9135.13","932.73","2776.489999999998","246296.25","152643.8","29778.39","112953.19","61.56","18645.5","457.65","1496.4299999999998","-27934.63"
Bharat Forge Ltd,BHARATFORG,"Iron & Steel","90272.69549424","2310.32","-1964.18","-737.5400000000002","10747.920000000002",,"-569.7","709.74","422.09","6846.09","1450.46","8078.356999999999","1796.34"
Ashok Leyland Ltd,ASHOKLEY,"Trucks & Buses","90228.27977327199","2556.28","-5758.6","1327.4499999999998","65701.45",,"6957.58","1942.73","2040.77","9382.05","1648.08","7024.9000000000015","128.47"
Ntpc Green Energy Ltd,NTPCGREEN,"Renewable Energy","89260.110183717","9026","-17793.2","-79.57999999999993","26889.269999999993",,"15714.7","3199.42","0","988.0100000000002","11985.1","35799.37","1998.92"
Meesho Ltd,MEESHO,"Retail - Online","89075.353873545","11091.74","-2637.96","6.670000000000073","5780.5599999999995",,"2105.26","0","0","-10044.23","22.9","95.77000000000001","539.37"
ICICI Lombard General Insurance Company Ltd,ICICIGI,"Insurance","89050.6648464","6934.27","-1137.26","-247.01000000000005","54535.09","0","-257.05","53507.77","0","7054.92","231.15","802","1147.3"
Shree Cement Ltd,SHREECEM,"Cement","88109.186616","2408.63","-3726.01","-101.93000000000029","6885.79",,"-1296.25","1396.47","379.87","19093.039999999997","4104.72","13087.45","4920.33"
Lodha Developers Ltd,LODHA,"Real Estate","87912.182864","9527.9","46.7","-893.3999999999999","29334.200000000004",,"-2505.7","493","223.9","9651.1","474.2","1031.5","1565.6"
REC Ltd,RECLTD,"Specialized Finance","87686.3592","1577.53","-1302.04","-332.5200000000041","536125.7699999998","559088.08","40033.6","6673.64","5608.77","73606.91","82.88","704.85","-39064.08"
Multi Commodity Exchange of India Ltd,MCX,"Stock Exchanges & Ratings","87596.1143553","216.84","-750.83","159.09999999999997","2440.77",,"-40.2","874.08","38.96","1616.5600000000002","95.9","430.00999999999993","950.13"
