Name,Ticker,"Sub-Sector","Market Cap","PB Premium vs Sector","PB Ratio","Dividend Yield vs Sector","PS Ratio","PS Premium vs Sector","EV/EBITDA Ratio","PE Ratio","Forward PS Ratio","Forward PE Ratio","Dividend Yield","PE Premium vs Sector","EV / EBIT Ratio","PS Premium vs Sub-sector","EV / Revenue Ratio","PE Premium vs Sub-sector","EV / Invested Capital","Price / Free Cash Flow"
Aluwind Infra-Tech Ltd,ALUWIND,"Building Products - Others","128.9581098","-68.25999200833125","2.1604642285139883",,"0.9204718758029978","-75.19402848995783","7.569090948660719","12.328691185468466",,,,"-69.65858684374541","8.388256635745213","-22.550982109475974","0.9681521042112776","-81.95473155232227","1.8634168127490038",
Gujjubhai Industries Ltd,SUMUKA,"FMCG - Foods","128.88852795","-2.622443410595016","7.975775244430693",,"2.0688367247191013","-52.18456802034841","33.55882316120907","47.03960874087592",,,,"52.496341939445955","34.78551643603134","-43.44761798363759","2.138499646067416","-24.398008091524954","6.4361607705314015",
Sanco Trans Ltd,SANCTRN,"Logistics","128.7","-82.25296498101432","1.2079969964332644","-0.20988483245810913","1.144203413940256","-69.16464475013507","15.957295373665465","85.7999999999996",,,"0.37762237762237766","111.15730856127466","37.78651685393251","-63.331141420983684","1.1959459459459458","147.0215998848338","1.152995628696323","43.479729729729726"
Star Imaging and Path Lab Ltd,STARIMAGIN,"Hospitals & Diagnostic Centres","128.62928","-57.09172770215022","2.7234655939021803",,"1.5351387993794008","-74.54901427685809","5.270063470627953","8.074656622724413",,,,"-81.48952603959943","6.330060016220599","-79.21473887610419","1.862982217448383","-88.86206122210943","1.951972989871202",
Lahoti Overseas Ltd,LAHOTIOV,"Textiles","128.6171435","-88.57486334418462","0.6397907949062328","-0.2275012988242504","0.24341788769446232","-89.06016190881874","4.680631336311945","9.788214878234413",,,"0.4568986559711614","-60.08329387493261","5.20257984198646","-90.69308255494145","0.2180952032628033","-71.48946363252585","0.5564861092331466","7.024420726379028"
EMIAC Technologies Ltd,EMIAC,"Advertising","128.491848755","66.22024925749791","14.229440615171649",,"6.40537630882353","53.19739513016749","20.76928309527825","30.448305392180103",,,,"-4.132783203172128","21.41945195739131","-12.076273155869066","6.139673417497508","-31.802486394498334","13.624098313606193","109.82209295299147"
Reganto Enterprises Ltd,REGANTO,"Electronic Equipments","128.45355988","-68.43989980320434","1.83793904535699",,"0.2060234484594781","-92.68886259146173","2.2562763758738384","2.680583469949911",,,,"-87.59674771517946","2.2577445889051537","-97.43371787319225","0.22259147681598745","-94.73981011095466","1.7278829666334665",
Tarmat Ltd,TARMAT,"Construction & Engineering","128.3289856","-89.11918721922608","0.7406301471691579",,"1.2540700244307634","-66.20382858467114","30.80674083720933","68.99407827957",,,,"69.79724797412551","44.6023520538721","-32.60026204259188","1.2945273683181866","107.07365649434442","0.7246662231947485",
SecMark Consultancy Ltd,SECMARK,"IT Services & Consulting","128.195137","7.328030430492822","6.250372354948806",,"3.302296161772282","17.188316101574134","14.250016506024094","50.07622539062499",,,,"131.70629228832163","32.05288265582655","21.68043123283713","3.0467577794951053","168.57637111728855","4.369232988548208","13.652304259850903"
Modulex Construction Technologies Ltd,MODULEX,"Construction & Engineering","128.13974729400002","-93.80560601637701","0.42163715341383967",,"9.796616765596331","164.01088699226577","19.11510314282018","28.795448830112356",,,,"-29.133222916311677","19.416523954533506","426.5171720933659","11.29661676559633","-13.575497661038979","0.45882420598062346",
